Hhon_g00907.t1	GPCRrhod.HG10.106:NA
Hhon_g00904.t1	GPCRrhod.HG10.107:NA
Hhon_g04196.t1	GPCRrhod.HG10.108:NA
Hhon_g01693.t1	GPCRrhod.HG10.11:NA
Hhon_g00908.t1	GPCRrhod.HG10.110:NA
Hhon_g10525.t1	GPCRrhod.HG10.12:NA
Hhon_g07274.t1	GPCRrhod.HG10.14:NA
Hhon_g04311.t1	GPCRrhod.HG10.15:NA
Hhon_g10761.t1	GPCRrhod.HG10.17:NA
Hhon_g10763.t1	GPCRrhod.HG10.18:NA
Hhon_g01703.t1	GPCRrhod.HG10.2:NA
Hhon_g08734.t1	GPCRrhod.HG10.21:NA
Hhon_g01811.t1	GPCRrhod.HG10.22:NA
Hhon_g00315.t1	GPCRrhod.HG10.24:NA
Hhon_g10209.t1	GPCRrhod.HG10.25:NA
Hhon_g08733.t1	GPCRrhod.HG10.27:NA
Hhon_g08732.t1	GPCRrhod.HG10.28:NA
Hhon_g08583.t1	GPCRrhod.HG10.29:NA
Hhon_g01220.t1	GPCRrhod.HG10.3:NA
Hhon_g03806.t1	GPCRrhod.HG10.31:NA
Hhon_g09236.t1	GPCRrhod.HG10.32:NA
Hhon_g07851.t1	GPCRrhod.HG10.34:NA
Hhon_g08854.t1	GPCRrhod.HG10.36:NA
Hhon_g08855.t1	GPCRrhod.HG10.37:NA
Hhon_g11625.t1	GPCRrhod.HG10.38:NA
Hhon_g06928.t1	GPCRrhod.HG10.4:NA
Hhon_g01745.t1	GPCRrhod.HG10.40:NA
Hhon_g01744.t1	GPCRrhod.HG10.41:NA
Hhon_g01746.t1	GPCRrhod.HG10.42:NA
Hhon_g09463.t1	GPCRrhod.HG10.43:NA
Hhon_g05408.t1	GPCRrhod.HG10.44:NA
Hhon_g10394.t1	GPCRrhod.HG10.45:NA
Hhon_g07858.t1	GPCRrhod.HG10.47:NA
Hhon_g07855.t1	GPCRrhod.HG10.48:NA
Hhon_g07867.t1	GPCRrhod.HG10.49:NA
Hhon_g07868.t1	GPCRrhod.HG10.49:NA
Hhon_g07869.t1	GPCRrhod.HG10.49:NA
Hhon_g07870.t1	GPCRrhod.HG10.49:NA
Hhon_g04778.t1	GPCRrhod.HG10.5:NA
Hhon_g11626.t1	GPCRrhod.HG10.50:NA
Hhon_g10971.t1	GPCRrhod.HG10.51:NA
Hhon_g10972.t1	GPCRrhod.HG10.52:NA
Hhon_g08853.t1	GPCRrhod.HG10.54:NA
Hhon_g10968.t1	GPCRrhod.HG10.55:NA
Hhon_g08584.t1	GPCRrhod.HG10.56:NA
Hhon_g08716.t1	GPCRrhod.HG10.57:NA
Hhon_g10392.t1	GPCRrhod.HG10.58:NA
Hhon_g03743.t1	GPCRrhod.HG10.59:NA
Hhon_g07850.t1	GPCRrhod.HG10.59:NA
Hhon_g01522.t1	GPCRrhod.HG10.6:NA
Hhon_g10393.t1	GPCRrhod.HG10.60:NA
Hhon_g03672.t1	GPCRrhod.HG10.63:NA
Hhon_g03671.t1	GPCRrhod.HG10.64:NA
Hhon_g06759.t1	GPCRrhod.HG10.66:NA
Hhon_g05941.t1	GPCRrhod.HG10.68:NA
Hhon_g02839.t1	GPCRrhod.HG10.69:NA
Hhon_g04346.t1	GPCRrhod.HG10.7:NA
Hhon_g03272.t1	GPCRrhod.HG10.70:NA
Hhon_g07857.t1	GPCRrhod.HG10.71:NA
Hhon_g07854.t1	GPCRrhod.HG10.72:NA
Hhon_g07921.t1	GPCRrhod.HG10.72:NA
Hhon_g08868.t1	GPCRrhod.HG10.73:NA
Hhon_g08722.t1	GPCRrhod.HG10.76:NA
Hhon_g08723.t1	GPCRrhod.HG10.76:NA
Hhon_g11729.t1	GPCRrhod.HG10.77:NA
Hhon_g08677.t1	GPCRrhod.HG10.79:NA
Hhon_g08678.t1	GPCRrhod.HG10.79:NA
Hhon_g11728.t1	GPCRrhod.HG10.79:NA
Hhon_g11730.t1	GPCRrhod.HG10.79:NA
Hhon_g07835.t1	GPCRrhod.HG10.8:NA
Hhon_g10395.t1	GPCRrhod.HG10.81:NA
Hhon_g11528.t1	GPCRrhod.HG10.84:NA
Hhon_g11529.t1	GPCRrhod.HG10.85:NA
Hhon_g00909.t1	GPCRrhod.HG10.86:NA
Hhon_g00910.t1	GPCRrhod.HG10.87:NA
Hhon_g08211.t1	GPCRrhod.HG10.88:NA
Hhon_g10970.t1	GPCRrhod.HG10.89:NA
Hhon_g10760.t1	GPCRrhod.HG10.9:NA
Hhon_g08674.t1	GPCRrhod.HG10.93:NA
Hhon_g08675.t1	GPCRrhod.HG10.93:NA
Hhon_g08676.t1	GPCRrhod.HG10.93:NA
Hhon_g10764.t1	GPCRrhod.HG10.95:NA
Hhon_g09540.t1	GPCRrhod.HG10.96:NA
Hhon_g10795.t1	GPCRrhod.HG10.97:NA
Hhon_g03669.t1	GPCRrhod.HG10.98:NA
Hhon_g10773.t1	GPCRrhod.HG101.0:NA
Hhon_g10771.t1	GPCRrhod.HG101.2:NA
Hhon_g10772.t1	GPCRrhod.HG101.3:NA
Hhon_g02917.t1	GPCRrhod.HG104.0:NA
Hhon_g00713.t1	GPCRrhod.HG104.1:NA
Hhon_g09529.t1	GPCRrhod.HG104.1:NA
Hhon_g00405.t1	GPCRrhod.HG107.2:NA
Hhon_g01681.t1	GPCRrhod.HG108.0:NA
Hhon_g01680.t1	GPCRrhod.HG108.2:NA
Hhon_g11191.t1	GPCRrhod.HG12.0:NA
Hhon_g11190.t1	GPCRrhod.HG12.1:NA
Hhon_g11193.t1	GPCRrhod.HG12.1:NA
Hhon_g11194.t1	GPCRrhod.HG12.1:NA
Hhon_g10728.t1	GPCRrhod.HG12.101:NA
Hhon_g11196.t1	GPCRrhod.HG12.11:NA
Hhon_g07913.t1	GPCRrhod.HG12.17:NA
Hhon_g07916.t1	GPCRrhod.HG12.18:NA
Hhon_g11192.t1	GPCRrhod.HG12.19:NA
Hhon_g06774.t1	GPCRrhod.HG12.2:NA
Hhon_g07917.t1	GPCRrhod.HG12.20:NA
Hhon_g07914.t1	GPCRrhod.HG12.21:NA
Hhon_g11195.t1	GPCRrhod.HG12.22:NA
Hhon_g02112.t1	GPCRrhod.HG12.23:NA
Hhon_g02113.t1	GPCRrhod.HG12.23:NA
Hhon_g04281.t1	GPCRrhod.HG12.23:NA
Hhon_g04283.t1	GPCRrhod.HG12.23:NA
Hhon_g04284.t1	GPCRrhod.HG12.23:NA
Hhon_g04285.t1	GPCRrhod.HG12.23:NA
Hhon_g03421.t1	GPCRrhod.HG12.24:NA
Hhon_g09143.t1	GPCRrhod.HG12.25:NA
Hhon_g09146.t1	GPCRrhod.HG12.26:NA
Hhon_g07255.t1	GPCRrhod.HG12.27:NA
Hhon_g07546.t1	GPCRrhod.HG12.28:NA
Hhon_g11996.t1	GPCRrhod.HG12.28:NA
Hhon_g07545.t1	GPCRrhod.HG12.29:NA
Hhon_g11199.t1	GPCRrhod.HG12.29:NA
Hhon_g11200.t1	GPCRrhod.HG12.29:NA
Hhon_g11691.t1	GPCRrhod.HG12.3:NA
Hhon_g09147.t1	GPCRrhod.HG12.30:NA
Hhon_g11469.t1	GPCRrhod.HG12.30:NA
Hhon_g03093.t1	GPCRrhod.HG12.31:NA
Hhon_g06504.t1	GPCRrhod.HG12.32:NA
Hhon_g06505.t1	GPCRrhod.HG12.32:NA
Hhon_g09458.t1	GPCRrhod.HG12.37:NA
Hhon_g07577.t1	GPCRrhod.HG12.4:NA
Hhon_g11412.t1	GPCRrhod.HG12.40:NA
Hhon_g11413.t1	GPCRrhod.HG12.40:NA
Hhon_g08042.t1	GPCRrhod.HG12.41:NA
Hhon_g11265.t1	GPCRrhod.HG12.41:NA
Hhon_g11226.t1	GPCRrhod.HG12.45:NA
Hhon_g09998.t1	GPCRrhod.HG12.46:NA
Hhon_g08040.t1	GPCRrhod.HG12.50:NA
Hhon_g08041.t1	GPCRrhod.HG12.50:NA
Hhon_g11263.t1	GPCRrhod.HG12.50:NA
Hhon_g11264.t1	GPCRrhod.HG12.50:NA
