Tadh_TriadT53556	RRM.HG12.1:EIF4B
Tadh_TriadT57615	RRM.HG12.6:like:EIF4B
Tadh_TriadT28601	RRM.HG14.1:like:AC008982.1/HNRNPL/HNRNPLL/PTBP1/PTBP2/PTBP3/ZNF638
Tadh_TriadT55671	RRM.HG15.0:RBM44;zf-CCCH.HG7.1:NA
Tadh_TriadT30543	RRM.HG16.1:AC245033.1/CPEB1
Tadh_TriadT58533	RRM.HG16.4:CPEB2/CPEB3/CPEB4
Tadh_TriadT54211	RRM.HG17.1:SSB
Tadh_TriadT56787	RRM.HG18.1:RBM15/RBM15B
Tadh_TriadT2319	RRM.HG19.4:like:A1CF/DND1/HNRNPR/RBM46/RBM47/SYNCRIP
Tadh_TriadT689	RRM.HG19.8:A1CF/RBM47
Tadh_TriadT7325	RRM.HG2.0:RBM24/RBM38
Tadh_TriadT61208	RRM.HG2.1:SLIRP
Tadh_TriadT56401	RRM.HG2.13:NOL8
Tadh_TriadT64182	RRM.HG2.14:G3BP1/G3BP2
Tadh_TriadT20799	RRM.HG2.21:like:DAZAP1/HNRNPAB/HNRNPD/HNRNPDL/MSI1/MSI2
Tadh_TriadT5340	RRM.HG2.22:like:DAZAP1/HNRNPAB/HNRNPD/HNRNPDL/MSI1/MSI2
Tadh_TriadT63876	RRM.HG2.23:HNRNPAB/HNRNPD/HNRNPDL
Tadh_TriadT54175	RRM.HG2.24:DAZAP1
Tadh_TriadT28865	RRM.HG2.25:MSI1/MSI2
Tadh_hyp_clust5210.t1	RRM.HG2.3:like:G3BP1/G3BP2/NOL8
Tadh_TriadT51379	RRM.HG2.9:like:RBM3
Tadh_TriadT53717	RRM.HG20.0:POLDIP3
Tadh_TriadT53742	RRM.HG20.1:ALYREF
Tadh_TriadT63946	RRM.HG21.1:HTATSF1
Tadh_TriadT33482	RRM.HG22.2:U2AF1/U2AF1L4/U2AF1L5;zf-CCCH.HG3.1:AD000671.2/U2AF1/U2AF1L4/U2AF1L5/ZRSR2
Tadh_TriadT21889	RRM.HG23.0:EIF3B
Tadh_TriadT59099	RRM.HG24.0:PRPF8
Tadh_TriadT35408	RRM.HG25.2:ZCRB1
Tadh_TriadT55476	RRM.HG26.0:RBM5/RBM10
Tadh_TriadT29001	RRM.HG27.0:BRAP
Tadh_TriadT51854	RRM.HG28.0:NUP35
Tadh_TriadT52243	RRM.HG29.0:RBPMS/RBPMS2
Tadh_TriadT29141	RRM.HG3.12:GRSF1/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3
Tadh_TriadT61835	RRM.HG3.4:RBM28
Tadh_TriadT59686	RRM.HG3.5:RBM19
Tadh_TriadT59687	RRM.HG3.5:RBM19
Tadh_TriadT53710	RRM.HG3.8:RBFOX1/RBFOX2/RBFOX3
Tadh_TriadT51852	RRM.HG31.0:CNOT4
Tadh_wf_g396.t1	RRM.HG32.0:CPSF6/CPSF7
Tadh_TriadT52927	RRM.HG33.0:PARN
Tadh_TriadT52899	RRM.HG35.0:RRP7A
Tadh_TriadT49822	RRM.HG4.5:AC015813.2/SRSF1/SRSF9
Tadh_TriadT52131	RRM.HG4.7:like:AL031681.2/SRSF4/SRSF5/SRSF6
Tadh_TriadT23659	RRM.HG4.8:AL031681.2/SRSF4/SRSF5/SRSF6
Tadh_TriadT63986	RRM.HG4.8:AL031681.2/SRSF4/SRSF5/SRSF6
Tadh_TriadT55789	RRM.HG41.0:NA
Tadh_TriadT54007	RRM.HG42.0:NA
Tadh_TriadT58188	RRM.HG48.0:RDM1
Tadh_TriadT63736	RRM.HG5.0:RBM8A
Tadh_TriadT21652	RRM.HG5.11:U2AF2
Tadh_TriadT6541	RRM.HG5.2:NIFK
Tadh_TriadT56724	RRM.HG5.4:CSTF2/CSTF2T
Tadh_TriadT17435	RRM.HG5.6:RBMX2
Tadh_TriadT19511	RRM.HG5.9:RBM17
Tadh_TriadT63662	RRM.HG6.3:EIF3G
Tadh_TriadT28658	RRM.HG6.9:ELAVL1/ELAVL2/ELAVL3/ELAVL4
Tadh_TriadT60275	RRM.HG7.10:like:AC009690.3/CELF1/CELF2/CELF3/CELF4/CELF5/CELF6
Tadh_TriadT9318	RRM.HG7.10:like:AC009690.3/CELF1/CELF2/CELF3/CELF4/CELF5/CELF6
Tadh_TriadT52384	RRM.HG7.4:SAFB/SAFB2/SLTM
Tadh_TriadT1749	RRM.HG7.5:RBM45
Tadh_TriadT9217	RRM.HG8.0:RNPS1
Tadh_TriadT19119	RRM.HG8.2:NCBP2/NCBP2L
Tadh_TriadT51007	RRM.HG8.6:SF3B6
Tadh_TriadT17694	RRM.HG8.8:SRSF2/SRSF8
Tadh_TriadT64092	RRM.HG9.9:like:SRSF3/SRSF7
Tadh_TriadT18899	RRM.Unclassified
Tadh_TriadT58601	RRM.Unclassified
Tadh_TriadT8568	RRM.Unclassified
Tadh_TriadT9843	RRM.Unclassified
Tadh_TriadT61471	S1.HG1.1:PDCD11
Tadh_TriadT57059	S1.HG1.4:SRBD1
Tadh_TriadT59208	S1.HG1.6:SUPT6H
Tadh_TriadT27982	S1.HG1.9:EIF2S1
Tadh_TriadT50378	S1.Unclassified
Tadh_TriadT52921	SAM.HG1.17:CASKIN1/CASKIN2
Tadh_wf_g782.t1	SAM.HG1.18:ANKS1A/ANKS1B
Tadh_TriadT12344	SAM.HG1.6:like:EPHA1/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/EPHA8/EPHA10/EPHB1/EPHB2/EPHB3/EPHB4/EPHB6
Tadh_TriadT15307	SAM.HG12.1:STIM1/STIM2
Tadh_TriadT20291	SAM.HG13.1:SAMD4A/SAMD4B
Tadh_TriadT59503	SAM.HG14.1:EPS8/EPS8L1/EPS8L2/EPS8L3
Tadh_TriadT58085	SAM.HG15.0:like:SARM1
Tadh_TriadT60127	SAM.HG16.0:NA
Tadh_TriadT59134	SAM.HG2.10:SAMD15
Tadh_TriadT59731	SAM.HG2.11:like:SAMD10/SAMD12/WDSUB1
Tadh_TriadT53592	SAM.HG2.15:like:WDSUB1
Tadh_TriadT53133	SAM.HG2.21:like:SAMD10/SAMD12
Tadh_TriadT52046	SAM.HG2.7:DGKD/DGKH
Tadh_TriadT57123	SAM.HG22.0:NA
Tadh_wf_g12367.t1	SAM.HG3.11:ANKS3
Tadh_wf_g3971.t1	SAM.HG3.11:ANKS3
Tadh_TriadT59310	SAM.HG3.12:BICC1
Tadh_wf_g8871.t1	SAM.HG3.14:ANKS6
Tadh_TriadT31284	SAM.HG3.5:SEC23IP
Tadh_TriadT58043	SAM.HG4.3:SAMD1/SAMD13
Tadh_TriadT58096	SAM.HG4.4:L3MBTL3/L3MBTL4
Tadh_TriadT17972	SAM.HG4.6:SAMD7/SAMD11
Tadh_TriadT57390	SAM.HG4.7:like:L3MBTL3/L3MBTL4/PHC1/PHC2/PHC3/SAMD1/SAMD7/SAMD9/SAMD11/SAMD13/SCMH1/SCML1/SCML2/SCML4/SFMBT1/SFMBT2
Tadh_TriadT17871	SAM.HG6.6:ETS1/ETS2
Tadh_TriadT52125	SAM.HG7.0:PPFIBP1/PPFIBP2
Tadh_TriadT51625	SAM.HG7.3:PPFIA1/PPFIA2/PPFIA3/PPFIA4
Tadh_TriadT60945	SAM.HG8.2:SAMD5
Tadh_TriadT51176	SAM.HG9.2:SAMD8
Tadh_TriadT64021	SAM.Unclassified
Tadh_TriadT19623	SURP.HG1.4:SF3A1
Tadh_TriadT52935	THUMP.HG1.0:THUMPD1
Tadh_TriadT25997	THUMP.HG2.0:THUMPD2/THUMPD3
Tadh_TriadT52303	TROVE.HG2.1:like:TEP1
Tadh_TriadT54364	YTH.HG1.2:YTHDC2
Tadh_wf_g8279.t1	YTH.HG1.3:YTHDC1
Tadh_TriadT58301	zf-CCCH.HG1.13:like:CPSF4/CPSF4L/MKRN1/MKRN2/MKRN3/PPP1R10/PRR3/ZC3H4/ZC3H6/ZC3H8
Tadh_TriadT51688	zf-CCCH.HG1.18:ZC3H4/ZC3H6/ZC3H8
Tadh_TriadT53642	zf-CCCH.HG1.21:CPSF4/CPSF4L
Tadh_TriadT60469	zf-CCCH.HG1.5:ZC3H15
Tadh_TriadT33882	zf-CCCH.HG2.4:ZFP36/ZFP36L1/ZFP36L2
Tadh_TriadT20796	zf-CCCH.HG2.8:RNF113A/RNF113B
Tadh_TriadT55208	zf-CCCH.HG3.1:AD000671.2/U2AF1/U2AF1L4/U2AF1L5/ZRSR2
Tadh_TriadT4444	zf-CCCH.HG4.1:MBNL1/MBNL2/MBNL3
Tadh_TriadT9546	zf-nanos.HG1.1:NANOS1/NANOS2/NANOS3
