HoiH23_hyp_clust10942.t1	GPCRrhod.HG12.20:NA
HoiH23_PlH23_003982-RA	GPCRglut.HG1.38:like:GABBR1/GABBR2
HoiH23_PlH23_003983-RA	GPCRglut.HG1.32:like:GABBR1/GABBR2
HoiH23_PlH23_003984-RA	GPCRglut.HG1.34:like:GABBR1/GABBR2
HoiH23_PlH23_003987-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_003988-RA	GPCRsecr.HG1.31:like:ADGRA1/ADGRA2/ADGRA3/ADGRV1
HoiH23_PlH23_004017-RA	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_004025-RA	GPCRsecr.HG1.8:ADGRD2
HoiH23_PlH23_004026-RA	GPCRrhod.HG12.32:NA
HoiH23_PlH23_004044-RA	GPCRrhod.HG34.15:NA
HoiH23_PlH23_004218-RA	GPCRsecr.HG1.22:ADGRF1/ADGRF2/ADGRF3/ADGRF4/ADGRF5
HoiH23_PlH23_004242-RA	GPCRglut.HG1.8:like:GABBR1/GABBR2/GPR156
HoiH23_PlH23_004244-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_004245-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_004246-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_004247-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_004248-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_004251-RA	GPCRrhod.HG122.0:NA
HoiH23_PlH23_004277-RA	GPCRrhod.HG22.65:NA
HoiH23_PlH23_004322-RA	GPCRrhod.HG22.57:NA
HoiH23_PlH23_004339-RA	GPCRrhod.HG94.0:NA
HoiH23_PlH23_004357-RA	GPCRrhod.HG36.9:NA
HoiH23_PlH23_004363-RA	GPCRrhod.HG39.0:like:PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/TBXA2R
HoiH23_PlH23_004382-RA	GPCRrhod.HG34.16:NA
HoiH23_PlH23_004405-RA	GPCRrhod.HG32.8:NA
HoiH23_PlH23_004424-RA	GPCRrhod.HG34.0:NA
HoiH23_PlH23_004426-RA	GPCRrhod.HG34.3:NA
HoiH23_PlH23_004428-RA	GPCRrhod.HG36.8:NA
HoiH23_PlH23_004429-RA	GPCRrhod.HG36.7:NA
HoiH23_PlH23_004434-RA	GPCRrhod.HG32.0:NA
HoiH23_PlH23_004469-RA	GPCRrhod.HG25.1:NA
HoiH23_PlH23_004487-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_004600-RA	GPCRrhod.HG10.14:NA
HoiH23_PlH23_004668-RA	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
HoiH23_PlH23_004681-RA	GPCRrhod.HG12.41:NA
HoiH23_PlH23_004682-RA	GPCRrhod.HG12.91:NA
HoiH23_PlH23_004683-RA	GPCRrhod.HG12.50:NA
HoiH23_PlH23_004684-RA	GPCRrhod.HG12.90:NA
HoiH23_PlH23_004717-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_004725-RA	GPCRrhod.HG39.5:like:PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGFR/PTGIR/TBXA2R
HoiH23_PlH23_004731-RA	GPCRrhod.HG2.45:like:NPFFR1/NPFFR2
HoiH23_PlH23_004754-RA	GPCRrhod.HG10.43:NA
HoiH23_PlH23_004758-RA	GPCRrhod.HG12.37:NA
HoiH23_PlH23_004787-RA	GPCRrhod.HG36.13:NA
HoiH23_PlH23_004788-RA	GPCRrhod.HG36.33:NA
HoiH23_PlH23_004789-RA	GPCRrhod.HG36.32:NA
HoiH23_PlH23_004834-RA	GPCRsecr.HG11.0:NA
HoiH23_PlH23_004854-RA	GPCRglut.HG1.31:like:GABBR1/GABBR2
HoiH23_PlH23_004855-RA	GPCRglut.HG1.28:like:GABBR1/GABBR2
HoiH23_PlH23_004860-RA	GPCRrhod.HG38.2:FSHR/LHCGR/TSHR
HoiH23_PlH23_004873-RA	GPCRrhod.HG22.5:NA
HoiH23_PlH23_004874-RA	GPCRrhod.HG22.4:NA
HoiH23_PlH23_004882-RA	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
HoiH23_PlH23_004897-RA	GPCRrhod.HG22.1:NA
HoiH23_PlH23_004949-RA	GPCRrhod.HG41.2:NA
HoiH23_PlH23_004956-RA	GPCRrhod.HG29.2:NA
HoiH23_PlH23_005009-RA	GPCRrhod.HG22.31:NA
HoiH23_PlH23_005026-RA	GPCRrhod.HG2.51:like:NPFFR1/NPFFR2
HoiH23_PlH23_005027-RA	GPCRrhod.HG2.46:like:NPFFR1/NPFFR2
HoiH23_PlH23_005031-RA	GPCRrhod.HG32.7:NA
HoiH23_PlH23_005032-RA	GPCRrhod.HG32.29:NA
HoiH23_PlH23_005034-RA	GPCRrhod.HG32.25:NA
HoiH23_PlH23_005035-RA	GPCRrhod.HG32.40:NA
HoiH23_PlH23_005036-RA	GPCRrhod.HG32.10:NA
HoiH23_PlH23_005039-RA	GPCRsecr.HG1.14:ADGRB1/ADGRB2/ADGRB3
HoiH23_PlH23_005068-RA	GPCRrhod.HG170.0:NA
HoiH23_PlH23_005072-RA	GPCRrhod.HG12.2:NA
HoiH23_PlH23_005087-RA	GPCRrhod.HG10.66:NA
HoiH23_PlH23_005159-RA	GPCRrhod.HG122.1:NA
HoiH23_PlH23_005169-RA	GPCRrhod.HG22.14:NA
HoiH23_PlH23_005183-RA	GPCRrhod.HG22.24:NA
HoiH23_PlH23_005185-RA	GPCRrhod.HG22.25:NA
HoiH23_PlH23_005276-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_005277-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_005278-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_005279-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_005280-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_005281-RA	GPCRrhod.HG51.0:NA
HoiH23_PlH23_005291-RA	GPCRsecr.HG13.0:NA
HoiH23_PlH23_005319-RA	GPCRrhod.HG41.3:NA
HoiH23_PlH23_005343-RA	GPCRglut.HG1.29:like:GABBR1/GABBR2
HoiH23_PlH23_005345-RA	GPCRrhod.HG16.0:RXFP1/RXFP2
HoiH23_PlH23_005385-RA	GPCRrhod.HG29.0:NA
HoiH23_PlH23_005444-RA	GPCRrhod.HG52.1:NA
HoiH23_PlH23_005445-RA	GPCRrhod.HG52.1:NA
HoiH23_PlH23_005446-RA	GPCRrhod.HG52.1:NA
HoiH23_PlH23_005448-RA	GPCRrhod.HG22.2:NA
