to	similarity	from	from_sps	to_sps
Mlei|muscle	0	TrH2|peptidergic	TrH2	Mlei
Mlei|comb	0.0244837220331539	TrH2|peptidergic	TrH2	Mlei
Mlei|lens	0	TrH2|peptidergic	TrH2	Mlei
Mlei|tentacle	0	TrH2|peptidergic	TrH2	Mlei
Mlei|colloblast	0	TrH2|peptidergic	TrH2	Mlei
Spolac|archaeocyte	0	TrH2|peptidergic	TrH2	Spolac
Spolac|precursor	0	TrH2|peptidergic	TrH2	Spolac
Spolac|choanoblast	0.145262951242474	TrH2|peptidergic	TrH2	Spolac
Spolac|choanocyte	0.237238290042059	TrH2|peptidergic	TrH2	Spolac
Spolac|apopylar_cell	0.250306518201458	TrH2|peptidergic	TrH2	Spolac
Spolac|myopeptidocyte	0.0522506376155918	TrH2|peptidergic	TrH2	Spolac
Spolac|unknown	0	TrH2|peptidergic	TrH2	Spolac
Spolac|lophocyte	0.0597330208922392	TrH2|peptidergic	TrH2	Spolac
Spolac|pinacocyte	0.270636913780691	TrH2|peptidergic	TrH2	Spolac
Spolac|sclerophorocyte	0.0311892375067325	TrH2|peptidergic	TrH2	Spolac
Spolac|sclerocyte	0	TrH2|peptidergic	TrH2	Spolac
Spolac|granulocyte	0	TrH2|peptidergic	TrH2	Spolac
Spolac|metabolocyte	0.0165889908145837	TrH2|peptidergic	TrH2	Spolac
Spolac|neuroid	0	TrH2|peptidergic	TrH2	Spolac
Spolac|amoebocyte	0.00901669622641504	TrH2|peptidergic	TrH2	Spolac
Spolac|mesocyte	0.232500115841948	TrH2|peptidergic	TrH2	Spolac
Nvec|cnidocyte	0.424356075604302	Hhon|peptidergic	Hhon	Nvec
Nvec|muscle	0.00388235778662944	Hhon|peptidergic	Hhon	Nvec
Nvec|gastrodermis_muscle	0	Hhon|peptidergic	Hhon	Nvec
Nvec|gastrodermis	0	Hhon|peptidergic	Hhon	Nvec
Nvec|digestive_filaments	0	Hhon|peptidergic	Hhon	Nvec
Nvec|epidermis	0	Hhon|peptidergic	Hhon	Nvec
Nvec|precursors	0	Hhon|peptidergic	Hhon	Nvec
Nvec|neuron	0.592296727349181	Hhon|peptidergic	Hhon	Nvec
Nvec|gland	0.560855693909536	Hhon|peptidergic	Hhon	Nvec
Hvul|cnidocyte	0	Hhon|peptidergic	Hhon	Hvul
Hvul|gastrodermis	0.0640004416656442	Hhon|peptidergic	Hhon	Hvul
Hvul|epidermis	0.0511204967737577	Hhon|peptidergic	Hhon	Hvul
Hvul|germline	0	Hhon|peptidergic	Hhon	Hvul
Hvul|precursors	0	Hhon|peptidergic	Hhon	Hvul
Hvul|neuron	0.528747520255717	Hhon|peptidergic	Hhon	Hvul
Hvul|gland	0	Hhon|peptidergic	Hhon	Hvul
Spis|cnidocyte	0.0965825161308309	Hhon|peptidergic	Hhon	Spis
Spis|gastrodermis	0	Hhon|peptidergic	Hhon	Spis
Spis|alga-hosting_cells	0	Hhon|peptidergic	Hhon	Spis
Spis|mitotic_host_cells	0.0256785316805118	Hhon|peptidergic	Hhon	Spis
Spis|germline	0	Hhon|peptidergic	Hhon	Spis
Spis|digestive	0.0255486406137954	Hhon|peptidergic	Hhon	Spis
Spis|epidermis	0	Hhon|peptidergic	Hhon	Spis
Spis|calicoblast	0.011671073188439	Hhon|peptidergic	Hhon	Spis
Spis|neuron	0.480598499908855	Hhon|peptidergic	Hhon	Spis
Spis|gland	0.285705748826856	Hhon|peptidergic	Hhon	Spis
Spis|unknown	0.156260636211578	Hhon|peptidergic	Hhon	Spis
Spis|immune	0.191600441751276	Hhon|peptidergic	Hhon	Spis
Mmus|marrow	0	Hhon|peptidergic	Hhon	Mmus
Mmus|vascular_cells	0.171165784827317	Hhon|peptidergic	Hhon	Mmus
Mmus|glia	0.531690719250672	Hhon|peptidergic	Hhon	Mmus
Mmus|lung	0.0922345399831107	Hhon|peptidergic	Hhon	Mmus
Mmus|liver	0.083827787470723	Hhon|peptidergic	Hhon	Mmus
Mmus|trachea	0	Hhon|peptidergic	Hhon	Mmus
Mmus|limb_muscle	0	Hhon|peptidergic	Hhon	Mmus
