to	similarity	from	from_sps	to_sps
Spis|gland	0	TrH2|fibre	TrH2	Spis
Spis|unknown	0.181818181818182	TrH2|fibre	TrH2	Spis
Spis|immune	0.166666666666667	TrH2|fibre	TrH2	Spis
Mmus|marrow	0.148148148148148	TrH2|fibre	TrH2	Mmus
Mmus|vascular_cells	0.166666666666667	TrH2|fibre	TrH2	Mmus
Mmus|glia	0.0925925925925926	TrH2|fibre	TrH2	Mmus
Mmus|lung	0.166666666666667	TrH2|fibre	TrH2	Mmus
Mmus|liver	0.25	TrH2|fibre	TrH2	Mmus
Mmus|trachea	0.0462962962962963	TrH2|fibre	TrH2	Mmus
Mmus|limb_muscle	0.0277777777777778	TrH2|fibre	TrH2	Mmus
Mmus|kidney	0.277777777777778	TrH2|fibre	TrH2	Mmus
Mmus|tongue	0.111111111111111	TrH2|fibre	TrH2	Mmus
Mmus|heart_and_aorta	0.0833333333333333	TrH2|fibre	TrH2	Mmus
Mmus|bladder	0.0740740740740741	TrH2|fibre	TrH2	Mmus
Mmus|mammary_gland	0.0555555555555556	TrH2|fibre	TrH2	Mmus
Mmus|neuron	0.0740740740740741	TrH2|fibre	TrH2	Mmus
Mmus|spleen	0.185185185185185	TrH2|fibre	TrH2	Mmus
Mmus|immune_cells	0.287037037037037	TrH2|fibre	TrH2	Mmus
Mmus|thymus	0.111111111111111	TrH2|fibre	TrH2	Mmus
Dmel|Female_Reproductive_System	0.1484375	TrH2|fibre	TrH2	Dmel
Dmel|Muscle_Cell	0.1171875	TrH2|fibre	TrH2	Dmel
Dmel|Epithelial_Cell	0.15625	TrH2|fibre	TrH2	Dmel
Dmel|Hemocyte	0.28125	TrH2|fibre	TrH2	Dmel
Dmel|Glial_Cell	0.2109375	TrH2|fibre	TrH2	Dmel
Dmel|unannotated	0.046875	TrH2|fibre	TrH2	Dmel
Dmel|Gland	0.1171875	TrH2|fibre	TrH2	Dmel
Dmel|Male_Reproductive_System	0.1796875	TrH2|fibre	TrH2	Dmel
Dmel|Male_Germline_Cell	0.1171875	TrH2|fibre	TrH2	Dmel
Dmel|Adipose_System	0.28125	TrH2|fibre	TrH2	Dmel
Dmel|Excretory_System	0.1171875	TrH2|fibre	TrH2	Dmel
Dmel|Gut_Cell	0.1640625	TrH2|fibre	TrH2	Dmel
Dmel|neuron	0.0703125	TrH2|fibre	TrH2	Dmel
Dmel|Oenocyte	0.140625	TrH2|fibre	TrH2	Dmel
Dmel|neuron_other_cells	0.234375	TrH2|fibre	TrH2	Dmel
Dmel|Cardial_Cell	0.125	TrH2|fibre	TrH2	Dmel
Dmel|Tracheal_Cell	0.1328125	TrH2|fibre	TrH2	Dmel
Dmel|Germline_Cell	0.2265625	TrH2|fibre	TrH2	Dmel
Dmel|Pigment_Cell	0.15625	TrH2|fibre	TrH2	Dmel
Dmel|Female_Germline_Cell	0.328125	TrH2|fibre	TrH2	Dmel
Mlei|digestive	0.476923076923077	TrH2|fibre	TrH2	Mlei
Mlei|epithelia	0.0923076923076923	TrH2|fibre	TrH2	Mlei
Mlei|unknown	0.0153846153846154	TrH2|fibre	TrH2	Mlei
Mlei|neuron	0.0923076923076923	TrH2|fibre	TrH2	Mlei
Mlei|muscle	0.338461538461538	TrH2|fibre	TrH2	Mlei
Mlei|comb	0.0153846153846154	TrH2|fibre	TrH2	Mlei
Mlei|lens	0.123076923076923	TrH2|fibre	TrH2	Mlei
Mlei|tentacle	0.323076923076923	TrH2|fibre	TrH2	Mlei
Mlei|colloblast	0.0923076923076923	TrH2|fibre	TrH2	Mlei
Spolac|archaeocyte	0.3125	TrH2|fibre	TrH2	Spolac
