metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
42	49	168567	3440.14285714286	2367	3215	4582	0.589809425301795	0.0585412071320249	0.163763139348296	0.37156754664161	1.36530209996411
43	85	420878	4951.50588235294	3078	4139	6483	0.451892808625862	0.0471310239367093	0.116127568884484	0.314641411539992	1.18819794700072
44	109	711716	6529.50458715596	3951	6108	8821	0.423454420814832	0.0344022544630758	0.105250596761576	0.307266733386118	1.13742576193461
45	90	426080	4734.22222222222	3349.25	4465	6132	0.48899322642202	0.0465439799080475	0.123990746453908	0.339589281852147	1.29414845503353
46	23	25754	1119.73913043478	917	1038	1283	0.761126880263723	0.215006753866059	0.348502289192309	0.636762572875486	1.51092805049423
47	55	71949	1308.16363636364	867	1206	1542	0.616767396445481	0.13349553532625	0.231092259506675	0.444619637476358	1.23044396753535
48	67	75941	1133.44776119403	824	1108	1419.5	0.628486110814621	0.121096273077228	0.195657221004545	0.398159087731398	1.18708842306241
49	90	205778	2286.42222222222	1650.25	2107	2699.75	0.562549055523586	0.0479770176440448	0.131037174037717	0.307445356563434	1.19619129464352
50	92	232623	2528.51086956522	1882.75	2554	3180.25	0.50692491823482	0.0462880572391346	0.124869303459883	0.324783038626026	1.26951610000961
51	74	304474	4114.51351351351	3012.25	3819.5	5065.5	0.506283090553856	0.0503690694707991	0.123113392547099	0.315735283190601	1.27847467719611
52	69	142466	2064.72463768116	1503	1969	2515	0.527073440048183	0.0688753713316993	0.142868872522079	0.356337267955888	1.28194173768852
53	47	110810	2357.65957446808	1662.5	2441	3024.5	0.528008619697121	0.08816371669907	0.17244762134298	0.369641651200491	1.23742015318476
54	75	220068	2934.24	2096	2742	3744	0.498691874890711	0.0495741863532494	0.132001592377967	0.336473787172301	1.24898217841868
55	114	285151	2501.32456140351	1931.25	2398.5	2954	0.473767576486643	0.040312618656807	0.110254420567366	0.306197929508127	1.17904264790429
56	63	85693	1360.20634920635	922	1364	1668	0.553427605425042	0.11281203336298	0.194455431343242	0.385120353273417	1.12777847882676
57	101	128239	1269.69306930693	889	1140	1445	0.587558818224141	0.0757824232557718	0.0952151276593826	0.202763507562847	0.739952111788997
58	53	48251	910.396226415094	640	936	1123	0.709121412235945	0.116031289260333	0.194840931179468	0.370776351272054	1.03776736248967
59	82	81111	989.158536585366	737.25	920.5	1144.75	0.455171931173517	0.0939349341046992	0.142336789622225	0.282764542281356	0.749199319179297
60	70	31957	456.528571428571	348	399.5	565	0.760345525876428	0.14140390736998	0.274892934934376	0.43517186869586	1.0771877053706
61	70	205513	2935.9	1540.5	2871.5	3836.5	0.352434868718032	0.0480899499140113	0.0950841294313151	0.186016260415666	0.578385911323478
62	85	172889	2033.98823529412	1358	1728	2488	0.385269674638984	0.0569385385487958	0.0978562110039029	0.188403715535062	0.625688341281832
63	64	52495	820.234375	572	755.5	1008.5	0.497973779308048	0.0984792728797756	0.179839967606838	0.334796312391107	0.819762616057974
64	46	41568	903.652173913043	609.5	839.5	1067	0.634232570894037	0.107915433415194	0.224056149466305	0.326698594749612	0.795779120378612
65	39	26929	690.487179487179	535.5	616	810	0.687108992082289	0.169907834230164	0.302028978149965	0.447149528673752	0.968472371989226
66	43	32270	750.46511627907	495	674	979.5	0.575455098445303	0.148867835554187	0.282779862853637	0.427423965278748	0.911147267842097
67	36	79721	2214.47222222222	1238.25	2004.5	2776.5	0.325340237698108	0.0896402506666408	0.133691833487508	0.267417835809229	0.653742942363187
68	69	176568	2558.95652173913	1699	2321	3515	0.295331992691953	0.0558266239496324	0.0930669664012216	0.162935174374571	0.524025359130223
69	56	41805	746.517857142857	515.25	663.5	951.75	0.46610313250806	0.123800860035517	0.222600855274227	0.356265579024818	0.854559480048814
70	81	98208	1212.44444444444	835	1174	1506	0.513762612484328	0.0767454991381637	0.11907165260816	0.252590857157123	0.712564537743495
71	87	295116	3392.13793103448	2089	3173	4164.5	0.350153121129414	0.0336254025914191	0.0681008738089692	0.152106707954042	0.535600490414102
72	95	29656	312.168421052632	188	300	379	0.679343282480695	0.151327261912975	0.259667471693265	0.403169845980842	0.95435391740816
73	55	36966	672.109090909091	505	549	819	0.673594991569119	0.127198853838333	0.249379708070778	0.384289716389366	0.869787002556244
74	52	62614	1204.11538461538	743	1039.5	1477.25	0.477106202951968	0.0801690752597253	0.152433613027603	0.268621645396883	0.652940898577726
75	89	163592	1838.11235955056	1172	1727	2211	0.486416421385978	0.0600970709116007	0.0943331266700727	0.186187823189118	0.637428834882663
76	75	148413	1978.84	1034	1342	2101.5	0.389700902351261	0.0661517879691092	0.102891365955191	0.199887421713295	0.662232860557123
77	58	31965	551.120689655172	337.25	491.5	667	0.626766061805576	0.145652054708281	0.277465444908827	0.404139190971995	0.997094703889624
78	33	23008	697.212121212121	523	650	816	0.5910211536792	0.193888732489738	0.326502842541032	0.492462682041908	1.02093433445683
79	54	12750	236.111111111111	148	217	294.25	0.793418157322157	0.344924348022919	0.502971940381853	0.654706768731755	1.40689622569086
80	53	60474	1141.01886792453	725	1089	1336	0.439047556707839	0.100268344839158	0.157524734403214	0.301309525715173	0.778621308016699
81	57	17799	312.263157894737	176	252	396	0.636581780104985	0.242786755303391	0.382188319508599	0.498701285812432	1.08425084707071
82	40	17881	447.025	274.5	383.5	571	0.708069909755133	0.263395775814541	0.406052900819021	0.589881293363713	1.17379771456427
83	91	35916	394.681318681319	220.5	367	519	0.505261303330689	0.122336077151142	0.231672202732687	0.345699012190247	0.834990466378534
84	112	26893	240.116071428571	153.75	189.5	315.75	0.48451953297192	0.162331480598573	0.281906367484274	0.393317042561298	0.860373689722295
85	104	24870	239.134615384615	170.75	212.5	281.25	0.72888652352126	0.179158110327202	0.321999940233806	0.494623081372941	1.05390788481463
86	91	27491	302.098901098901	219	287	393	0.689396728547315	0.159737427534292	0.269288944251067	0.401413316097166	0.928019881142603
87	80	18571	232.1375	145.75	185	300	0.758858338539673	0.250811185421443	0.400057921236478	0.582632340514768	1.11938442319691
88	53	23540	444.150943396226	322	428	570	0.765992992578473	0.206449119310632	0.374498624982685	0.554521441522517	1.15131043766618
89	69	79932	1158.4347826087	638	1000	1602	0.400137719409355	0.0967362516796044	0.159032017984686	0.326716575778026	0.929106569833341
90	29	56898	1962	1211	2143	2462	0.399763763438186	0.118933310290053	0.196554306004559	0.373215594606496	0.899449471844809
91	59	124101	2103.40677966102	1689.5	2002	2442	0.28364396319165	0.0788596229806355	0.142090916885838	0.266020145747591	0.610371513718264
92	54	177464	3286.37037037037	2512.25	3075.5	3930	0.273612011794998	0.0556263455261236	0.126816677152515	0.268085130616202	0.755859060123003
93	84	94746	1127.92857142857	762.5	1067.5	1441	0.332128508711618	0.0788998932627535	0.11614322216724	0.234191134434214	0.568389309822789
