peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_orphan_1670	0	0	0	0	0	0	0	1	0	0	0	0	1
HoiH23_PlH23_008838	1	0	0	0	0	0	0	0	1	1	1	0	0
HoiH23_orphan_1672	0	0	0	0	0	0	0	1	0	0	1	0	0
HoiH23_PlH23_008839	1	0	21	1	0	0	38	4	0	29	66	16	2
HoiH23_PlH23_008841	3	17	22	5	14	9	44	23	25	15	20	6	8
HoiH23_PlH23_008844	1	0	0	0	0	0	1	1	1	1	5	0	0
HoiH23_orphan_1673	0	0	2	0	0	0	0	0	0	1	0	2	0
HoiH23_PlH23_008840	0	0	2	0	0	1	9	2	1	2	6	0	3
HoiH23_orphan_1674	0	0	1	0	0	0	4	1	0	0	0	0	1
HoiH23_PlH23_008842	12	28	19	19	20	12	57	35	25	28	31	20	33
HoiH23_PlH23_008845	0	0	0	3	0	0	3	2	47	25	1	2	1
HoiH23_PlH23_008846	0	2	2	0	0	0	0	1	0	2	0	0	0
HoiH23_orphan_1675	0	0	0	0	0	0	0	0	0	1	5	1	0
HoiH23_PlH23_010340	0	0	0	0	1	0	0	1	1	0	1	0	0
HoiH23_PlH23_010341	0	0	0	0	0	0	0	0	2	1	0	0	0
HoiH23_PlH23_010344	12	5	15	1	12	3	13	21	11	14	5	1	11
HoiH23_PlH23_010345	0	0	0	0	11	1	0	0	0	0	0	0	6
HoiH23_PlH23_010348	72	129	275	104	546	194	492	272	364	226	282	154	126
HoiH23_orphan_1676	0	0	3	0	2	0	2	0	0	0	0	2	0
HoiH23_PlH23_010350	0	0	0	0	0	0	2	0	5	4	2	0	0
HoiH23_orphan_1677	0	2	1	0	0	1	2	3	7	2	0	1	1
HoiH23_orphan_1678	0	0	0	0	0	0	2	0	0	0	1	0	0
HoiH23_orphan_1679	5	13	29	7	6	10	15	23	27	15	14	2	12
HoiH23_orphan_1680	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_010347	5	13	27	31	18	14	23	19	64	16	16	11	21
HoiH23_orphan_1681	0	0	3	0	5	1	1	0	4	0	1	0	0
HoiH23_PlH23_010349	0	0	1	0	0	0	4	0	5	0	0	0	0
HoiH23_PlH23_009164	1	1	1	3	1	1	1	1	3	0	4	0	0
HoiH23_PlH23_009166	1	2	4	3	1	0	2	1	4	1	2	1	1
HoiH23_orphan_1682	0	0	0	0	0	0	5	1	0	0	0	2	0
HoiH23_PlH23_009169	0	1	5	4	4	0	6	1	4	2	9	2	0
HoiH23_PlH23_009172	1	0	1	0	0	0	0	0	2	0	0	0	0
HoiH23_PlH23_009175	9	23	11	2	26	22	45	32	86	22	37	23	20
HoiH23_PlH23_009176	0	2	1	1	1	0	1	4	4	2	0	0	0
HoiH23_PlH23_009165	3	4	10	8	4	5	38	13	16	12	18	8	4
HoiH23_PlH23_009167	0	1	5	2	2	2	12	5	2	2	4	1	0
HoiH23_PlH23_009168	2	3	9	0	3	4	75	13	13	3	6	28	1
HoiH23_orphan_1684	1	0	1	1	0	0	5	1	2	0	1	3	0
HoiH23_PlH23_009171	11	23	36	20	18	6	54	23	52	38	46	11	28
HoiH23_orphan_1685	0	0	1	0	0	0	0	0	2	0	0	0	0
HoiH23_PlH23_009173	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_009847	0	0	3	8	13	9	0	7	0	4	10	1	0
HoiH23_PlH23_009849	0	5	4	1	3	3	6	0	5	1	2	9	2
HoiH23_PlH23_009850	21	22	71	23	72	27	100	65	70	41	64	17	32
HoiH23_PlH23_009852	0	1	2	0	0	3	3	0	0	2	3	0	0
HoiH23_PlH23_009854	1	2	16	5	3	4	25	11	11	3	14	3	3
HoiH23_PlH23_009855	0	0	1	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_1687	1	0	3	0	0	1	0	1	2	0	5	0	1
HoiH23_PlH23_009848	55	124	0	1	10	8	0	1	16	0	0	0	0
HoiH23_PlH23_009851	0	0	2	0	0	0	1	5	1	2	4	2	0
HoiH23_PlH23_009853	0	0	0	1	4	0	0	1	0	0	0	1	1
HoiH23_PlH23_009856	0	0	2	2	1	0	2	1	6	1	4	1	0
HoiH23_PlH23_007907	0	2	1	1	7	5	9	3	8	6	5	2	1
HoiH23_PlH23_007909	7	14	6	9	19	11	39	45	25	26	18	20	24
HoiH23_PlH23_007911	2	3	8	3	7	2	12	14	10	8	8	2	6
HoiH23_PlH23_007913	1	1	2	2	5	1	1	2	3	1	3	1	1
HoiH23_PlH23_007914	0	0	0	0	0	0	1	0	1	0	0	0	0
HoiH23_PlH23_007917	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_007908	0	3	0	1	1	0	3	0	3	1	1	1	1
HoiH23_PlH23_007910	0	0	4	3	2	0	6	1	9	3	4	2	3
HoiH23_PlH23_007912	4	13	18	10	8	8	23	17	16	9	28	8	11
HoiH23_PlH23_007915	0	1	5	4	5	2	40	3	38	1	0	3	0
HoiH23_PlH23_007918	5	3	4	1	5	1	11	2	7	6	6	3	2
HoiH23_PlH23_002550	0	0	0	0	0	0	0	1	1	0	0	0	0
HoiH23_PlH23_002552	2	3	1	0	2	4	4	6	5	6	4	0	5
HoiH23_PlH23_002553	0	0	2	0	9	4	3	19	3	0	1	0	14
HoiH23_PlH23_002554	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_orphan_1690	0	1	4	1	1	1	1	0	2	0	0	1	1
HoiH23_PlH23_002556	6	11	33	23	24	12	53	44	39	23	52	23	13
HoiH23_PlH23_002557	0	3	2	0	4	1	2	1	2	2	7	2	0
HoiH23_PlH23_002558	1	7	99	10	72	12	75	47	66	32	127	12	22
HoiH23_PlH23_002561	0	4	10	2	8	0	15	1	3	0	7	2	2
HoiH23_PlH23_002562	0	0	1	0	0	0	0	16	3	0	2	0	2
HoiH23_PlH23_002564	6	4	9	4	5	2	5	4	5	6	7	0	4
HoiH23_orphan_1691	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_orphan_1692	0	0	0	0	1	0	0	0	1	0	0	0	0
HoiH23_PlH23_002567	1	6	9	3	4	5	5	1	2	1	3	0	1
HoiH23_PlH23_002568	1	1	0	1	1	1	2	0	0	0	1	0	0
HoiH23_orphan_1693	0	0	0	0	0	0	0	0	0	0	0	1	1
HoiH23_orphan_1694	0	0	0	0	0	0	1	0	0	1	0	0	0
HoiH23_PlH23_002570	5	8	12	5	10	2	16	10	25	17	13	3	3
HoiH23_PlH23_002571	3	7	13	6	9	11	12	3	25	18	12	5	4
HoiH23_PlH23_002573	7	13	18	7	13	7	20	5	20	11	30	6	3
HoiH23_PlH23_002574	4	10	8	3	3	4	13	3	9	3	5	3	4
HoiH23_PlH23_002576	5	5	20	8	4	3	22	8	12	4	22	15	5
HoiH23_PlH23_002578	0	0	3	0	11	0	2	2	2	2	3	1	3
HoiH23_PlH23_002581	1	0	2	1	0	0	5	4	5	1	6	1	0
HoiH23_PlH23_002582	3	14	7	6	3	7	18	8	13	7	15	2	8
HoiH23_PlH23_002583	17	38	44	16	15	14	30	20	21	19	36	11	12
HoiH23_PlH23_002584	8	18	77	3	13	16	191	86	36	16	24	47	61
HoiH23_PlH23_002585	1	1	6	3	47	2	411	5	39	7	8	1	4
HoiH23_PlH23_002588	8	13	22	4	25	11	7	15	19	15	15	8	15
HoiH23_PlH23_002589	0	0	0	2	0	0	3	0	2	1	0	0	0
HoiH23_PlH23_002591	3	4	40	12	8	3	9	4	10	18	16	3	1
HoiH23_PlH23_002592	1	0	3	0	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_002595	4	9	1	0	10	0	7	2	4	1	13	4	0
HoiH23_PlH23_002596	0	2	0	0	0	0	3	0	2	0	0	0	1
HoiH23_PlH23_002597	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_002598	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_002549	8	22	16	14	15	7	20	19	18	5	21	3	7
HoiH23_PlH23_002551	1	1	7	1	6	1	4	9	1	1	9	0	2
HoiH23_PlH23_002555	10	10	19	1	13	8	28	20	15	15	13	7	5
HoiH23_PlH23_002560	0	1	5	2	4	1	5	3	3	2	9	0	3
HoiH23_PlH23_002563	4	2	20	7	4	5	18	8	11	8	16	11	1
HoiH23_PlH23_002565	4	2	8	4	5	4	4	9	9	5	11	1	4
HoiH23_PlH23_002566	1	2	3	6	6	5	5	7	9	10	6	1	0
HoiH23_orphan_1697	1	1	4	4	3	1	11	3	4	0	2	3	1
HoiH23_orphan_1699	0	0	3	4	3	0	3	0	1	0	1	0	0
HoiH23_orphan_1700	3	8	3	1	0	0	0	0	4	1	0	0	0
HoiH23_PlH23_002569	0	0	0	1	0	0	0	0	0	0	1	0	0
HoiH23_PlH23_002572	0	1	9	2	4	1	3	1	0	5	3	3	0
HoiH23_PlH23_002575	3	6	22	6	5	0	21	3	17	3	45	9	2
HoiH23_PlH23_002577	6	5	13	1	2	0	7	2	9	5	2	2	1
HoiH23_PlH23_002579	9	7	38	10	12	0	14	7	12	6	10	1	10
HoiH23_PlH23_002580	11	20	46	20	11	16	118	33	18	28	132	32	46
HoiH23_orphan_1701	0	0	0	0	1	2	0	1	3	2	0	0	0
HoiH23_PlH23_002586	2	6	12	6	4	5	9	5	4	3	9	7	2
HoiH23_PlH23_002587	2	0	2	2	2	1	1	2	3	0	3	1	5
HoiH23_PlH23_002590	2	4	10	4	4	2	5	5	6	6	12	2	1
HoiH23_orphan_1702	0	0	16	4	0	1	3	2	3	2	5	0	0
HoiH23_PlH23_002593	0	0	0	0	0	0	0	0	0	0	2	0	0
HoiH23_PlH23_002594	0	0	0	0	1	0	0	0	0	1	0	1	0
HoiH23_PlH23_009002	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_PlH23_009005	1	2	4	0	1	0	5	2	3	3	7	1	3
HoiH23_PlH23_009006	11	15	47	13	73	29	79	44	90	82	28	19	12
HoiH23_orphan_1704	0	0	0	0	0	0	0	0	0	0	0	0	1
HoiH23_orphan_1705	0	1	0	0	0	0	3	0	0	0	0	0	0
HoiH23_orphan_1706	0	0	1	0	2	0	1	0	0	0	0	0	0
HoiH23_PlH23_009007	0	0	0	0	4	0	0	1	2	1	0	0	0
HoiH23_PlH23_009008	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_009009	0	1	1	0	1	0	3	1	1	0	1	2	0
HoiH23_orphan_1707	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_009010	0	0	0	1	0	1	0	0	0	1	3	0	0
HoiH23_PlH23_009011	0	0	0	1	0	0	0	0	0	0	42	0	0
HoiH23_PlH23_010086	1	0	8	1	3	0	1	2	1	1	7	1	1
HoiH23_PlH23_010088	0	0	2	1	1	0	1	1	12	5	1	2	1
HoiH23_PlH23_010081	0	0	5	0	9	0	0	0	0	0	0	0	0
HoiH23_PlH23_010082	0	0	1	0	3	0	4	84	0	0	1	0	0
HoiH23_PlH23_010083	0	0	0	0	0	0	0	0	0	0	0	0	198
HoiH23_PlH23_010084	0	0	0	0	0	0	1	0	0	0	0	1	0
HoiH23_orphan_1708	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_010087	13	21	72	13	19	21	70	42	37	22	56	14	19
HoiH23_PlH23_010089	0	5	22	5	2	2	23	4	3	10	9	1	5
HoiH23_orphan_1710	0	0	0	0	18	8	1	0	7	26	3	40	5
HoiH23_orphan_1711	0	0	1	0	6	10	0	0	1	13	11	20	7
HoiH23_PlH23_011005	0	0	0	0	1	2	0	0	6	20	9	12	3
HoiH23_PlH23_011006	0	0	1	0	3	0	1	0	0	1	10	0	1
HoiH23_PlH23_011007	10	16	0	0	2	7	1	0	1	2	0	1	0
HoiH23_PlH23_011008	6	12	5	0	17	16	0	1	1	11	1	47	13
HoiH23_PlH23_011009	0	0	0	0	8	7	0	0	6	0	0	8	0
HoiH23_PlH23_011010	0	0	1	0	45	1	1	0	0	0	0	0	19
HoiH23_PlH23_011011	0	0	0	0	0	0	0	21	2	0	0	8	7
HoiH23_PlH23_011012	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_orphan_1713	0	0	0	0	9	4	0	0	1	5	2	8	12
HoiH23_orphan_1714	0	0	0	0	11	4	0	0	2	0	0	1	0
HoiH23_orphan_1715	0	0	0	0	2	0	0	0	0	0	0	4	0
HoiH23_PlH23_008682	0	6	9	4	3	3	13	11	9	9	10	3	3
HoiH23_PlH23_008684	1	0	0	0	0	0	0	1	0	0	0	0	1
HoiH23_PlH23_008686	3	17	34	10	18	8	41	19	34	19	15	6	19
HoiH23_PlH23_008688	7	12	25	17	8	10	36	11	22	19	21	18	7
HoiH23_PlH23_008690	11	17	40	17	10	8	24	11	26	18	40	9	17
HoiH23_PlH23_008691	8	4	19	5	7	4	30	17	17	12	26	5	7
HoiH23_PlH23_008693	6	5	9	5	7	2	17	11	10	2	11	4	8
HoiH23_orphan_1717	0	1	0	1	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_008695	2	6	4	6	7	2	6	7	3	5	9	3	7
HoiH23_PlH23_008696	3	2	5	0	0	0	0	1	5	1	3	0	0
HoiH23_PlH23_008680	0	0	0	2	0	0	1	0	1	0	0	0	0
HoiH23_PlH23_008681	5	4	23	11	0	4	30	12	23	7	11	6	2
HoiH23_PlH23_008683	6	6	18	2	7	9	23	18	24	10	15	9	3
HoiH23_PlH23_008685	2	4	7	2	3	4	10	7	9	7	7	4	0
HoiH23_PlH23_008687	1	0	2	3	0	0	2	1	1	0	7	1	1
HoiH23_PlH23_008689	0	0	1	0	1	0	0	3	2	0	4	0	0
HoiH23_PlH23_008692	0	1	2	0	1	2	1	1	4	2	5	1	0
HoiH23_PlH23_008694	2	2	21	5	4	3	17	4	4	5	20	10	2
HoiH23_PlH23_008280	1	2	2	4	1	0	0	1	1	0	1	1	1
HoiH23_PlH23_008281	1	2	8	1	3	2	6	0	21	17	10	2	1
HoiH23_orphan_1718	16	13	8	0	0	1	0	0	1	0	0	0	0
HoiH23_PlH23_008285	101	152	37	0	6	11	0	0	1	0	4	0	1
HoiH23_PlH23_008286	1	3	3	0	3	0	4	0	1	0	3	1	1
HoiH23_PlH23_008278	0	1	1	0	2	0	3	0	1	3	0	1	0
HoiH23_PlH23_008279	0	0	6	6	0	1	3	0	1	1	2	0	0
HoiH23_orphan_1719	24	54	73	28	78	55	98	73	102	61	98	30	34
HoiH23_PlH23_008282	0	0	4	2	7	1	6	7	2	1	11	1	1
HoiH23_PlH23_008283	5	9	18	4	1	1	15	10	21	8	12	2	4
HoiH23_PlH23_008284	0	1	10	1	1	0	8	2	7	0	5	1	4
HoiH23_orphan_1720	0	0	1	0	0	0	0	0	1	0	1	0	0
HoiH23_PlH23_008991	0	0	2	0	0	0	4	5	2	2	1	2	0
HoiH23_PlH23_008995	0	1	3	0	3	0	0	0	0	0	0	0	0
HoiH23_orphan_1722	0	0	1	0	0	0	0	0	0	0	3	1	1
HoiH23_PlH23_008999	7	31	22	5	16	8	32	16	11	18	148	12	21
HoiH23_PlH23_009001	0	2	1	0	2	0	2	0	2	0	3	0	0
HoiH23_PlH23_008993	0	0	0	0	0	0	1	1	0	0	0	0	0
HoiH23_PlH23_008994	3	1	2	1	4	4	7	4	3	2	5	0	0
HoiH23_PlH23_008996	21	23	29	16	70	35	59	43	71	42	37	34	15
HoiH23_orphan_1724	3	5	7	7	15	11	17	15	12	7	6	5	4
HoiH23_PlH23_008997	2	1	11	4	44	39	36	13	72	20	12	18	3
HoiH23_PlH23_008998	0	0	2	0	0	0	1	0	2	0	2	4	0
HoiH23_orphan_1725	1	0	1	0	0	0	0	0	0	0	2	2	0
HoiH23_PlH23_009000	9	9	31	31	68	27	95	44	112	45	37	17	15
HoiH23_PlH23_008923	7	9	21	6	14	7	50	26	41	19	30	9	12
HoiH23_PlH23_008925	0	0	0	0	0	0	1	0	1	0	1	0	0
HoiH23_PlH23_008927	2	1	1	0	0	0	2	0	0	0	1	0	0
HoiH23_PlH23_008929	7	13	73	18	27	16	60	58	46	28	16	10	11
HoiH23_PlH23_008932	0	2	13	1	6	5	11	5	15	16	9	4	3
HoiH23_PlH23_008933	0	0	1	0	1	0	1	1	1	0	2	3	1
HoiH23_PlH23_008934	0	1	1	0	0	0	0	3	0	0	0	0	0
HoiH23_PlH23_008935	0	0	0	0	8	0	0	3	0	0	0	0	0
HoiH23_PlH23_008936	1	3	4	0	3	1	5	3	4	6	2	2	2
HoiH23_PlH23_008924	1	10	19	1	10	2	37	18	17	6	13	14	6
HoiH23_PlH23_008926	1	1	9	1	6	5	13	4	7	4	10	0	0
HoiH23_PlH23_008928	0	2	4	0	4	1	2	0	0	1	5	0	1
HoiH23_PlH23_008930	1	1	2	0	0	0	1	0	1	1	0	0	0
HoiH23_PlH23_008931	1	1	1	0	0	0	1	0	3	1	0	0	1
HoiH23_orphan_1727	0	0	0	0	1	0	0	1	0	0	0	0	0
HoiH23_orphan_1728	0	3	7	0	6	2	15	6	6	4	2	3	3
HoiH23_orphan_1730	0	0	0	0	0	32	1	0	0	2	5	51	0
HoiH23_PlH23_008536	13	24	31	7	43	34	27	23	55	28	47	15	2
HoiH23_PlH23_008538	1	0	3	3	3	0	7	3	5	3	5	1	8
HoiH23_PlH23_008539	3	1	4	4	1	2	3	0	3	1	3	0	5
HoiH23_PlH23_008542	1	3	7	2	1	1	13	2	4	4	0	4	2
HoiH23_PlH23_008544	8	7	21	0	58	21	12	1	43	1	8	2	6
HoiH23_orphan_1731	0	0	0	0	0	11	1	0	3	8	6	18	0
HoiH23_PlH23_008537	1	2	3	1	2	0	7	2	7	4	3	2	3
HoiH23_PlH23_008541	0	3	4	0	0	0	3	4	2	4	3	1	0
HoiH23_PlH23_008543	1	3	23	2	25	8	10	2	22	9	12	2	5
HoiH23_orphan_1732	0	0	2	0	39	17	1	0	17	1	5	0	5
HoiH23_orphan_1733	0	1	6	0	2	3	0	0	13	0	0	0	1
HoiH23_orphan_1734	0	0	0	0	4	0	0	1	8	0	6	0	0
HoiH23_PlH23_010453	0	1	6	4	5	0	2	5	4	0	3	3	0
HoiH23_PlH23_010457	0	0	9	0	5	3	26	4	4	5	1	1	1
HoiH23_PlH23_010460	275	741	750	272	427	172	804	603	414	208	465	181	206
HoiH23_PlH23_010451	0	1	4	0	0	0	6	0	1	0	1	2	0
HoiH23_PlH23_010452	0	4	13	3	3	1	23	9	5	2	0	1	10
HoiH23_PlH23_010459	0	2	5	2	1	0	0	0	0	1	1	0	0
HoiH23_PlH23_010461	0	0	0	0	2	0	3	0	0	0	1	0	0
HoiH23_PlH23_010463	0	0	1	0	0	0	6	4	0	0	0	3	0
HoiH23_PlH23_010464	0	1	18	0	0	0	31	1	3	2	2	15	0
HoiH23_PlH23_010465	0	1	1	1	0	0	4	0	1	0	0	2	0
HoiH23_PlH23_009348	0	0	0	2	0	0	0	0	7	0	0	0	1
HoiH23_PlH23_009349	0	0	25	12	11	5	12	19	44	10	13	10	23
HoiH23_PlH23_009350	0	0	0	0	0	0	0	0	1	0	1	0	1
HoiH23_PlH23_009352	6	8	12	3	8	0	17	2	10	13	16	3	3
HoiH23_PlH23_009353	0	1	5	3	0	0	2	0	3	1	3	0	1
HoiH23_PlH23_009356	0	0	0	0	0	1	0	0	0	0	1	0	0
HoiH23_orphan_1736	0	0	0	2	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_009351	7	11	20	4	4	0	19	15	21	5	13	8	4
HoiH23_PlH23_009354	0	0	2	0	1	3	10	3	0	0	1	2	0
HoiH23_PlH23_009355	0	0	4	0	3	0	0	0	0	0	0	0	0
HoiH23_orphan_1737	0	0	0	1	0	0	0	1	0	0	1	1	1
HoiH23_orphan_1738	6	19	119	111	18	20	28	13	59	24	77	57	22
HoiH23_PlH23_003154	9	24	130	120	12	46	28	13	69	62	87	10	32
HoiH23_PlH23_003155	16	20	97	16	47	23	110	78	71	23	179	28	60
HoiH23_PlH23_003157	1	1	8	0	1	3	6	1	4	6	8	1	1
HoiH23_PlH23_003159	0	2	0	1	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_003162	1	0	0	0	0	0	4	5	0	0	1	1	2
HoiH23_orphan_1739	2	6	2	1	14	3	12	15	16	11	0	0	0
HoiH23_orphan_1740	0	1	0	0	0	0	1	0	0	3	0	0	0
HoiH23_PlH23_003163	5	7	0	1	8	6	19	10	12	12	0	1	1
HoiH23_PlH23_003164	72	124	236	38	87	58	239	212	134	70	149	25	68
HoiH23_PlH23_003165	1	0	0	0	0	1	17	3	1	0	1	0	0
HoiH23_orphan_1741	0	0	0	0	1	1	3	0	0	0	1	1	0
HoiH23_orphan_1742	0	0	0	0	0	1	0	0	0	0	1	0	0
HoiH23_PlH23_003166	11	25	38	3	21	26	35	23	40	64	39	5	20
HoiH23_PlH23_003167	0	0	1	0	1	0	1	3	0	0	2	0	0
HoiH23_PlH23_003171	1	2	3	6	2	0	1	0	2	2	2	1	1
HoiH23_PlH23_003173	1	0	11	1	4	0	9	6	5	1	8	0	2
HoiH23_PlH23_003175	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_003177	3	3	7	1	5	4	14	2	8	9	8	5	1
HoiH23_PlH23_003178	0	0	1	0	0	2	3	0	1	0	1	0	0
HoiH23_PlH23_003181	3	1	12	11	12	3	31	15	17	7	6	4	5
HoiH23_PlH23_003184	0	3	3	1	1	1	1	1	0	0	0	0	0
HoiH23_PlH23_003185	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_003187	0	0	1	0	0	0	1	0	3	0	0	0	1
HoiH23_PlH23_003190	1	5	8	2	1	3	8	6	1	1	2	4	1
HoiH23_PlH23_003192	0	0	3	6	0	1	2	8	7	5	1	2	2
HoiH23_PlH23_003193	1	3	22	25	2	0	3	6	2	4	4	1	3
HoiH23_PlH23_003195	3	4	13	8	10	2	13	2	6	5	16	6	2
HoiH23_PlH23_003197	7	9	16	8	6	3	28	17	23	6	22	8	8
HoiH23_PlH23_003201	8	8	13	8	1	0	4	1	2	1	3	1	2
HoiH23_PlH23_003203	2	4	5	2	0	0	4	0	3	4	9	2	0
HoiH23_orphan_1745	0	0	0	0	8	1	1	0	3	1	7	4	5
HoiH23_orphan_1746	0	0	5	0	1	5	1	1	10	0	16	6	3
HoiH23_PlH23_003156	1	0	3	0	0	0	2	1	0	0	0	4	0
HoiH23_PlH23_003158	10	17	28	14	34	18	47	25	54	36	39	20	14
HoiH23_PlH23_003160	0	0	0	0	0	0	0	0	0	0	0	1	0
HoiH23_PlH23_003161	0	0	0	0	0	0	1	0	0	0	1	0	0
HoiH23_orphan_1747	0	0	0	0	1	0	0	0	1	0	0	0	0
HoiH23_orphan_1748	0	1	0	0	0	5	2	0	9	0	2	2	0
HoiH23_orphan_1749	0	0	2	0	0	0	1	1	3	2	2	0	0
HoiH23_orphan_1750	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_003168	0	0	0	0	0	0	4	2	261	225	0	0	0
HoiH23_PlH23_003169	1	2	13	3	5	2	7	4	5	1	4	6	0
HoiH23_PlH23_003172	0	1	1	0	0	0	0	0	0	1	6	0	3
HoiH23_PlH23_003174	0	0	0	0	0	0	1	0	0	0	1	1	1
HoiH23_PlH23_003176	4	4	12	0	5	3	7	4	10	8	12	6	1
HoiH23_PlH23_003180	38	97	141	80	141	110	313	251	293	219	174	134	85
HoiH23_PlH23_003183	0	0	1	0	0	0	1	0	0	0	1	0	0
HoiH23_PlH23_003186	0	0	1	0	1	0	0	2	2	1	1	1	0
HoiH23_PlH23_003189	0	0	1	0	2	0	0	2	0	0	1	0	0
HoiH23_orphan_1751	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_PlH23_003191	1	5	2	4	2	1	5	4	4	6	4	4	5
HoiH23_PlH23_003196	0	1	3	1	3	0	5	1	2	2	3	2	0
HoiH23_PlH23_003198	0	0	0	0	0	3	3	1	0	0	1	1	0
HoiH23_PlH23_003199	0	0	4	0	0	1	0	11	2	10	0	0	9
HoiH23_PlH23_003200	120	26	11	10	0	0	0	4	1	0	7	0	0
HoiH23_hyp_clust5206b	0	0	1	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_003202	2	5	10	2	7	2	9	6	7	5	8	3	2
HoiH23_PlH23_003204	0	0	5	0	4	0	2	4	1	1	4	0	0
HoiH23_PlH23_003205	12	13	33	4	3	0	21	2	5	19	103	12	11
HoiH23_orphan_1752	3	2	11	1	0	0	2	0	1	6	5	3	0
HoiH23_PlH23_003206	33	54	125	42	69	28	151	105	145	73	273	86	33
HoiH23_PlH23_009178	0	0	1	0	1	1	0	1	1	1	1	1	0
HoiH23_PlH23_009179	0	0	2	2	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_009180	0	0	0	0	0	3	0	0	2	0	0	0	0
HoiH23_PlH23_009183	1	1	5	0	0	0	2	0	2	0	0	1	0
HoiH23_orphan_1753	1	0	6	0	16	15	6	2	6	4	0	1	1
HoiH23_orphan_1754	0	0	0	0	0	1	0	0	0	0	0	0	0
HoiH23_orphan_1755	0	0	0	0	0	0	1	0	0	0	0	0	0
HoiH23_orphan_1756	1	0	10	3	0	0	14	4	3	1	3	2	0
HoiH23_PlH23_008132	1	0	2	0	0	0	3	0	4	0	1	1	1
HoiH23_PlH23_008133	0	0	2	0	1	1	3	7	6	1	4	1	0
HoiH23_PlH23_008135	110	308	462	342	39	83	2283	871	261	418	472	137	175
HoiH23_PlH23_008136	0	3	3	3	2	2	11	4	5	4	4	2	2
HoiH23_PlH23_008138	8	7	23	15	11	10	14	5	12	11	24	7	2
HoiH23_PlH23_008139	0	0	5	0	9	7	30	5	7	5	3	2	5
HoiH23_PlH23_008141	1	0	1	1	3	1	6	1	1	4	9	2	0
HoiH23_PlH23_008144	0	0	1	2	1	0	4	2	1	0	2	1	0
HoiH23_orphan_1757	0	0	0	0	0	0	1	0	0	0	0	1	1
HoiH23_PlH23_008137	0	0	0	1	3	0	4	3	4	0	5	2	1
HoiH23_PlH23_008140	1	2	3	2	2	1	5	1	2	0	7	0	1
HoiH23_PlH23_008142	0	1	7	3	1	1	2	3	5	2	5	3	0
HoiH23_PlH23_008143	2	1	6	1	5	1	3	4	4	2	2	4	0
HoiH23_orphan_1758	0	0	18	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_1759	1	1	0	0	5	0	0	1	0	0	0	0	0
HoiH23_PlH23_010417	0	0	9	21	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_010418	0	0	24	22	1	2	2	2	3	2	0	1	1
HoiH23_PlH23_010420	1	2	4	0	3	0	3	1	5	6	3	0	0
HoiH23_PlH23_010421	42	55	70	37	32	19	67	55	84	76	70	23	11
HoiH23_PlH23_010409	0	0	1	0	0	0	0	0	0	0	0	0	6
HoiH23_PlH23_010411	0	0	0	0	0	0	0	18	0	0	0	0	0
HoiH23_PlH23_010413	1	5	12	1	14	3	0	3	0	0	2	0	0
HoiH23_PlH23_010414	8	15	34	2	51	0	0	0	0	0	1	0	0
HoiH23_PlH23_010416	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_010419	0	1	6	2	4	2	8	2	2	1	9	3	1
HoiH23_PlH23_009520	0	0	0	0	0	0	0	0	0	1	0	0	0
HoiH23_PlH23_009522	0	0	0	0	0	0	0	1	1	0	0	0	0
HoiH23_PlH23_009523	0	0	0	1	0	0	2	0	1	2	0	0	0
HoiH23_PlH23_009524	0	0	0	0	0	0	2	2	1	0	2	1	0
