peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu
HoiH23_PlH23_000099	1	4	16	3	8	1	17	10	6	5	20	4	7
HoiH23_PlH23_000101	1	5	3	2	1	1	8	4	4	1	3	1	0
HoiH23_PlH23_000103	1	1	2	3	3	0	4	3	3	1	3	5	0
HoiH23_PlH23_000106	0	1	0	1	1	0	1	0	0	0	0	2	1
HoiH23_PlH23_000108	1	0	6	6	1	1	3	4	7	0	4	3	2
HoiH23_PlH23_000110	3	5	7	0	0	0	0	3	0	2	1	0	2
HoiH23_orphan_30	0	1	3	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_000113	3	9	10	3	11	5	19	14	15	14	15	8	6
HoiH23_PlH23_000115	0	0	3	0	0	1	12	1	7	1	0	3	6
HoiH23_orphan_31	0	0	0	0	0	0	0	0	1	0	0	0	0
HoiH23_PlH23_000116	1	5	2	0	5	18	91	125	12	5	2	2	7
HoiH23_PlH23_000117	3	3	10	0	11	19	101	132	16	2	3	2	5
HoiH23_PlH23_000118	0	0	0	1	3	4	18	25	1	1	1	0	0
HoiH23_PlH23_000119	3	7	23	3	6	2	43	19	13	7	14	10	3
HoiH23_PlH23_000122	0	0	1	2	0	0	0	0	1	0	0	0	97
HoiH23_PlH23_000124	0	1	1	0	4	0	6	9	1	1	2	0	0
HoiH23_PlH23_000125	0	0	1	0	0	0	0	22	0	0	1	0	0
HoiH23_PlH23_000126	1	1	3	0	0	0	6	3	5	0	2	0	3
HoiH23_PlH23_000129	7	15	30	7	10	4	26	15	31	17	32	10	8
HoiH23_PlH23_000132	0	1	3	4	2	0	3	5	7	3	2	3	3
HoiH23_orphan_32	0	0	1	0	0	0	0	0	2	0	0	0	1
HoiH23_PlH23_000135	11	27	55	21	13	9	62	20	31	20	27	6	12
HoiH23_PlH23_000136	1	2	4	1	1	0	1	4	4	3	7	3	2
HoiH23_PlH23_000137	1	3	4	1	1	1	10	5	6	7	5	0	2
HoiH23_PlH23_000139	4	3	11	1	4	1	4	3	3	2	6	2	1
HoiH23_PlH23_000141	0	0	0	1	1	0	0	1	0	1	1	0	1
HoiH23_PlH23_000142	0	3	3	1	0	1	0	1	1	8	2	2	1
HoiH23_PlH23_000144	0	5	7	2	2	4	4	7	18	5	3	1	1
HoiH23_orphan_33	0	0	0	0	0	0	0	0	1	0	1	1	0
HoiH23_PlH23_000150	5	6	14	6	4	3	11	11	21	10	10	2	8
HoiH23_PlH23_000151	1	2	15	3	5	2	6	7	7	2	4	4	2
HoiH23_orphan_34	0	0	1	0	1	0	0	0	0	0	0	0	1
HoiH23_PlH23_000170	8	19	25	5	6	6	26	21	48	24	24	7	10
HoiH23_PlH23_000171	0	0	4	1	0	0	4	0	3	1	3	1	0
HoiH23_PlH23_000173	0	0	0	0	2	1	5	0	0	0	0	0	0
HoiH23_PlH23_000175	16	33	86	4	10	7	66	27	39	15	113	26	10
HoiH23_orphan_35	0	0	0	0	0	0	4	0	0	0	3	0	8
HoiH23_PlH23_000178	0	1	1	0	0	0	8	2	1	0	16	0	40
