1	2	3	4	5	6	7	22	23	25	26	29	30	14	15	16	17	18	24	8	9	10	11	12	13	34	37	38	27	28	20	21	19	33	35	31	32	36
Hhon_g00074.t1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	5	1	3	0	1	4	0	0	0	0	1	1	1	2	1	1	1	0	1	3	1	2
Hhon_g00078.t1	0	0	0	0	0	0	0	0	2	1	2	1	0	0	1	0	1	1	1	0	0	0	0	1	1	2	0	0	0	0	1	1	1	1	2	0	0	0
Hhon_orphan_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00079.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00082.t1	3	6	14	13	7	14	12	3	11	3	22	16	6	3	6	12	14	8	9	2	7	9	2	3	1	11	18	9	9	30	5	3	15	8	15	5	19	9
Hhon_g00084.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00086.t1	0	1	0	0	1	0	2	2	0	0	1	1	0	0	0	0	2	1	0	0	0	0	2	0	3	1	0	1	1	2	1	0	3	0	0	2	1	4
Hhon_g00088.t1	3	0	3	2	1	0	1	1	1	6	16	4	2	2	0	1	2	2	3	0	2	2	1	1	2	3	3	0	0	2	0	0	1	5	2	3	3	1
Hhon_g00089.t1	1	0	0	0	1	0	2	0	3	1	3	3	0	3	2	4	4	0	3	0	2	0	0	2	0	4	2	0	1	3	1	0	11	1	0	2	2	7
Hhon_g00091.t1	2	0	0	0	2	0	1	2	4	0	6	19	3	1	9	15	7	3	2	2	6	5	1	5	0	8	7	2	7	11	1	3	13	5	2	3	4	7
Hhon_g00092.t1	141	211	95	95	28	38	55	136	148	151	344	200	47	68	75	79	276	130	184	34	56	86	30	38	49	119	106	56	81	170	99	83	239	31	9	63	154	162
Hhon_g00094.t1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	1	0	4	1	1	0	2	1	1	0	0	0	8	5	0
Hhon_g00095.t1	0	0	1	0	0	1	0	0	0	0	1	3	0	1	1	1	2	0	1	0	0	1	0	1	0	1	1	2	0	3	2	0	2	1	1	0	0	2
Hhon_g00097.t1	1	1	0	1	0	0	0	1	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	0	0	2	0	0	2	0	0
Hhon_g00100.t1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0
Hhon_orphan_12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
Hhon_g00103.t1	2	0	0	1	1	1	6	2	3	3	6	3	1	6	3	5	2	0	5	4	6	5	2	3	2	7	8	0	3	9	1	5	4	1	7	7	5	14
Hhon_g00104.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Hhon_g00106.t1	1	0	3	0	1	1	0	0	0	1	1	4	1	1	0	0	6	1	0	0	0	0	1	0	0	1	11	6	1	5	0	0	4	0	0	0	0	2
Hhon_g00108.t1	0	2	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	3	1	0	1	0	0	0	1	0
Hhon_g00110.t1	0	2	2	2	1	0	0	3	1	2	8	3	1	0	0	3	4	2	1	1	0	1	1	1	0	7	4	4	0	4	0	1	4	0	6	0	6	1
Hhon_g00112.t1	0	0	4	2	1	1	2	7	1	0	3	13	1	4	2	1	7	3	1	0	2	8	1	7	3	13	3	4	0	1	5	2	6	2	4	9	12	5
Hhon_g00115.t1	1	2	1	2	1	0	0	6	9	12	25	5	5	1	5	1	8	10	7	5	5	12	6	7	8	3	16	5	4	21	2	6	17	8	17	11	14	18
Hhon_g00116.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	6	0	1	1	4	2	13	2	2	4	1	69	1	0	7	16	23
Hhon_g00117.t1	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
Hhon_g00118.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	1	1
Hhon_g00119.t1	47	167	81	90	49	36	83	67	120	192	556	160	43	49	27	45	74	63	142	35	22	58	36	23	28	86	137	61	139	528	29	36	138	124	99	64	95	129
Hhon_g00120.t1	0	0	0	0	0	0	0	0	0	32	94	1	0	0	0	2	1	1	0	0	1	1	1	0	0	0	0	0	14	69	0	0	3	1	0	0	1	0
Hhon_orphan_13	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Hhon_g00122.t1	0	2	0	3	3	1	2	3	3	0	1	8	0	0	1	1	4	1	6	2	0	1	1	0	1	0	5	1	1	1	4	4	6	2	0	1	1	1
Hhon_g00124.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Hhon_g00126.t1	0	0	0	0	1	0	0	10	3	4	5	0	0	0	3	5	17	20	3	2	9	19	10	10	10	12	0	0	13	68	43	25	44	3	0	18	40	95
Hhon_g00128.t1	2	1	0	1	1	0	1	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	1	2	0	0	1	1	0	0	0	1
Hhon_g00132.t1	0	7	3	2	1	0	8	1	2	4	12	5	2	3	1	1	1	4	2	0	2	4	2	1	2	4	6	3	1	4	4	1	16	3	5	3	8	5
Hhon_g00134.t1	0	1	0	2	2	0	2	1	0	0	2	2	0	1	0	0	3	1	0	0	1	1	1	0	1	2	2	1	0	1	1	0	3	0	2	2	0	0
Hhon_g00136.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0	3	0	2	0	0	1	0	0	0	1
Hhon_g00138.t1	0	0	1	2	1	2	2	0	0	1	1	5	1	0	1	0	2	3	0	2	4	6	1	2	1	3	5	6	1	2	0	0	3	1	0	2	3	1
Hhon_g00141.t1	3	18	13	14	14	9	19	9	9	12	35	16	8	4	7	14	16	9	10	2	4	7	2	6	6	24	22	10	3	19	5	4	18	12	7	5	7	10
Hhon_g00144.t1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00145.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
Hhon_orphan_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
