peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000513	0.331147758129677	0.54802861927234	1.1230973843653	1.8326564722096	0.417178482860917	0.37978289078077	0.345163011076595	0.320503887851509	0.289586470520097	0.338600451467269	0.595653932419017	0.574124072867207	0.161714802903563	0.467095702719535	0.648256190846623
TrH2_TrispH2_000514	0	0	0	0	0	0	0	0	0	0	0	0	0.00260830327263812	0.0129748806310982	0
TrH2_TrispH2_000519	0.0220765172086452	0.0608920688080378	0.147775971627013	0.0879675106660607	0.0695297471434862	0.0158242871158654	0.0784461388810443	0.12541456481146	0.0868759411560292	0.0591207137482532	0.110306283781299	0.0620674673369953	0.0312996392716574	0.0259497612621964	0.0432170793897748
TrH2_TrispH2_000521	0.0662295516259355	0.010148678134673	0.0591103886508054	0.0146612517776768	0.0231765823811621	0.0316485742317309	0.0156892277762089	0.0278699032914356	0.0144793235260049	0.0214984413630012	0.0367687612604331	0	0.0130415163631906	0.0259497612621964	0
TrH2_TrispH2_000522	0.0220765172086452	0.010148678134673	0	0	0	0.0158242871158654	0	0.0139349516457178	0	0	0	0	0	0	0
TrH2_TrispH2_000524	0	0	0	0	0	0	0.0156892277762089	0	0	0.0107492206815006	0.00735375225208663	0	0.00260830327263812	0	0
TrH2_TrispH2_000525	0	0.010148678134673	0.0295551943254027	0	0.0463531647623242	0.0158242871158654	0.0156892277762089	0.0139349516457178	0.0289586470520097	0.0053746103407503	0.264735081075119	0.093101201005493	0.0312996392716574	0	0
TrH2_TrispH2_000527	0.0220765172086452	0.0202973562693459	0.177331165952416	0.175935021332121	0	0.0632971484634617	0.0627569111048354	0.0139349516457178	0	0.0591207137482532	0.154428797293819	0.108618067839742	0.00782490981791435	0.103799045048786	0
TrH2_TrispH2_000530	0.463606861381548	0.223270918962805	0.32510713757943	0.381192546219596	0.162236076668135	0.0158242871158654	0.0784461388810443	0.278699032914356	0.217189852890073	0.17736214124476	0.220612567562599	0.356887937187723	0.0365162458169336	0.0778492837865892	0.0432170793897748
TrH2_TrispH2_000532	0	0	0	0.0146612517776768	0	0	0	0.0139349516457178	0.0144793235260049	0.0107492206815006	0	0	0.00260830327263812	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000533	0.0220765172086452	0.010148678134673	0.0295551943254027	0.0293225035553536	0	0.0158242871158654	0	0.0139349516457178	0.0144793235260049	0.0053746103407503	0.0294150090083465	0.0155168668342488	0.0104332130905525	0.0518995225243928	0
TrH2_TrispH2_000535	0	0.010148678134673	0	0	0	0	0	0.0278699032914356	0	0.0053746103407503	0.0147075045041733	0	0.00521660654527623	0	0
TrH2_TrispH2_000536	0.0220765172086452	0	0.0591103886508054	0	0	0.0158242871158654	0.0156892277762089	0	0	0.0268730517037515	0.0441225135125198	0	0	0	0.0864341587795497
TrH2_TrispH2_000538	0.0662295516259355	0.131932815750748	0.0591103886508054	0.278563783775859	0.0927063295246483	0.0158242871158654	0.125513822209671	0.181154371394331	0.130313911734044	0.0859937654520047	0.161782549545906	0.0620674673369953	0.0391245490895717	0.103799045048786	0.0864341587795497
TrH2_orphan_3	0	0	0.0591103886508054	0.0439837553330303	0.0463531647623242	0	0.0470676833286266	0.0278699032914356	0.0434379705780146	0.0161238310222509	0.0147075045041733	0	0.00782490981791435	0	0.0432170793897748
TrH2_TrispH2_000540	0	0.010148678134673	0.0295551943254027	0	0.0231765823811621	0.0158242871158654	0.0156892277762089	0	0.0144793235260049	0	0	0.0155168668342488	0.00521660654527623	0.0259497612621964	0
TrH2_TrispH2_000541	0.0220765172086452	0.010148678134673	0	0.0146612517776768	0	0	0	0	0	0.0053746103407503	0	0	0	0.0129748806310982	0.216085396948874
TrH2_TrispH2_000543	0	0	0.0591103886508054	0	0.11588291190581	0.0791214355793271	0.156892277762089	0.0278699032914356	0	0.134365258518757	0.0294150090083465	0.465506005027465	0.0938989178149722	0.233547851359767	0
TrH2_orphan_4	0.0220765172086452	0.0304460344040189	0	0.0146612517776768	0	0.0158242871158654	0.0313784555524177	0	0.0144793235260049	0.0107492206815006	0.058830018016693	0.0155168668342488	0.00260830327263812	0	0.0432170793897748
TrH2_TrispH2_000544	0.176612137669161	0.131932815750748	0.0591103886508054	0.0586450071107071	0.0463531647623242	0.0158242871158654	0.0470676833286266	0.111479613165742	0.0144793235260049	0.0483714930667527	0.102952531529213	0.0465506005027465	0.0208664261811049	0.0129748806310982	0.216085396948874
TrH2_TrispH2_000547	0.0220765172086452	0.010148678134673	0	0	0	0.0158242871158654	0	0.0696747582285889	0.0289586470520097	0.0107492206815006	0.00735375225208663	0	0.00260830327263812	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000551	0.0441530344172903	0.0811894250773837	0	0.0293225035553536	0.0927063295246483	0.0316485742317309	0.0313784555524177	0.111479613165742	0.0144793235260049	0.0322476620445018	0.0661837702687796	0	0.0208664261811049	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000554	0.154535620460516	0.10148678134673	0	0	0.0695297471434862	0.0474728613475963	0.0313784555524177	0.0557398065828712	0.0723966176300243	0.17736214124476	0.0735375225208663	0.0155168668342488	0.0156498196358287	0.0129748806310982	0.0432170793897748
TrH2_TrispH2_000557	0	0.0202973562693459	0	0.0146612517776768	0	0	0.0313784555524177	0.0418048549371534	0.0144793235260049	0.0053746103407503	0.00735375225208663	0.0155168668342488	0	0.0518995225243928	0.129651238169325
TrH2_TrispH2_000559	0.0662295516259355	0.0608920688080378	0.0591103886508054	0.131951265999091	0.139059494286972	0.0316485742317309	0.0627569111048354	0.181154371394331	0.130313911734044	0.102117596474256	0.0955987792771262	0.108618067839742	0.0495577621801242	0.0389246418932946	0.0432170793897748
TrH2_TrispH2_000560	0.0220765172086452	0.0405947125386918	0.177331165952416	0.102628762443737	0.0695297471434862	0.0316485742317309	0.0627569111048354	0.0696747582285889	0.0289586470520097	0.0698699344297538	0.0514762657646064	0.0465506005027465	0.0208664261811049	0.0518995225243928	0.0864341587795497
TrH2_TrispH2_000562	0.0220765172086452	0	0	0	0	0	0	0.0139349516457178	0.0289586470520097	0.0107492206815006	0.0147075045041733	0.0155168668342488	0.0104332130905525	0.0259497612621964	0.0864341587795497
TrH2_TrispH2_000564	0.64021899905071	0.598772009945705	0.0295551943254027	0.102628762443737	0.370825318098593	0.617147197518752	0.0470676833286266	0.139349516457178	0.0579172941040195	0.231108244652263	0.110306283781299	0.155168668342488	0.0886823112696959	0.064874403155491	0.0864341587795497
TrH2_TrispH2_000566	0.154535620460516	0.131932815750748	0.0295551943254027	0.0586450071107071	0.0695297471434862	0.0791214355793271	0.0941353666572531	0.0418048549371534	0.115834588208039	0.091368375792755	0.0735375225208663	0.0465506005027465	0.0260830327263812	0.155698567573178	0.172868317559099
TrH2_orphan_8	0	0.010148678134673	0	0	0	0	0.0156892277762089	0	0	0.0322476620445018	0	0.0310337336684977	0	0.0129748806310982	0
