peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g05582.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0
Hhon_orphan_1106	2	20	0	0	0	0	2	0	10	0	0	2	0	1	3
Hhon_g05584.t1	1	6	6	1	1	1	10	1	14	0	5	4	4	2	3
Hhon_g05585.t1	0	0	0	0	0	0	0	0	3	0	3	8	0	1	2
Hhon_g05586.t1	0	1	5	0	3	2	3	2	4	0	0	3	1	0	2
Hhon_g05594.t1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0
Hhon_g05595.t1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Hhon_g05604.t1	20	37	22	9	5	21	47	14	88	7	30	8	18	11	4
Hhon_g05606.t1	13	34	19	7	13	19	29	10	50	3	24	18	8	24	2
Hhon_g05608.t1	0	5	0	0	0	1	3	1	4	0	2	1	1	0	0
Hhon_g05612.t1	14	40	28	2	6	8	21	24	75	12	11	12	13	19	6
Hhon_g05613.t1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0
Hhon_g05615.t1	1	5	2	0	1	1	5	1	5	0	1	1	0	0	0
Hhon_orphan_1108	0	2	0	0	0	0	0	0	0	5	6	2	0	0	0
Hhon_g05618.t1	1	10	12	1	13	13	16	8	18	4	6	5	5	9	3
Hhon_g05620.t1	1	1	0	0	0	1	0	1	3	2	1	2	1	2	1
Hhon_orphan_1109	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_orphan_1110	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1
Hhon_g05621.t1	74	136	28	13	19	22	212	202	684	64	182	323	124	134	26
Hhon_g05623.t1	0	3	2	2	4	4	6	7	35	7	4	2	3	11	0
Hhon_g05625.t1	0	4	0	0	0	0	0	1	2	0	0	0	0	1	1
Hhon_g05628.t1	7	42	5	1	7	2	28	16	53	4	18	4	3	23	4
Hhon_g05636.t1	1	6	1	0	1	0	0	2	7	0	1	0	0	3	1
Hhon_g05637.t1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0
Hhon_g05641.t1	0	2	0	0	0	0	6	0	2	0	0	0	0	0	0
Hhon_g05642.t1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_orphan_1112	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
Hhon_g05588.t1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
Hhon_orphan_1113	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hhon_g05589.t1	2	1	1	0	0	0	3	0	0	0	1	0	1	9	0
Hhon_g05590.t1	0	4	0	0	0	0	0	0	3	0	0	1	0	1	0
Hhon_orphan_1114	1	3	5	0	0	0	10	5	20	4	2	0	0	0	0
Hhon_g05592.t1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0
Hhon_g05593.t1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Hhon_g05596.t1	0	0	1	1	1	0	2	0	16	0	0	0	0	1	0
Hhon_g05598.t1	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0
Hhon_g05599.t1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
Hhon_g05600.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g05602.t1	0	0	0	0	0	0	1	0	129	1	0	0	0	0	0
Hhon_g05603.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g05605.t1	4	9	9	0	0	0	8	11	27	2	0	2	1	1	1
Hhon_g05607.t1	1	4	0	0	0	0	1	2	1	0	2	1	2	1	0
Hhon_g05609.t1	305	633	155	35	101	57	375	289	1016	65	242	360	169	106	83
Hhon_g05610.t1	0	3	7	0	0	1	4	0	3	0	1	5	1	0	1
Hhon_g05611.t1	0	24	15	7	13	16	17	19	60	5	12	8	14	13	4
Hhon_orphan_1115	2	1	1	0	1	1	3	1	4	1	1	1	0	2	6
Hhon_g05614.t1	2	2	1	0	0	1	1	0	5	0	2	3	1	0	0
Hhon_g05616.t1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g05617.t1	1	5	3	0	0	0	3	0	1	0	1	3	1	0	0
Hhon_orphan_1116	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Hhon_g05619.t1	0	0	0	0	0	0	1	1	1	3	0	2	0	0	0
Hhon_orphan_1117	1	1	0	0	0	0	0	0	0	0	0	8	0	0	0
Hhon_g05622.t1	0	2	1	0	0	0	1	1	6	0	3	3	1	3	0
Hhon_g05624.t1	0	2	2	1	0	1	3	1	6	2	0	4	0	0	1
Hhon_orphan_1118	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g05629.t1	0	1	7	0	0	0	0	0	1	0	0	0	0	3	1
Hhon_g05630.t1	4	6	7	0	0	2	0	4	6	0	1	0	0	0	0
Hhon_g05631.t1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Hhon_g05632.t1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0
Hhon_g05633.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g05638.t1	0	3	1	0	0	3	1	2	3	1	1	1	1	1	0
Hhon_g05639.t1	1	2	2	0	0	0	1	2	2	1	1	0	0	0	0
Hhon_g05640.t1	2	2	0	0	2	0	1	2	2	0	0	3	0	1	1
Hhon_g05643.t1	0	16	47	0	0	0	0	0	0	0	0	0	3	2	0
Hhon_g05644.t1	0	0	1	0	4	11	19	2	0	0	0	0	0	0	0
Hhon_g05648.t1	0	4	14	2	4	5	20	9	36	7	11	13	8	2	1
Hhon_g05649.t1	22	41	0	0	1	0	1	0	5	1	0	2	1	1	0
Hhon_g05651.t1	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0
Hhon_orphan_1119	0	0	0	0	0	0	1	1	2	0	0	0	0	0	2
Hhon_g05654.t1	0	1	0	0	1	0	2	1	12	0	0	0	0	5	3
Hhon_g05656.t1	1	2	1	0	1	0	1	1	4	0	0	1	0	0	0
Hhon_g05659.t1	1	3	4	1	1	0	1	3	12	1	1	0	0	0	1
Hhon_g05661.t1	0	0	0	0	0	0	2	1	14	0	0	1	0	0	0
Hhon_g05663.t1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g05664.t1	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0
Hhon_g05665.t1	4	4	13	0	0	6	5	1	11	2	4	0	3	1	0
Hhon_g05669.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g05674.t1	34	57	8	1	6	10	28	23	88	2	26	25	11	21	7
Hhon_g05676.t1	6	35	16	0	0	0	3	1	9	0	1	5	0	0	0
Hhon_orphan_1121	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0
Hhon_g05680.t1	11	17	3	1	4	3	13	4	21	1	4	3	4	3	2
Hhon_g05683.t1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g05685.t1	0	2	5	0	1	4	5	0	3	1	2	0	2	2	1
Hhon_g05689.t1	95	221	56	25	48	34	176	155	574	42	140	92	77	72	36
Hhon_orphan_1122	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_orphan_1123	0	4	33	0	1	0	1	0	0	0	0	0	0	0	0
Hhon_g05645.t1	0	1	3	0	1	0	7	0	0	1	1	0	3	1	1
Hhon_g05646.t1	0	9	7	3	2	4	13	1	22	1	5	2	1	4	4
Hhon_g05647.t1	0	1	1	0	1	0	3	0	1	0	2	1	0	0	1
Hhon_g05650.t1	220	390	0	0	0	0	2	4	0	0	21	99	0	0	0
Hhon_g05652.t1	0	1	7	158	73	30	78	0	10	0	0	0	15	0	16
Hhon_g05653.t1	0	0	0	5	0	0	0	0	2	0	0	0	0	0	2
Hhon_g05655.t1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0
Hhon_g05657.t1	0	2	8	1	0	5	13	3	25	2	2	4	1	1	1
Hhon_g05658.t1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1
Hhon_g05660.t1	2	4	0	0	1	1	3	0	14	0	0	2	0	1	0
Hhon_orphan_1124	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Hhon_g05662.t1	4	33	13	2	4	4	15	11	40	3	10	22	8	11	5
Hhon_orphan_1125	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g05666.t1	0	9	22	3	1	1	26	12	75	1	5	1	0	0	0
Hhon_orphan_1126	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0
Hhon_g05670.t1	1	12	7	0	1	0	5	2	21	5	6	0	0	1	2
Hhon_g05671.t1	2	10	6	1	3	0	9	0	12	1	4	5	1	4	0
Hhon_g05672.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	45	0
Hhon_g05673.t1	0	0	1	0	1	0	0	1	4	0	3	1	0	0	0
Hhon_g05675.t1	0	8	8	1	4	5	17	3	20	1	4	1	2	8	2
Hhon_g05677.t1	11	33	24	3	2	10	28	17	65	0	17	4	10	11	2
Hhon_g05678.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g05679.t1	1	4	5	0	2	1	8	0	6	1	4	6	0	1	0
Hhon_g05681.t1	1	5	3	1	2	1	2	2	17	3	2	1	2	1	0
Hhon_g05682.t1	1	7	5	1	3	4	13	2	14	2	2	1	4	2	1
Hhon_g05684.t1	0	0	0	0	2	0	2	1	3	0	1	0	1	1	0
Hhon_g05686.t1	0	2	3	0	2	0	5	2	5	0	1	4	1	1	2
Hhon_g05687.t1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_g05688.t1	3	6	5	0	0	4	3	3	14	1	0	0	4	2	1
Hhon_g05690.t1	0	1	0	2	0	2	0	1	4	0	0	2	0	3	0
Hhon_orphan_1128	0	1	1	1	0	1	2	0	4	0	0	2	0	0	0
Hhon_g05692.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g05693.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g05694.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g05695.t1	0	0	0	1	7	0	0	0	3	0	0	0	0	0	0
Hhon_g05696.t1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_orphan_1129	0	0	0	0	0	0	22	0	0	0	0	0	0	1	0
Hhon_g05697.t1	0	0	0	4	4	2	11	0	0	0	0	0	0	0	0
Hhon_g05698.t1	0	0	0	1	1	0	38	0	0	0	0	0	0	0	0
Hhon_g05704.t1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g05706.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g05707.t1	0	16	16	3	2	4	7	3	36	1	6	0	2	2	1
Hhon_g05709.t1	9	13	19	2	9	6	21	7	26	6	11	22	3	6	3
Hhon_g05711.t1	1	21	41	6	11	5	19	20	11	14	43	29	19	3	3
Hhon_g05713.t1	3	1	3	0	3	1	9	5	22	2	3	4	0	2	2
Hhon_g05716.t1	4	0	1	0	0	0	2	0	0	0	0	0	0	1	0
Hhon_g05721.t1	2	1	1	0	1	0	3	2	4	0	0	2	0	1	0
Hhon_g05724.t1	6	28	18	2	13	8	30	10	30	3	9	3	7	7	8
Hhon_g05727.t1	1	3	0	0	0	0	0	1	1	2	2	0	0	1	0
Hhon_g05730.t1	6	33	6	9	9	9	14	7	28	8	20	12	5	7	2
Hhon_g05732.t1	12	75	1	0	0	0	1	2	0	0	1	3	0	0	0
Hhon_g05733.t1	24	60	38	9	16	7	43	22	51	5	19	18	24	35	1
Hhon_g05735.t1	1	0	0	0	2	0	0	1	1	0	1	0	0	0	0
Hhon_g05739.t1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Hhon_g05740.t1	0	17	79	0	0	1	1	1	33	26	90	0	11	0	0
Hhon_g05742.t1	0	5	29	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g05743.t1	1	3	0	0	0	2	2	0	9	1	1	0	0	0	0
Hhon_g05744.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hhon_g05745.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_1133	0	4	14	0	0	0	0	0	0	2	0	0	0	0	0
Hhon_g05746.t1	1	1	0	0	1	1	2	2	2	0	1	0	0	0	1
Hhon_g05747.t1	4	4	2	1	2	2	8	4	7	1	1	1	2	2	1
Hhon_g05749.t1	0	6	5	1	2	4	3	2	21	0	5	3	3	1	0
Hhon_g05757.t1	1	1	1	0	1	0	4	1	6	1	1	1	1	1	0
Hhon_g05759.t1	2	15	8	0	3	0	14	15	29	2	2	8	5	13	0
Hhon_orphan_1134	0	1	2	5	4	9	5	0	19	2	5	0	0	1	2
Hhon_g05701.t1	0	0	3	0	0	0	4	0	2	0	0	0	0	1	1
Hhon_g05703.t1	1	3	0	0	0	0	0	2	1	1	0	0	1	0	1
Hhon_g05708.t1	1	2	0	0	0	0	5	1	5	1	2	7	0	3	1
Hhon_g05710.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g05712.t1	2	10	3	1	1	3	9	2	19	1	6	2	2	2	2
Hhon_g05714.t1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Hhon_g05715.t1	8	20	23	4	10	7	26	9	55	10	23	9	7	19	5
Hhon_g05719.t1	3	9	7	2	3	5	2	3	21	1	4	6	0	2	3
Hhon_g05720.t1	0	2	2	1	0	0	1	1	4	1	5	1	0	2	0
Hhon_g05722.t1	0	3	3	0	0	1	6	1	3	0	1	0	5	0	0
Hhon_g05723.t1	10	13	8	0	5	2	15	9	20	5	6	10	4	2	1
Hhon_g05726.t1	1	4	0	0	0	1	1	2	4	0	0	3	0	0	0
Hhon_g05728.t1	0	0	0	0	0	0	0	0	53	0	2	0	0	0	0
Hhon_g05729.t1	11	22	3	0	0	1	8	0	21	2	3	2	0	2	0
Hhon_g05731.t1	7	16	3	0	1	1	8	4	11	2	4	2	2	2	3
Hhon_g05734.t1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
Hhon_g05736.t1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
Hhon_g05737.t1	4	6	5	0	0	0	4	1	0	0	0	4	1	0	2
Hhon_g05748.t1	0	3	0	0	1	1	1	3	10	0	2	0	1	2	1
Hhon_g05750.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Hhon_g05751.t1	7	20	2	1	2	1	8	4	4	0	7	1	1	9	2
Hhon_g05752.t1	90	174	10	1	1	2	34	28	88	7	30	19	10	8	9
Hhon_g05753.t1	0	1	1	0	0	0	4	1	4	1	2	1	0	3	0
Hhon_g05754.t1	4	0	4	0	2	0	3	2	7	1	2	8	4	4	0
Hhon_g05755.t1	0	31	13	2	12	17	32	16	52	8	14	19	18	6	3
Hhon_g05756.t1	0	1	0	0	0	0	1	0	2	0	1	0	0	1	0
Hhon_g05758.t1	3	27	16	6	11	5	21	14	56	5	24	17	9	15	7
Hhon_g05761.t1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Hhon_g05762.t1	1	0	0	0	0	0	3	0	1	0	2	0	1	0	0
Hhon_g05765.t1	0	3	2	2	3	3	7	2	7	1	2	2	1	1	1
Hhon_g05768.t1	2	3	1	0	0	3	69	1	9	0	4	0	2	0	1
Hhon_g05770.t1	0	6	1	2	4	1	3	1	6	2	4	2	2	2	1
Hhon_g05772.t1	26	95	25	10	13	19	36	17	81	6	11	9	2	10	7
Hhon_g05774.t1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0
Hhon_g05776.t1	12	18	10	6	11	5	38	22	124	7	12	10	6	2	5
Hhon_g05777.t1	0	3	2	0	0	3	2	0	3	0	3	3	2	2	2
Hhon_g05778.t1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
Hhon_g05779.t1	6	19	5	0	7	1	4	7	26	7	5	4	3	7	1
Hhon_g05780.t1	2	13	0	4	1	0	4	1	6	1	6	3	2	1	0
Hhon_g05783.t1	47	40	52	3	6	3	23	53	23	3	14	46	24	99	55
Hhon_g05784.t1	2	1	0	5	4	2	5	4	7	3	5	1	6	2	5
Hhon_g05786.t1	8	24	6	1	1	5	12	9	15	1	3	7	1	3	2
Hhon_g05787.t1	9	19	6	1	1	0	6	12	7	9	3	0	1	6	0
Hhon_g05789.t1	6	25	26	2	3	1	28	4	27	5	12	16	6	9	3
Hhon_g05791.t1	23	77	58	18	26	19	77	36	183	28	46	49	19	29	12
Hhon_g05794.t1	0	4	4	3	3	1	3	0	8	0	3	5	2	3	0
Hhon_g05796.t1	4	6	16	1	2	4	5	7	17	5	9	6	5	4	2
Hhon_g05798.t1	0	11	6	1	3	3	8	3	10	4	4	6	3	3	0
Hhon_g05800.t1	10	52	24	0	3	6	28	20	77	5	19	37	19	14	10
Hhon_g05802.t1	0	13	4	4	1	2	5	3	15	1	4	0	2	1	1
Hhon_g05804.t1	1	0	2	0	1	1	1	1	2	0	0	2	0	1	0
Hhon_g05805.t1	1	5	4	0	2	1	4	2	5	0	1	3	1	0	0
Hhon_g05807.t1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
Hhon_g05809.t1	1	6	4	2	2	2	3	3	5	6	6	4	2	2	1
Hhon_g05810.t1	1	0	1	1	0	0	2	1	3	1	1	1	0	1	0
Hhon_g05814.t1	6	19	7	4	8	7	17	8	31	2	10	22	2	4	0
Hhon_g05816.t1	4	13	7	1	5	5	17	1	24	7	6	20	3	6	3
Hhon_g05817.t1	3	2	3	0	5	0	5	3	6	1	6	1	2	2	2
Hhon_orphan_1136	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g05820.t1	0	0	1	0	0	0	1	0	2	0	1	1	0	0	0
Hhon_g05822.t1	0	0	8	4	0	36	41	0	26	1	0	1	5	0	1
Hhon_g05824.t1	14	34	5	2	1	0	14	5	12	2	3	17	2	6	0
Hhon_g05826.t1	0	13	3	1	1	2	5	4	6	1	3	14	1	5	0
Hhon_g05830.t1	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0
Hhon_g05833.t1	0	3	2	1	2	2	0	0	5	2	3	10	3	1	0
Hhon_orphan_1138	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g05763.t1	5	13	8	1	7	10	13	5	34	4	11	4	7	18	2
Hhon_g05764.t1	0	6	2	0	0	0	3	0	6	1	3	1	0	3	2
Hhon_g05766.t1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0
Hhon_g05767.t1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Hhon_g05769.t1	2	19	15	3	3	7	22	8	15	3	14	3	2	6	3
Hhon_g05771.t1	1	5	0	0	0	0	1	2	3	0	1	5	0	0	2
Hhon_g05773.t1	0	10	9	0	2	2	9	3	27	3	17	20	4	5	2
Hhon_g05775.t1	2	12	9	1	9	6	23	8	21	6	8	16	2	12	1
Hhon_g05781.t1	6	19	18	4	7	11	34	18	64	3	16	1	8	21	9
Hhon_g05782.t1	5	14	3	1	1	1	8	9	15	1	5	1	3	11	2
Hhon_orphan_1141	2	0	0	0	0	2	1	0	5	0	0	0	0	2	0
Hhon_g05785.t1	1	24	6	0	2	0	7	1	7	1	2	2	3	1	3
Hhon_g05788.t1	1	3	5	0	3	3	5	2	13	2	6	0	1	10	0
Hhon_g05790.t1	7	9	12	0	2	3	15	3	24	1	11	10	5	7	2
Hhon_g05792.t1	2	8	9	2	1	2	11	3	25	5	9	10	3	1	3
Hhon_g05793.t1	0	7	1	0	0	1	2	2	9	1	3	1	1	5	0
Hhon_g05795.t1	39	218	166	41	66	54	238	125	376	39	113	130	85	89	37
Hhon_g05797.t1	1	1	0	0	0	4	2	0	7	1	2	3	2	1	0
Hhon_g05799.t1	5	14	6	1	8	4	15	7	29	6	5	4	7	7	6
Hhon_g05801.t1	0	3	3	1	1	0	1	0	6	0	2	1	1	3	0
Hhon_g05803.t1	21	59	17	4	5	7	38	18	95	9	18	27	15	23	7
Hhon_g05806.t1	0	3	2	0	0	2	3	2	4	1	2	2	0	0	1
Hhon_g05808.t1	13	30	16	2	11	7	33	10	43	7	19	22	2	9	9
Hhon_g05811.t1	3	3	0	2	0	0	3	1	5	1	5	1	0	1	0
Hhon_g05813.t1	2	6	7	1	3	1	10	3	11	4	5	10	3	6	1
Hhon_g05815.t1	9	29	7	2	6	3	13	16	49	6	7	20	5	11	2
Hhon_g05818.t1	7	34	0	0	0	0	2	0	0	0	1	1	0	1	0
Hhon_g05819.t1	0	11	2	0	1	1	4	1	8	3	4	6	1	1	2
Hhon_g05821.t1	3	15	5	2	6	6	10	6	19	2	2	9	1	1	1
Hhon_g05823.t1	3	23	18	4	6	4	17	18	22	5	6	18	5	6	4
Hhon_g05825.t1	12	23	18	5	9	4	38	15	77	6	16	17	8	8	3
Hhon_g05827.t1	0	5	6	0	1	43	53	1	33	0	0	0	11	0	0
Hhon_g05828.t1	1	4	4	1	2	55	38	2	26	1	2	0	12	0	1
Hhon_g05829.t1	0	1	1	0	2	0	5	0	2	0	3	0	1	2	1
Hhon_g05831.t1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Hhon_g05832.t1	0	5	4	0	0	4	3	0	8	1	5	0	0	1	1
Hhon_g05835.t1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0
Hhon_g05838.t1	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0
Hhon_g05841.t1	10	59	6	3	1	2	10	2	12	1	3	10	3	2	1
Hhon_g05843.t1	1	5	6	0	2	1	5	3	7	1	0	3	1	1	2
Hhon_g05845.t1	0	3	0	0	0	0	2	0	1	0	3	1	0	0	0
Hhon_g05848.t1	0	6	30	0	1	0	10	3	26	12	22	9	2	24	8
Hhon_g05849.t1	59	190	95	15	45	26	129	115	388	13	86	65	38	39	20
Hhon_g05851.t1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3
Hhon_orphan_1143	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0
Hhon_g05853.t1	0	0	0	0	0	0	2	4	13	0	0	0	0	0	9
Hhon_g05854.t1	11	36	1	2	2	0	6	4	3	1	5	10	1	2	0
Hhon_g05856.t1	1	4	0	1	0	0	3	1	2	0	2	3	2	3	0
Hhon_g05858.t1	0	6	4	0	3	0	3	0	8	2	4	8	4	4	2
Hhon_orphan_1144	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0
Hhon_g05860.t1	2	8	2	0	2	2	5	1	9	0	2	5	2	1	1
Hhon_g05862.t1	2	13	0	0	2	2	5	2	8	1	8	2	1	0	0
Hhon_g05865.t1	7	11	3	1	2	4	24	13	34	1	8	14	4	2	0
Hhon_g05867.t1	10	41	13	6	10	8	23	10	32	8	12	5	12	11	2
Hhon_orphan_1146	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Hhon_g05869.t1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
Hhon_g05871.t1	0	1	1	1	0	0	1	0	3	2	1	3	2	0	0
Hhon_g05874.t1	9	26	19	2	10	8	28	9	53	6	15	13	14	9	5
Hhon_g05876.t1	0	6	0	1	0	0	3	0	1	0	0	2	0	1	0
Hhon_g05878.t1	3	5	4	0	3	0	4	1	5	2	8	1	1	2	0
Hhon_g05880.t1	0	8	29	5	11	4	27	36	46	5	10	22	5	4	5
Hhon_g05882.t1	1	0	0	0	0	1	2	1	1	1	1	0	0	0	0
Hhon_g05884.t1	0	2	1	1	4	2	2	1	9	1	2	2	4	4	2
Hhon_g05885.t1	207	408	120	56	78	59	358	301	1079	62	207	158	110	115	48
Hhon_g05886.t1	5	26	7	1	5	3	12	4	26	1	9	7	2	1	2
Hhon_g05834.t1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Hhon_g05836.t1	8	17	5	0	0	3	4	1	9	3	2	1	2	2	2
Hhon_g05837.t1	1	2	0	0	1	0	2	1	2	0	2	3	0	1	1
Hhon_g05839.t1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0
Hhon_g05840.t1	2	2	0	0	0	0	1	0	0	0	0	0	1	1	0
Hhon_g05842.t1	1	5	2	0	1	1	3	1	11	1	2	4	0	3	0
Hhon_g05844.t1	8	20	6	1	11	3	12	12	58	9	10	12	1	8	5
Hhon_g05847.t1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
Hhon_g05850.t1	22	57	24	5	6	5	45	34	98	7	12	13	8	17	40
Hhon_orphan_1148	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Hhon_g05852.t1	0	0	0	0	0	0	17	19	36	0	0	0	0	0	6
Hhon_orphan_1149	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Hhon_g05855.t1	15	22	25	4	6	11	29	25	133	3	16	27	16	12	0
Hhon_g05857.t1	0	9	2	1	1	0	4	3	11	0	4	5	0	3	0
Hhon_g05859.t1	6	20	15	2	22	9	21	7	34	6	13	25	12	16	4
Hhon_g05861.t1	202	460	123	13	38	39	251	208	782	51	196	201	107	101	47
Hhon_g05863.t1	12	29	6	3	3	3	15	14	32	1	10	7	8	6	1
Hhon_g05864.t1	4	9	8	2	1	0	7	4	5	4	5	5	3	1	1
Hhon_g05866.t1	3	17	4	1	2	0	4	4	10	5	4	2	0	4	3
Hhon_g05868.t1	251	671	506	99	148	297	673	163	563	40	132	88	108	245	78
Hhon_g05870.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hhon_g05872.t1	0	1	1	4	5	3	4	2	2	4	5	1	3	1	0
Hhon_g05873.t1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Hhon_g05875.t1	17	98	66	22	52	29	117	54	147	16	41	29	34	28	15
Hhon_g05877.t1	2	16	10	4	14	12	29	9	42	8	14	9	10	10	6
Hhon_g05879.t1	0	9	3	1	3	2	8	3	12	1	3	1	3	5	1
Hhon_g05881.t1	0	0	0	0	1	4	17	0	24	0	0	9	7	10	7
Hhon_orphan_1150	0	0	0	0	0	5	22	0	10	0	1	3	1	16	5
Hhon_g05883.t1	4	10	8	2	4	3	9	8	13	2	6	7	2	4	2
Hhon_orphan_1151	0	1	0	1	0	1	3	0	3	0	1	0	2	0	0
Hhon_g05887.t1	9	22	3	4	2	2	23	7	32	3	14	4	7	5	1
Hhon_g05888.t1	0	2	1	1	1	0	8	2	29	0	2	0	0	0	0
Hhon_g05890.t1	11	46	17	3	5	9	28	18	55	3	10	11	4	8	4
Hhon_g05895.t1	1	1	1	2	2	0	0	3	7	1	1	5	1	2	1
Hhon_orphan_1153	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0
Hhon_g05897.t1	222	171	4	0	1	2	24	28	130	0	7	1	3	3	1
Hhon_g05900.t1	1	6	1	0	0	1	3	0	9	0	5	4	2	2	1
Hhon_g05902.t1	1	4	3	0	5	1	4	0	14	2	5	4	3	2	0
Hhon_g05904.t1	3	13	17	2	6	9	19	10	36	4	5	12	9	6	6
Hhon_g05906.t1	1	3	0	4	5	6	5	1	4	1	1	2	1	1	0
Hhon_g05909.t1	0	9	4	1	2	1	13	2	12	1	6	7	0	0	0
Hhon_g05910.t1	0	0	0	1	0	0	5	4	3	0	1	0	6	8	2
Hhon_g05911.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g05913.t1	1	6	0	0	1	1	5	3	10	2	2	1	2	1	0
Hhon_g05914.t1	61	208	29	5	14	8	50	36	80	7	43	28	9	18	7
Hhon_g05916.t1	13	47	1	0	2	0	6	1	10	0	2	2	0	0	0
