peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00166.t1	1	3	4	1	0	1	5	1	11	5	4	4	2	1	0
Hhon_g00169.t1	2	1	1	2	0	3	3	1	4	0	4	2	0	2	0
Hhon_g00171.t1	1	2	2	0	2	6	10	2	13	1	8	0	0	1	1
Hhon_g00172.t1	5	8	13	7	7	11	20	5	32	8	12	4	4	3	3
Hhon_g00173.t1	1	3	3	1	3	4	8	2	11	1	4	13	0	3	1
Hhon_g00176.t1	5	13	8	5	6	7	10	3	30	2	6	8	3	7	5
Hhon_g00180.t1	0	0	0	0	0	0	0	0	15	0	0	2	0	0	0
Hhon_orphan_16	0	1	0	0	0	0	1	2	53	1	2	0	0	0	0
Hhon_g00181.t1	3	10	13	0	1	0	2	1	9	3	2	0	1	0	0
Hhon_g00182.t1	22	45	51	1	5	8	32	14	112	12	15	6	9	1	4
Hhon_orphan_17	1	1	0	0	0	0	27	10	18	0	0	2	1	3	5
Hhon_orphan_18	23	58	57	3	18	44	115	74	109	7	28	23	77	89	67
Hhon_g00183.t1	45	83	73	8	16	106	141	89	163	12	54	35	83	114	56
Hhon_g00184.t1	8	45	13	9	9	3	55	23	70	32	36	18	12	20	4
Hhon_g00186.t1	1	8	9	0	6	4	4	3	15	1	4	5	0	3	5
Hhon_g00188.t1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0
Hhon_orphan_19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00191.t1	0	5	0	0	2	5	3	3	12	2	3	5	4	0	0
Hhon_orphan_20	9	15	8	0	0	0	23	4	6	0	1	1	88	0	0
Hhon_g00193.t1	9	14	7	0	0	0	10	3	11	0	0	2	42	1	0
Hhon_g00194.t1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Hhon_g00195.t1	15	61	82	9	45	12	56	43	84	8	20	29	12	19	5
Hhon_orphan_21	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Hhon_g00198.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g00199.t1	1	3	3	0	1	0	3	2	4	4	0	1	0	1	1
Hhon_g00201.t1	2	7	7	3	2	0	6	1	16	2	6	4	2	7	0
Hhon_g00203.t1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Hhon_g00205.t1	0	2	1	0	0	0	1	1	1	1	1	1	0	1	0
Hhon_g00209.t1	2	15	2	2	3	2	12	6	25	15	9	5	3	6	3
Hhon_g00210.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Hhon_orphan_22	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0
Hhon_g00212.t1	2	1	2	1	0	0	2	0	10	0	4	3	1	0	1
Hhon_g00215.t1	0	1	0	2	0	0	3	0	2	0	1	0	0	0	0
Hhon_g00219.t1	1	6	5	2	8	8	19	4	12	5	0	5	9	3	3
Hhon_g00221.t1	3	9	0	0	0	1	2	2	5	0	2	3	0	1	0
Hhon_g00222.t1	2	2	3	1	0	2	2	3	9	3	0	21	2	0	0
Hhon_g00223.t1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Hhon_g00224.t1	8	14	12	0	4	1	10	7	10	1	3	9	5	3	1
Hhon_g00226.t1	4	12	13	4	4	3	16	14	47	2	14	27	9	10	1
Hhon_orphan_24	10	4	11	0	0	0	1	1	1	0	2	0	0	0	0
Hhon_g00230.t1	9	76	91	5	14	30	32	4	52	4	44	3	15	3	3
Hhon_g00233.t1	1	1	2	0	2	0	4	0	2	1	0	1	1	0	1
Hhon_g00237.t1	1	2	0	0	0	0	2	0	6	0	2	0	0	0	0
Hhon_g00238.t1	6	18	12	1	5	1	15	10	46	2	6	12	7	11	2
Hhon_g00239.t1	0	5	1	1	1	0	3	2	7	1	1	1	3	2	0
Hhon_orphan_25	0	8	10	1	6	2	8	9	6	0	10	30	1	7	11
Hhon_g00241.t1	1	33	24	6	18	10	26	19	29	6	28	126	12	11	12
Hhon_orphan_26	1	0	1	0	0	1	3	0	1	0	0	0	2	2	0
