lipophil	trans	unknown_1	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
TrH2_TrispH2_000467	0.0194009051543355	0.0176352069271093	0.0248634993883579	0.0167466037887516	0.0137842792727414	0.0243645041196896	0.0152342649086325	0.0171330056646	0.0143437038312033
TrH2_TrispH2_000468	0.013784853662291	0.0167534465807538	0.00828783312945264	0.0147370113341014	0.0172979190873618	0.0139225737826798	0.0133299817950534	0.0144971586392769	0.0154194816185435
TrH2_TrispH2_000471	1.2585060843536	0.581961828594606	0.855304378959512	1.80126470351813	0.947601630004538	1.38634028441034	0.915960177631529	1.17954154383208	1.10195504683219
TrH2_TrispH2_000473	0.0135295785944708	0.0220440086588866	0.0132605330071242	0.020095924546502	0.0216223988592022	0.0142706381272468	0.0133299817950534	0.0169682652255173	0.0164952594058838
TrH2_TrispH2_000475	0.0165928794083132	0.0229257690052421	0.0149180996330147	0.0187561962434018	0.0181087590445819	0.0125303164044118	0.0123778402382639	0.0151561203956077	0.0204397779594647
TrH2_TrispH2_000476	0.129169184317023	0.136672853685097	0.159126396085491	0.128613917097613	0.0983819148093702	0.146883153407271	0.143773375075219	0.116800971309629	0.151684668014975
TrH2_TrispH2_000478	0.00153165040692122	0.00176352069271093	0.00497269987767158	0.00468904906085046	0.00216223988592022	0.000696128689133988	0.00380856622715812	0.00280058746440577	0.00358592595780082
TrH2_TrispH2_000479	0.0393123604443114	0.0370339345469295	0.0381240323954821	0.0314836151228531	0.0516234772763453	0.0435080430708743	0.044750653169108	0.0339365304510346	0.0355006669822282
TrH2_TrispH2_000481	0.00970045257716774	0.00881760346355464	0.00663026650356211	0.00468904906085046	0.0145951192299615	0.0100938659924428	0.00952141556789531	0.0136734564438635	0.0114749630649626
TrH2_TrispH2_000482	0.0497786382249397	0.0273345707370194	0.0563572652802779	0.0401918490930039	0.0435150777041445	0.0490770725839462	0.0476070778394765	0.0410203693315904	0.0512787411965518
TrH2_TrispH2_000485	0.0130190284588304	0.0255710500443085	0.0232059327624674	0.0160767396372016	0.0232440787736424	0.0170551528837827	0.0247556804765278	0.019274631372675	0.0118335556607427
TrH2_TrispH2_000486	0.0165928794083132	0.011462884502621	0.0116029663812337	0.020765788698052	0.0145951192299615	0.0160109598500817	0.00666499089752672	0.0158150821519385	0.0186468149805643
TrH2_TrispH2_000489	0.0237405813072789	0.0141081655416874	0.0265210660142484	0.0187561962434018	0.0213521188734622	0.0313257910110295	0.0190428311357906	0.0209220357635019	0.0251014817046058
TrH2_TrispH2_000491	0.0571816151917256	0.074067869093859	0.0712753649132927	0.0736850566705072	0.0689213963637071	0.0640438394003269	0.0590327765209509	0.0714973505618885	0.0645466672404148
TrH2_TrispH2_000492	0.00765825203460611	0.00969936380991011	0.00165756662589053	0.00602877736395059	0.00540559971480056	0.00974580164787583	0.0104735571246848	0.00708383888055577	0.00645466672404148
TrH2_TrispH2_000493	0.0370148848339295	0.0387974552396404	0.0331513325178106	0.0422014415476541	0.0472989975045049	0.0459444934828432	0.0476070778394765	0.0425030332833346	0.0358592595780082
TrH2_TrispH2_000494	0.040078185647772	0.0546691414740388	0.0430967322731537	0.0395219849414539	0.048109837461725	0.0421157856926063	0.044750653169108	0.0444799185523269	0.0383694077484688
TrH2_TrispH2_000495	0.290247752111572	0.355349419581252	0.21879879461755	0.259907290801425	0.355688461233877	0.286456955578636	0.256126078776384	0.290107913224621	0.265717113473041
TrH2_TrispH2_000496	0.0237405813072789	0.0185169672734647	0.0348088991437011	0.0227753811527022	0.0162167991444017	0.0219280537077206	0.0238035389197383	0.0219104783979981	0.0222327409383651
TrH2_orphan_16	0.00433967615294346	0.00176352069271093	0.00165756662589053	0.00669864151550066	0.00297307984314031	0.00661322254677289	0.00380856622715812	0.00477747273339808	0.00358592595780082
TrH2_TrispH2_000497	0.0148059539335718	0.0149899258880429	0.0215483661365769	0.0174164679403017	0.0129734393155213	0.0174032172283497	0.0180906895790011	0.0161445630301038	0.0204397779594647
TrH2_TrispH2_000500	0.0168481544761334	0.011462884502621	0.00663026650356211	0.0147370113341014	0.0213521188734622	0.0104419303370098	0.0123778402382639	0.0182861887381788	0.0168538520016639
TrH2_TrispH2_000502	0.0229747561038183	0.0308616121224412	0.0198907995106863	0.0274644302135527	0.0229737987879024	0.0226241823968546	0.0295163882604755	0.0248758063014865	0.0233085187257054
TrH2_orphan_17	0.0068924268311455	0.00529056207813278	0.0132605330071242	0.00870823397015085	0.00648671965776067	0.0059170938576389	0.00666499089752672	0.00774280063688654	0.012909333448083
TrH2_TrispH2_000504	0.504934084148363	0.316551964341612	0.623245051334838	0.447469253235444	0.414068938153723	0.477544280745916	0.460836513486133	0.466380183043102	0.5239037824347
TrH2_TrispH2_000505	0.0847513225163076	0.0846489932501246	0.0530421320284969	0.0931111170654591	0.0913546351801294	0.0894525365537175	0.0761713245431625	0.0789106703206096	0.0717185191560165
TrH2_TrispH2_000506	0.0359937845626487	0.0326251328151522	0.0563572652802779	0.0435411698507543	0.0302713584028831	0.0372428848686684	0.0314206713740545	0.0319596451820423	0.0322733336202074
TrH2_TrispH2_000507	0.00638187669550509	0.000881760346355464	0.00497269987767158	0.00602877736395059	0.0048650397433205	0.00800547992504086	0.00952141556789531	0.00691909844147308	0.00537888893670123
TrH2_TrispH2_000511	0.0730086693965782	0.0476150587031951	0.0812207646686359	0.0756946491251574	0.067299716449267	0.0800547992504086	0.0656977674184776	0.0710031292446404	0.0717185191560165
TrH2_TrispH2_000512	0.0380359851052103	0.0467332983568396	0.0149180996330147	0.0415315773961041	0.0421636777754444	0.0313257910110295	0.0295163882604755	0.03854926274535	0.0326319262159875
TrH2_TrispH2_000515	0.0449284119363558	0.0423244966250623	0.0381240323954821	0.0422014415476541	0.0470287175187649	0.0355025631458334	0.0418942284987394	0.0426677737224173	0.0444654818767302
TrH2_TrispH2_000516	0.0594790908021074	0.0749496294402144	0.0563572652802779	0.0562685887302055	0.0764892359644279	0.060911260299224	0.0656977674184776	0.0693557248538135	0.0591677783037136
TrH2_TrispH2_000517	0.00944517750934754	0.0308616121224412	0.00663026650356211	0.00803836981860079	0.0262171586167827	0.0104419303370098	0.00952141556789531	0.0158150821519385	0.00717185191560165
TrH2_TrispH2_000518	0.0536077642422428	0.1049294812163	0.0414391656472632	0.0388521207899038	0.0754081160214678	0.0414196570034723	0.0476070778394765	0.0657314351939942	0.0358592595780082
TrH2_TrispH2_000520	0.0199114552899759	0.0343886535078631	0.0232059327624674	0.0174164679403017	0.0210818388877222	0.0177512815729167	0.016186406465422	0.0199335931290058	0.026177259491946
