lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
HoiH23_PlH23_000060	0.0484030955256678	0.0462527866307118	0.0517491202649555	0.0516634532731546	0.057110933510195	0.0532025517878476	0.0484041927909364	0.0542976368274039
HoiH23_PlH23_000062	0.0347684207297051	0.0478477103076329	0.0243525271835085	0.0428696739926176	0.0329172997624953	0.0270849354556315	0.0297763401716839	0.0287333797997157
HoiH23_PlH23_000063	0.0849894728948346	0.0861258785537392	0.0745796144994947	0.0846401255751681	0.080722989523575	0.0748060122107917	0.0834725365476352	0.0830310166271195
HoiH23_orphan_7	0.0156798760153572	0.00996827298075685	0.00913219769381567	0.0175875585610739	0.0146557589048566	0.0112853897731798	0.0108662473612306	0.00950736831608239
HoiH23_PlH23_000065	0.274284207978784	0.254789057388145	0.277009996712409	0.248424264675169	0.269270490990023	0.269237156017289	0.267352021114953	0.273600932651704
HoiH23_PlH23_000066	0.099760370590461	0.112043388303707	0.111108405274757	0.108823018596645	0.101892419052812	0.110919259484967	0.0999130276850815	0.111553121575367
HoiH23_PlH23_000067	0.0299962845511181	0.0430629392768696	0.0258745601324777	0.0445185076077183	0.0365230817152775	0.0325664104883188	0.0356328241391004	0.0397196720760775
HoiH23_orphan_8	0.000454489159865426	0.00239238551538164	0.00152203294896928	0	0.00116315546863941	0.000644879415610274	0.000846720573602385	0.000633824554405493
HoiH23_PlH23_000070	0.0106804952568375	0.00717715654614493	0.0152203294896928	0.0104426128956376	0.00907261265538739	0.0122527088965952	0.0129830487952366	0.0128877659395783
HoiH23_PlH23_000072	0.0322687303504452	0.0303035498615008	0.038050823724232	0.0280301714567115	0.0296604644503049	0.0299868928258777	0.032669302131492	0.0344378007893651
HoiH23_PlH23_000074	0.290418573154007	0.26156748301506	0.292230326202102	0.257218043955706	0.271480486380438	0.286648900238767	0.28746163473801	0.277615154829606
HoiH23_PlH23_000076	0.217473062995606	0.210928656272815	0.248091370681993	0.205004979477518	0.207390620058407	0.217324363060662	0.220429589327821	0.221838594041922
HoiH23_orphan_9	0.00363591327892341	0.00558223286922383	0.00456609884690784	0.00219844482013424	0.00465262187455764	0.00386927649366164	0.00381024258121073	0.00401422217790145
HoiH23_PlH23_000079	0.0534024762841875	0.0546261359345475	0.0563152191118633	0.0621060661687922	0.0599025066349296	0.0538474312034578	0.055389637523156	0.0587344087082423
HoiH23_PlH23_000081	0.04272198102735	0.0470502484691723	0.0593592850098019	0.0362743395322149	0.0468751653861682	0.04707619733955	0.0493920334601391	0.0485932158377544
HoiH23_PlH23_000083	0.0306780182909162	0.0386768991653366	0.0243525271835085	0.0296790050718122	0.031521513200128	0.035468367858565	0.0318225815578897	0.0354941750467076
HoiH23_PlH23_000085	0.0397678014882248	0.0418667465191788	0.0410948896221705	0.0472665636328861	0.0401288636680596	0.0351459281507599	0.0417009882499175	0.0388745726702035
HoiH23_PlH23_000086	0.120666871944271	0.132777396103681	0.108064339376819	0.15444074861443	0.122131324207138	0.122204649258147	0.116000718583527	0.12803255998991
HoiH23_PlH23_000088	0.0311325074507817	0.0374807064076457	0.0319626919283549	0.0318774498919464	0.0279157312473458	0.0267624957478264	0.0311169810798877	0.0365505493040501
HoiH23_PlH23_000090	0.0863529403744309	0.0877208022306603	0.103498240529911	0.0846401255751681	0.0877019223354115	0.0925401961400743	0.0872827791288459	0.0872565136564895
HoiH23_PlH23_000093	0.0677188848199484	0.0749614128152915	0.0882779110402182	0.0736479014744969	0.0673467016342218	0.0744835725029866	0.0735941298556073	0.0680305021728562
HoiH23_PlH23_000094	0.114304023706155	0.104866231757562	0.0913219769381568	0.09728118329094	0.108522405224057	0.109629500653747	0.111978795858915	0.108595273654808
HoiH23_PlH23_000096	0.0783993800767859	0.0737652200576007	0.0745796144994947	0.0802432359348997	0.0799087806955274	0.0780304092888431	0.0729590894254055	0.0762702213801276
HoiH23_PlH23_000098	0.0547659437637838	0.0534299431768567	0.0684914827036176	0.0522130644781881	0.0615309242910248	0.0557820694502887	0.0602582808213698	0.0587344087082423
HoiH23_orphan_10	0.00386315785885612	0.00199365459615137	0	0.00329766723020136	0.00290788867159852	0.00128975883122055	0.00183456124280517	0.00147892396027948
HoiH23_PlH23_000100	0.0254513929524638	0.0255187788307375	0.0228304942345392	0.0263813378416108	0.0210531139823733	0.0299868928258777	0.0260366576382734	0.0242966079188772
HoiH23_orphan_11	0.000454489159865426	0.0015949236769211	0	0.00109922241006712	0.00174473320295911	0.00193463824683082	0.00112896076480318	0.00169019881174798
HoiH23_PlH23_000102	0.166115787930813	0.156701251257498	0.178077855029406	0.141250079693625	0.164121236625021	0.16444425098062	0.155443785303838	0.155075740977877
HoiH23_PlH23_000104	0.00863529403744309	0.00996827298075685	0.00913219769381567	0.00659533446040271	0.0100031370302989	0.00838343240293356	0.00769104521022167	0.0088735437616769
