lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_orphan_1384	13	0	2	4	0	9	3	1	2	7	0	0	35	2	2	11	30	14	28	0	0	1	0	1	1	1	10	3	0	1	0	2	1	1	0
HoiH23_orphan_1385	1	0	1	0	0	1	0	0	0	0	0	0	5	1	0	3	1	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
HoiH23_PlH23_008755	34	1	3	1	2	10	8	1	8	23	4	5	126	7	3	28	62	30	63	1	2	1	6	0	0	2	7	4	3	8	4	7	4	3	0
HoiH23_PlH23_008756	1	0	0	0	0	1	0	0	1	3	0	1	7	0	0	4	2	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_008757	301	4	46	6	12	91	95	16	66	84	41	17	734	23	19	302	474	232	573	22	41	40	11	20	13	29	87	39	28	39	34	33	25	17	9
HoiH23_PlH23_008759	40	0	7	1	2	13	18	0	10	21	10	0	110	5	1	33	58	32	60	4	2	0	3	0	6	4	7	7	4	5	6	4	3	2	0
HoiH23_PlH23_008760	59	0	11	2	2	17	19	2	10	23	11	3	197	12	6	58	105	41	128	4	7	6	0	4	7	4	15	6	3	7	4	11	5	3	3
HoiH23_orphan_1386	7	0	1	2	0	1	2	0	0	2	0	0	19	2	0	6	13	5	14	1	1	1	0	0	1	1	3	0	0	0	2	1	1	0	0
HoiH23_PlH23_008762	271	6	53	7	13	69	88	12	47	106	30	19	803	30	10	290	444	214	477	23	30	17	9	7	17	23	76	26	23	41	27	18	29	11	4
HoiH23_orphan_1387	1	0	0	0	0	0	0	0	0	1	2	0	8	1	0	1	5	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
HoiH23_PlH23_008765	425	12	65	17	13	108	118	19	76	149	37	28	1060	44	13	319	646	328	701	17	40	35	10	22	21	35	111	38	32	41	35	31	27	26	5
HoiH23_orphan_1388	14	1	0	0	1	3	11	1	2	6	1	0	45	3	0	14	27	14	16	1	1	0	1	1	1	0	1	0	0	1	0	0	1	3	2
HoiH23_orphan_1389	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_002249	71	0	8	4	3	26	21	2	19	34	15	4	189	6	4	67	121	54	167	8	9	10	2	4	4	11	13	7	5	9	7	8	7	6	3
HoiH23_PlH23_002251	20	1	5	1	2	1	7	2	0	6	4	0	53	2	3	30	37	14	25	0	0	1	0	0	1	0	3	2	3	2	2	3	2	1	0
HoiH23_PlH23_002253	55	1	10	3	0	14	16	4	13	13	6	2	114	5	3	49	69	47	95	3	7	7	2	1	2	5	9	6	4	4	7	3	4	1	0
HoiH23_PlH23_002254	31	2	3	2	2	7	14	3	5	10	2	5	81	2	3	20	55	23	72	1	3	2	0	0	3	2	5	2	2	3	3	4	1	0	1
HoiH23_PlH23_002255	11	0	0	2	1	2	3	0	2	8	2	1	44	3	0	7	21	4	22	0	0	0	1	2	1	0	3	2	3	0	1	1	2	2	0
HoiH23_PlH23_002256	36	5	12	1	1	17	11	0	9	10	6	5	88	5	2	38	61	23	57	1	1	5	1	1	5	3	5	3	1	8	0	5	6	4	1
HoiH23_PlH23_002258	351	7	43	15	24	105	126	13	72	126	54	16	819	27	19	333	576	289	706	21	35	45	12	26	22	31	98	38	20	54	31	38	25	18	14
HoiH23_PlH23_002260	209	5	21	6	15	82	94	5	46	63	26	9	523	25	4	251	356	183	396	10	28	23	7	10	12	14	65	30	24	42	13	24	14	12	6
HoiH23_PlH23_002262	218	8	40	6	7	70	70	8	37	95	33	21	630	21	13	187	377	164	428	16	21	16	9	3	16	11	58	29	22	30	27	33	15	16	6
HoiH23_PlH23_002265	161	6	24	6	8	35	54	5	34	63	15	4	380	17	5	117	266	113	259	6	16	10	8	5	4	8	34	17	7	16	11	26	10	13	3
HoiH23_PlH23_002266	30	0	7	0	1	5	10	1	5	18	5	2	96	5	0	27	48	20	40	3	2	2	0	0	1	2	9	3	0	1	2	4	3	2	2
HoiH23_PlH23_002269	31	1	6	3	1	14	13	3	13	16	7	2	93	3	4	36	96	34	80	1	0	4	1	2	3	3	9	3	1	7	2	1	3	0	1
HoiH23_orphan_1390	7	0	0	1	0	3	2	0	1	3	2	0	23	4	0	8	15	3	7	0	2	1	1	0	0	0	0	1	0	0	1	1	0	0	0
HoiH23_PlH23_002272	326	5	52	11	18	98	92	8	65	149	60	24	920	39	17	294	571	273	576	15	33	37	13	13	23	18	82	37	26	48	32	30	31	18	6
HoiH23_PlH23_002273	3	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_002275	51	3	12	1	1	13	22	1	7	23	8	4	133	7	4	41	76	30	82	1	4	2	0	1	4	0	12	3	1	7	1	6	3	2	0
HoiH23_PlH23_002278	669	27	103	16	31	184	174	31	111	270	79	38	1637	76	18	541	1043	457	1093	54	59	45	17	26	26	41	157	69	54	55	45	63	46	37	6
HoiH23_PlH23_002280	6	0	2	0	2	1	3	1	3	2	2	2	31	0	0	13	6	16	12	5	0	0	0	0	0	0	1	3	1	0	0	2	0	2	0
HoiH23_PlH23_002281	9203	516	2004	297	571	1019	1486	328	1085	5828	544	1098	21905	1589	43	3986	11977	5265	9656	318	1429	740	258	372	204	230	1170	477	333	374	386	445	983	339	290
HoiH23_PlH23_002283	83	3	17	3	5	27	24	2	18	24	14	9	200	11	3	94	157	73	160	7	14	8	2	2	4	6	25	5	8	12	8	15	7	7	2
HoiH23_PlH23_002285	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_002287	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_002288	3	0	0	0	0	0	0	0	0	1	0	0	7	0	0	1	5	4	5	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0
HoiH23_PlH23_002289	3	0	0	0	0	2	1	0	0	0	1	0	13	1	0	2	2	2	10	0	0	1	0	1	0	2	2	0	0	0	0	1	0	0	2
HoiH23_PlH23_002290	2	0	3	0	0	4	2	0	0	2	0	0	11	0	0	7	12	6	12	0	0	5	2	0	0	0	6	1	5	2	1	2	0	0	1
HoiH23_PlH23_002292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_002295	29	4	7	1	1	6	9	1	8	12	8	2	96	5	6	28	50	30	35	0	3	6	2	0	3	0	6	5	1	2	3	3	4	0	0
HoiH23_PlH23_002296	1136	24	145	32	48	323	326	39	256	449	167	51	2873	100	44	1126	1909	892	2068	61	96	98	53	51	60	76	312	118	84	154	93	113	93	87	23
HoiH23_PlH23_002297	198	3	18	6	10	57	56	6	37	67	38	15	501	13	9	210	338	152	378	8	15	32	10	13	17	23	67	26	18	29	19	29	16	11	5
HoiH23_PlH23_002298	90	4	14	2	4	42	30	5	18	46	15	6	272	18	5	112	187	110	227	5	11	7	4	7	10	6	36	10	5	10	9	10	6	5	4
HoiH23_PlH23_002300	12767	370	1765	433	589	3789	4159	412	2661	5324	1875	738	34061	1101	649	12415	22698	10329	24323	799	1285	1251	650	709	780	1063	3434	1550	987	1728	1265	1384	1054	789	345
HoiH23_orphan_1391	2	0	0	0	0	0	1	0	1	2	0	0	3	0	0	0	4	2	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
HoiH23_PlH23_002302	55	2	5	1	1	14	23	0	13	25	7	3	134	7	1	46	87	28	109	2	3	5	0	1	6	3	8	7	6	6	10	8	2	5	2
HoiH23_PlH23_002307	107	1	9	1	1	20	45	5	26	33	17	7	197	2	1	82	152	54	192	2	17	6	5	3	5	1	26	10	16	11	6	9	7	2	4
HoiH23_PlH23_002309	104	5	18	2	3	29	30	5	32	38	14	5	297	6	3	81	149	74	208	9	8	9	7	5	7	11	21	10	4	13	8	8	5	8	4
HoiH23_orphan_1392	11	0	2	0	0	4	8	0	1	2	3	1	34	3	1	18	23	14	18	1	1	3	0	0	0	1	4	0	1	1	1	0	2	0	0
HoiH23_PlH23_002312	102	4	25	5	3	34	46	3	21	47	20	7	335	17	11	126	206	100	236	10	7	12	9	7	4	9	31	13	10	25	15	12	11	12	3
HoiH23_PlH23_002314	56	1	4	6	4	22	15	2	14	35	8	6	177	7	1	42	112	46	108	5	4	7	3	4	10	4	14	8	5	9	10	10	3	7	1
HoiH23_PlH23_002316	263	9	50	2	5	72	101	5	59	124	45	11	710	25	10	229	480	222	471	17	36	31	9	10	25	12	76	33	14	22	16	37	23	24	3
HoiH23_PlH23_002318	425	22	73	9	20	70	103	12	50	166	30	26	992	37	15	283	611	267	557	13	26	36	12	17	28	37	99	30	29	36	27	23	31	23	3
HoiH23_PlH23_002320	24	1	4	2	1	9	15	3	5	10	6	2	86	3	1	28	55	36	54	3	4	1	2	1	3	5	5	6	4	5	3	1	5	2	1
HoiH23_PlH23_002250	133	3	22	4	4	35	55	3	23	59	12	11	352	11	6	109	226	108	223	11	16	8	6	8	5	13	35	16	6	17	6	15	14	11	1
HoiH23_PlH23_002252	26	2	3	0	0	15	14	0	5	14	5	1	79	1	1	35	72	28	90	4	3	0	3	0	0	3	11	3	4	2	3	6	3	1	0
HoiH23_orphan_1393	24	1	5	0	0	9	14	1	7	13	5	1	75	4	0	26	48	26	63	4	3	3	2	2	2	4	6	2	2	5	3	3	2	1	1
HoiH23_PlH23_002257	39	0	9	2	5	15	19	3	4	22	1	1	118	6	1	46	63	34	87	1	2	7	1	1	3	4	12	8	3	10	5	9	1	4	6
HoiH23_PlH23_002259	34	1	7	0	1	4	8	1	7	12	2	2	63	4	1	19	36	19	37	1	1	1	1	2	4	3	11	2	0	4	1	2	2	2	0
HoiH23_orphan_1394	1	0	0	0	0	2	0	0	0	1	2	0	10	0	0	3	7	1	3	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0
HoiH23_PlH23_002261	110	2	9	6	5	40	51	4	28	31	10	6	275	14	5	92	213	99	269	9	13	13	8	4	0	12	38	13	6	9	13	6	15	4	2
HoiH23_PlH23_002263	19	1	1	2	0	5	7	1	2	4	4	0	33	1	1	8	28	7	27	0	1	1	1	1	0	2	4	3	1	0	4	0	4	1	0
HoiH23_PlH23_002264	386	4	45	9	15	98	118	8	85	150	60	17	992	41	21	426	699	318	767	29	37	49	19	19	17	37	127	43	28	56	45	45	25	28	10
HoiH23_PlH23_002267	100	2	15	2	3	36	30	1	22	42	17	7	297	14	5	122	204	87	219	2	18	15	5	8	6	8	36	12	11	20	9	11	11	5	5
HoiH23_PlH23_002268	44	1	6	1	2	16	15	3	5	24	8	3	130	1	2	34	91	28	68	6	3	2	1	2	3	2	10	2	3	5	4	2	5	4	1
HoiH23_PlH23_002270	77	5	12	4	2	22	17	1	17	31	6	5	182	4	1	70	105	58	162	9	3	8	6	11	2	5	11	10	10	8	10	3	11	4	5
HoiH23_PlH23_002271	98	1	17	4	0	20	37	1	20	45	16	4	225	10	7	72	155	56	147	6	7	9	7	3	4	5	16	13	3	9	9	9	7	9	2
HoiH23_PlH23_002274	91	1	11	4	2	22	23	5	19	36	6	9	242	9	5	65	137	56	166	5	10	5	6	4	4	10	26	11	8	12	7	10	7	7	4
HoiH23_PlH23_002276	3	1	1	0	0	0	0	0	2	2	0	0	15	2	0	2	7	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0
HoiH23_PlH23_002277	64	1	7	3	1	10	16	1	11	23	3	2	152	7	5	53	90	34	112	5	3	6	3	6	1	5	11	5	3	3	3	3	8	2	2
HoiH23_PlH23_002279	102	1	12	4	3	25	31	2	18	33	8	5	217	15	3	73	147	79	154	7	11	8	8	4	4	4	20	12	10	14	7	4	6	4	1
HoiH23_PlH23_002282	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_002284	4	0	3	0	0	2	1	0	4	2	2	0	18	3	0	6	16	1	5	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0
HoiH23_orphan_1395	2	0	0	0	0	0	0	0	0	1	2	0	7	0	0	1	2	2	6	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	4
HoiH23_PlH23_002294	1	0	0	0	1	2	2	0	0	1	0	0	4	1	0	2	1	2	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
HoiH23_PlH23_002299	89	5	7	3	4	16	20	2	16	17	13	3	162	4	2	54	136	52	130	2	10	7	1	6	3	8	31	5	2	13	5	12	2	5	3
HoiH23_PlH23_002301	34	1	4	2	1	13	15	1	6	10	3	1	68	5	0	32	52	34	69	1	4	2	1	4	3	1	12	5	7	7	3	2	2	5	1
HoiH23_orphan_1396	7	0	0	0	0	1	0	0	1	4	0	0	12	0	0	8	11	7	13	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HoiH23_PlH23_002303	46	0	6	2	1	15	20	0	14	14	3	7	114	0	1	38	63	33	77	4	4	4	0	1	2	2	9	3	2	4	1	4	6	4	1
HoiH23_PlH23_002304	294	9	39	6	15	70	91	13	68	124	49	20	788	23	8	243	523	231	519	17	35	29	12	21	14	21	72	31	20	39	22	27	17	10	8
HoiH23_PlH23_002305	26	0	2	0	0	6	8	0	8	2	7	0	56	2	2	30	38	21	36	5	0	1	1	0	1	5	11	4	2	4	3	4	2	3	2
HoiH23_PlH23_002306	38	1	2	3	5	9	13	1	9	15	3	1	103	7	1	30	55	31	60	3	6	7	1	1	5	4	10	7	6	3	2	5	4	3	1
HoiH23_PlH23_002308	222	6	28	4	8	81	64	6	51	101	23	13	567	20	7	189	444	197	418	17	18	18	7	20	17	13	48	31	22	31	20	30	13	13	7
HoiH23_PlH23_002310	108	5	18	5	2	46	44	5	30	48	24	5	394	13	7	136	242	124	253	10	13	9	8	9	6	9	49	17	7	15	13	16	12	15	5
HoiH23_orphan_1397	10	1	0	0	2	6	3	1	9	10	4	0	57	3	0	19	26	11	33	2	5	0	3	1	1	2	5	4	0	2	2	2	2	0	0
HoiH23_PlH23_002311	268	4	57	14	13	106	106	10	70	120	65	22	838	24	9	306	543	268	592	25	37	34	14	13	32	22	90	29	28	53	39	29	20	31	7
HoiH23_PlH23_002313	4186	120	677	92	186	1227	1249	171	821	1786	539	275	10734	354	174	3464	6955	3190	7104	217	409	348	145	153	262	301	1115	466	315	442	286	392	338	257	66
HoiH23_PlH23_002315	449	8	75	16	20	100	149	17	96	134	87	26	1097	30	17	392	685	336	704	22	47	48	20	18	26	26	112	51	30	48	43	54	46	20	5
HoiH23_PlH23_002317	519	20	77	11	20	112	118	21	69	208	43	46	1182	55	10	291	736	275	726	26	50	28	15	20	25	30	93	62	29	35	28	47	30	29	10
HoiH23_PlH23_002319	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_006776	336	8	57	10	21	100	103	16	62	155	49	27	945	38	17	307	538	225	631	22	43	41	15	8	14	27	78	24	15	38	31	33	23	20	12
HoiH23_PlH23_006777	571	3	42	17	25	180	169	16	174	127	96	22	1320	69	16	530	933	484	1149	39	58	94	16	27	25	42	198	83	43	72	37	56	30	33	15
HoiH23_PlH23_006780	16	1	6	2	1	6	5	0	5	7	2	2	75	1	1	21	41	15	44	2	3	3	2	1	1	0	4	1	2	4	2	1	2	4	0
HoiH23_PlH23_006782	111	5	8	5	6	32	24	2	18	35	14	6	269	9	2	96	177	63	169	2	15	13	2	3	7	8	22	7	11	10	6	10	5	5	3
HoiH23_PlH23_006784	13	0	2	0	0	5	3	2	4	4	2	0	31	4	0	9	21	11	31	1	1	5	0	2	1	0	7	0	1	4	1	2	0	1	0
HoiH23_PlH23_006785	178	6	24	4	4	46	52	3	35	53	23	14	393	22	8	166	274	177	343	9	24	21	7	12	10	13	54	22	15	32	13	15	9	14	8
HoiH23_PlH23_006787	33	0	5	0	1	11	9	3	11	13	4	3	98	3	0	26	43	21	47	3	3	3	1	2	1	1	10	2	2	3	2	2	0	2	1
HoiH23_PlH23_006789	733	17	98	14	36	232	242	27	152	267	89	44	1813	52	27	653	1208	585	1262	47	79	81	32	31	47	49	212	90	68	103	61	68	42	38	12
HoiH23_PlH23_006790	77	6	11	7	7	5	19	2	15	45	2	7	195	8	0	27	105	27	75	2	6	6	1	1	0	1	12	4	2	4	1	3	3	4	2
HoiH23_PlH23_006791	1121	80	191	60	84	170	256	46	179	854	42	112	3029	150	4	458	1637	544	993	43	219	71	27	32	49	28	122	65	29	58	30	48	85	59	15
HoiH23_PlH23_006793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_1398	1	0	0	0	0	2	0	0	0	0	2	0	3	0	0	2	3	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_006779	52	2	9	5	3	19	12	2	7	27	9	0	151	4	3	57	91	36	95	0	3	5	6	1	3	3	15	4	2	8	7	7	10	4	0
HoiH23_PlH23_006781	72	4	16	2	3	26	19	4	16	56	10	9	252	18	4	63	170	51	123	1	7	11	4	3	6	8	20	6	4	8	4	7	5	3	4
HoiH23_PlH23_006783	123	6	9	6	4	35	48	3	21	57	20	6	362	12	10	147	265	108	289	8	9	18	8	5	6	6	45	5	8	19	18	15	8	9	6
HoiH23_orphan_1399	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	3	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
HoiH23_PlH23_006786	145	8	22	1	4	51	65	4	40	63	34	2	401	15	4	187	261	135	362	9	17	8	8	9	13	14	65	25	13	40	14	16	18	8	2
HoiH23_PlH23_006788	3	0	0	0	0	1	2	0	0	0	0	0	4	0	2	3	6	1	4	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0
HoiH23_PlH23_006792	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007536	435	10	54	23	12	148	165	20	113	139	63	20	1163	27	23	452	784	351	927	18	43	49	14	27	24	37	111	48	34	58	27	45	37	25	18
HoiH23_PlH23_007537	207	0	25	13	10	45	67	5	45	75	21	10	490	24	10	189	300	145	349	20	14	21	3	12	16	9	43	24	13	27	19	20	14	12	6
HoiH23_orphan_1400	7	0	1	0	1	3	2	0	0	2	0	2	19	2	0	8	11	2	13	1	1	1	1	1	0	1	1	2	0	0	0	0	0	1	0
HoiH23_PlH23_007539	110	9	22	2	8	23	28	3	15	59	11	8	259	16	5	72	146	48	156	6	15	5	4	8	10	5	13	9	3	12	5	8	6	5	2
HoiH23_PlH23_007540	56	4	5	0	5	15	16	2	18	17	12	3	137	8	4	47	111	45	107	2	8	6	2	6	2	4	12	4	5	5	7	9	7	4	2
HoiH23_PlH23_007542	30	2	7	1	3	10	10	1	11	15	4	1	89	4	3	35	63	15	57	1	9	1	1	1	3	0	14	3	2	3	3	7	4	1	0
HoiH23_PlH23_007544	17	1	5	1	4	5	4	0	3	13	9	1	48	3	1	27	36	14	36	1	2	5	1	0	2	2	7	0	2	2	0	0	6	0	1
HoiH23_PlH23_007546	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_007534	76	0	8	1	3	14	18	1	19	26	13	2	155	6	2	77	111	57	117	4	3	5	0	1	3	5	12	10	6	7	7	7	5	3	4
HoiH23_PlH23_007535	91	11	11	3	6	6	13	6	13	33	14	7	176	10	0	34	107	28	85	2	20	5	0	2	1	2	8	5	3	5	4	4	16	2	1
HoiH23_orphan_1401	7	0	0	0	0	0	4	0	0	0	2	0	12	3	0	7	8	4	11	0	4	2	0	0	0	0	0	0	0	1	0	1	1	0	0
HoiH23_PlH23_007538	147	4	9	1	6	26	32	10	31	39	23	11	324	8	5	130	239	101	221	13	6	15	8	1	11	9	23	16	11	20	10	16	16	12	0
HoiH23_PlH23_007541	23	2	5	2	4	10	8	1	9	14	4	1	78	4	5	26	50	27	66	1	4	3	2	1	0	4	8	4	4	0	5	1	6	1	1
HoiH23_PlH23_007543	26	1	5	1	1	15	8	2	11	20	7	1	79	3	2	25	56	19	56	3	10	6	1	3	6	2	14	3	0	7	3	1	0	3	0
HoiH23_PlH23_007545	268	9	44	15	11	61	73	15	57	123	34	14	642	22	9	194	387	178	360	13	27	22	9	6	14	14	54	23	19	26	17	12	17	14	5
HoiH23_PlH23_007547	16	0	2	0	0	7	4	0	2	1	4	0	46	0	0	9	17	9	17	1	4	0	0	0	1	3	3	1	6	4	1	0	2	0	0
HoiH23_PlH23_007548	64	3	12	4	1	18	15	1	15	13	6	6	159	2	2	40	94	48	99	3	3	5	6	2	2	6	16	5	3	3	3	5	5	2	2
HoiH23_PlH23_008893	31	0	6	0	1	20	17	1	7	15	3	0	78	0	4	21	55	35	75	4	5	5	2	9	1	1	20	7	4	3	6	3	3	5	0
HoiH23_orphan_1402	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HoiH23_PlH23_008894	6	0	0	0	0	2	8	0	3	5	1	0	21	2	0	8	23	7	20	3	2	0	0	1	2	0	5	4	0	0	2	0	3	0	0
HoiH23_orphan_1403	3	0	1	0	0	2	4	0	0	1	0	0	8	0	0	3	1	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HoiH23_PlH23_008895	9	1	1	0	0	6	10	0	1	1	5	1	37	1	0	13	26	13	28	0	1	2	0	0	3	0	6	2	2	2	2	0	0	0	0
HoiH23_PlH23_008896	82	0	9	1	2	17	15	1	14	26	7	2	162	5	2	52	106	46	121	4	9	4	2	6	1	2	17	9	4	3	11	8	13	5	1
HoiH23_orphan_1407	11	1	0	0	0	2	7	0	4	4	2	0	25	2	1	9	32	7	17	1	2	0	0	2	0	0	5	1	1	2	0	2	2	0	0
HoiH23_PlH23_009270	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_orphan_1408	1	0	0	0	0	0	1	0	0	1	0	0	8	0	0	1	4	1	1	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0
HoiH23_PlH23_009271	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HoiH23_PlH23_009272	137	1	14	6	6	42	39	2	39	46	22	8	339	14	4	103	233	113	271	4	14	12	7	6	4	8	40	14	19	16	15	14	9	9	6
HoiH23_PlH23_009274	214	8	37	6	14	53	64	1	25	94	27	16	540	25	5	152	312	130	313	11	15	23	10	10	10	13	33	22	13	12	20	22	14	5	4
HoiH23_orphan_1409	10	0	0	0	0	5	5	0	0	3	2	0	19	1	2	16	21	9	28	3	3	2	0	0	0	1	8	0	0	0	0	0	0	0	0
HoiH23_orphan_1410	8	0	0	1	0	2	3	0	3	6	2	2	33	1	0	7	20	8	27	1	1	0	1	4	2	2	1	2	1	0	1	2	0	1	0
HoiH23_PlH23_009269	205	8	29	3	11	53	67	6	22	78	21	18	493	15	5	151	297	129	285	13	18	11	8	5	10	7	42	27	14	23	23	8	14	18	2
HoiH23_orphan_1411	3	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	1	1	9	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0
HoiH23_PlH23_009273	32	1	10	2	0	15	15	2	4	20	4	4	112	5	4	37	84	44	68	3	1	6	3	1	2	3	13	4	7	8	3	6	4	5	2
HoiH23_PlH23_009275	63	1	5	0	0	15	25	2	4	14	9	0	131	10	9	47	82	37	77	8	5	5	1	5	2	0	16	9	0	3	2	6	4	2	1
HoiH23_PlH23_009276	405	11	44	12	18	99	98	14	77	138	59	16	1063	32	13	378	683	290	719	33	40	35	14	15	27	31	113	50	31	50	46	30	23	25	6
HoiH23_PlH23_009277	16	0	0	0	0	5	14	0	2	2	2	0	81	3	0	22	46	25	54	1	1	2	2	1	1	2	7	2	4	2	3	2	2	1	0
HoiH23_orphan_1412	11	1	0	0	0	7	12	0	0	6	3	0	52	1	2	9	38	8	51	3	0	0	0	1	1	1	7	3	2	5	2	6	0	0	0
HoiH23_PlH23_009278	2	0	0	0	0	0	4	0	0	3	3	0	12	0	0	1	3	1	8	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0
HoiH23_PlH23_009279	9	0	0	0	0	3	4	0	1	0	0	0	16	1	1	5	9	8	16	0	3	0	3	1	0	0	2	1	1	1	1	2	1	0	0
HoiH23_orphan_1413	1	0	2	0	0	0	0	0	0	1	0	0	4	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
HoiH23_PlH23_007128	52	1	9	0	1	25	16	2	13	16	13	2	141	2	1	62	88	59	103	8	7	9	2	4	1	3	19	3	4	5	10	8	3	6	2
HoiH23_orphan_1414	55	2	5	3	1	17	19	0	11	27	10	2	159	11	2	67	90	41	113	3	3	5	0	3	3	1	15	6	5	7	5	11	5	4	2
HoiH23_PlH23_007131	202	4	30	10	4	60	65	9	34	92	26	12	500	14	3	186	330	140	343	8	16	21	8	8	10	16	45	24	8	22	14	20	15	7	7
HoiH23_PlH23_007132	111	4	11	3	5	32	45	5	24	57	23	9	325	7	0	124	200	105	229	6	14	20	4	11	4	9	42	14	7	12	15	8	9	9	3
HoiH23_PlH23_007135	314	5	37	3	11	96	99	17	86	94	43	7	827	27	22	331	545	235	643	17	28	33	17	20	15	24	80	39	28	51	22	38	23	19	8
HoiH23_PlH23_007136	53	0	7	0	2	10	16	1	7	9	3	1	95	6	2	39	72	30	65	1	2	1	1	2	4	3	11	7	0	5	2	3	1	0	0
HoiH23_PlH23_007137	174	3	31	5	6	44	43	7	40	60	20	7	410	16	6	148	281	140	297	9	20	13	10	4	9	12	32	20	14	20	17	17	25	8	2
HoiH23_PlH23_007139	406	10	41	18	7	103	119	13	86	127	55	11	889	34	13	369	604	315	710	25	41	40	14	15	18	32	85	34	32	40	40	35	22	24	6
HoiH23_orphan_1415	7	0	3	0	1	4	2	0	2	1	1	0	17	2	0	8	12	8	16	1	0	0	0	0	1	0	2	1	0	6	0	0	0	1	0
HoiH23_PlH23_007129	488	18	54	20	18	134	158	15	92	184	60	26	1297	43	18	460	743	353	870	21	50	60	12	40	26	34	129	56	30	75	46	44	33	30	18
HoiH23_PlH23_007130	365	14	50	8	23	163	161	16	92	148	62	12	1034	28	22	469	781	380	839	45	41	45	21	24	27	25	141	56	34	63	40	45	41	36	9
