lipophil_1	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	trans_lipophil_1_lipophil_2	lipophil_2	trans_lipophil_2_epithelia	trans_lipophil_2_gland	unknown_1	fibre_1	fibre_2	trans_fibre_gland	gland_1	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_epsilon	peptidergic_zeta	peptidergic_zeta_like	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu
HoiH23_PlH23_000070	34	3	3	1	1	12	10	1	10	11	8	0	78	0	0	38	77	32	75	2	3	3	2	3	0	1	9	12	8	7	1	7	1	2	0
HoiH23_PlH23_000072	109	4	12	1	3	32	34	3	25	30	21	3	255	9	8	93	161	99	203	8	15	11	8	11	6	6	35	16	8	14	4	7	7	6	1
HoiH23_PlH23_000074	953	24	124	12	25	313	284	41	192	345	123	30	2334	95	33	889	1593	736	1745	38	86	101	26	56	56	87	253	124	76	119	72	88	58	58	16
HoiH23_PlH23_000076	756	23	100	21	32	180	224	26	163	267	106	36	1783	63	25	674	1239	564	1321	52	78	67	37	33	41	68	192	90	50	102	58	70	45	45	22
HoiH23_orphan_9	15	2	4	0	0	1	4	0	3	3	1	1	40	2	1	12	16	9	29	0	2	0	0	0	2	1	1	1	3	1	3	1	2	2	0
HoiH23_PlH23_000079	182	6	29	6	11	47	56	8	37	80	33	10	515	9	8	167	317	128	340	12	17	24	9	11	11	17	50	23	9	18	18	21	20	15	3
HoiH23_PlH23_000081	127	2	19	3	0	58	53	4	39	48	18	17	403	19	4	146	289	122	289	7	21	16	8	13	9	11	41	20	14	28	15	11	4	8	4
HoiH23_PlH23_000083	104	6	15	1	3	30	39	3	16	43	11	9	271	13	9	110	163	96	192	7	15	11	9	5	6	9	30	14	11	10	13	12	6	5	5
HoiH23_PlH23_000085	131	5	19	2	5	42	51	4	27	58	28	7	345	11	3	109	214	111	266	8	15	13	4	5	11	10	42	15	6	14	13	9	9	6	4
HoiH23_PlH23_000086	400	21	64	15	15	116	114	12	71	214	67	29	1050	57	21	379	680	278	686	36	44	37	20	20	23	24	110	43	36	64	39	46	33	20	11
HoiH23_PlH23_000088	96	2	23	2	4	39	49	5	21	29	29	2	240	6	3	83	167	90	184	7	9	10	1	4	3	7	40	18	14	25	7	12	3	5	8
HoiH23_PlH23_000090	286	10	54	19	7	75	86	4	68	107	47	21	754	24	14	287	490	235	512	15	34	22	15	16	13	18	83	30	22	45	25	31	23	14	7
