lipophil	trans	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Tadh_TriadG63532	37	29	4	10	49	8	107	56
Tadh_TriadG37000	6	6	2	2	5	1	18	6
Tadh_TriadG52313	49	37	10	14	72	25	129	67
Tadh_TriadG52314	156	136	16	88	215	57	456	183
Tadh_orphan_34	97	57	9	42	165	38	285	106
Tadh_TriadG37002	89	61	17	49	102	49	302	103
Tadh_TriadG19795	179	122	15	70	241	70	467	143
Tadh_TriadG37004	186	101	21	67	205	87	381	123
Tadh_TriadG63536	253	125	23	86	266	89	553	173
Tadh_TriadG18418	236	157	22	120	322	88	607	263
Tadh_TriadG49735	613	397	67	239	689	196	1356	473
Tadh_TriadG19973	6	7	1	6	11	4	20	14
Tadh_TriadG52330	29	21	4	9	28	5	63	32
Tadh_TriadG52335	60	39	4	25	95	24	150	61
Tadh_TriadG19797	114	88	19	61	164	48	304	112
Tadh_TriadG52338	10	5	2	5	7	4	19	11
Tadh_TriadG52339	207	128	26	78	285	72	439	148
Tadh_TriadG49736	102	65	12	39	125	33	221	92
Tadh_TriadG52345	4	2	0	1	3	1	7	2
Tadh_TriadG52346	27	13	3	11	32	5	53	26
Tadh_TriadG52348	171	123	20	62	224	66	406	172
Tadh_orphan_35	5	4	3	4	5	1	12	1
Tadh_TriadG18956	189	136	29	74	245	55	502	165
Tadh_TriadG19984	134	52	14	45	146	50	239	75
Tadh_TriadG52356	8	2	0	6	9	0	11	5
Tadh_TriadG52359	123	86	18	53	187	57	345	118
Tadh_TriadG52362	90	73	28	58	150	37	328	136
Tadh_TriadG63188	2703	1780	306	990	3099	989	5895	1988
Tadh_TriadG52368	142	94	17	67	188	43	329	120
Tadh_TriadG63539	1179	677	139	400	1485	413	2628	1020
Tadh_wf_g1108	388	204	54	163	532	143	888	314
Tadh_TriadG19963	26	17	4	19	40	7	68	32
Tadh_TriadG52373	508	346	70	196	656	204	1166	426
Tadh_TriadG52375	341	203	32	114	447	107	821	287
Tadh_TriadG52377	2	2	0	2	2	2	2	2
Tadh_TriadG52378	53	37	7	19	49	22	105	46
Tadh_TriadG49741	57	38	11	25	80	19	140	56
Tadh_TriadG52382	191	143	17	82	278	92	464	180
Tadh_orphan_36	648	445	77	242	890	259	1595	618
Tadh_TriadG52385	52	51	14	27	72	28	195	53
Tadh_TriadG52388	67	44	17	30	78	19	158	60
Tadh_TriadG19413	32	20	2	6	52	17	72	24
Tadh_TriadG52391	88	49	16	20	97	27	172	60
Tadh_TriadG52393	185	134	17	88	249	71	398	123
Tadh_TriadG63189	3954	2667	420	1417	4660	1583	8647	3119
Tadh_TriadG52395	17	16	6	13	39	15	62	25
Tadh_TriadG18564	284	170	19	105	355	117	635	234
Tadh_TriadG52400	328	248	31	139	453	132	802	283
Tadh_orphan_38	1	1	0	0	3	2	4	3
Tadh_TriadG52402	7	3	0	1	6	2	7	5
Tadh_TriadG52403	2	1	0	0	3	0	3	0
Tadh_orphan_39	3	0	0	3	10	1	11	2
Tadh_orphan_40	21	10	8	8	29	3	44	18
Tadh_TriadG20204	76	54	6	29	91	30	189	65
Tadh_TriadG52407	34	30	3	12	40	21	68	24
Tadh_TriadG19675	747	494	108	296	911	251	1693	635
Tadh_orphan_41	9	7	1	2	9	2	15	6
Tadh_TriadG52410	149	92	19	54	200	57	350	130
Tadh_TriadG52413	29	26	3	16	49	12	89	40
Tadh_orphan_42	4	0	0	1	2	2	1	2
Tadh_TriadG19492	126	62	15	47	162	37	271	105
Tadh_TriadG49753	188	117	15	78	266	84	475	174
Tadh_TriadG52419	68	46	5	35	85	29	151	45
Tadh_TriadG63545	190	100	18	68	245	73	475	194
Tadh_TriadG37030	77	49	19	36	93	35	234	91
Tadh_TriadG52425	153	90	13	73	191	61	428	134
Tadh_TriadG19682	78	51	11	27	97	23	162	74
Tadh_orphan_43	6	7	2	9	8	7	22	8
Tadh_wf_g1167	620	378	68	205	740	191	1422	525
Tadh_TriadG18503	482	287	54	164	530	173	989	375
Tadh_TriadG20272	96	70	9	53	125	30	248	106
Tadh_TriadG63549	219	150	27	110	280	71	555	182
Tadh_TriadG49758	368	262	39	139	533	143	873	328
Tadh_TriadG63551	1797	1193	210	708	2346	714	4179	1548
Tadh_orphan_44	96	78	9	49	143	34	257	80
Tadh_TriadG20386	58	44	13	31	80	18	162	79
Tadh_TriadG52445	565	411	67	238	797	232	1465	526
Tadh_TriadG52446	19	10	2	6	23	5	41	20
Tadh_TriadG52447	81	40	5	22	87	27	149	60
Tadh_TriadG20051	52	33	5	16	68	13	119	38
Tadh_TriadG19616	881	546	104	337	986	309	2150	695
Tadh_TriadG19042	46	36	3	13	61	17	154	38
Tadh_TriadG63553	73	34	13	25	102	21	153	70
Tadh_orphan_45	2	0	0	0	1	0	2	1
Tadh_wf_g1194	149	84	11	66	160	39	338	128
Tadh_TriadG20369	3854	2364	444	1465	4842	1608	8941	3266
Tadh_TriadG18924	133	125	21	60	204	58	338	135
Tadh_TriadG52465	67	53	11	32	136	39	217	96
Tadh_TriadG52466	66	47	5	26	85	32	209	64
Tadh_TriadG52469	43	20	1	18	47	8	89	44
Tadh_TriadG18785	472	302	59	141	599	172	1034	398
Tadh_TriadG52473	84	44	6	24	108	35	211	71
Tadh_orphan_46	11	7	5	7	15	8	24	8
Tadh_TriadG17678	458	259	61	165	533	183	1074	338
Tadh_TriadG37040	13522	8816	1706	5169	17237	4793	31759	11701
Tadh_wf_g1217	5493	3608	631	2091	6570	2108	12568	4537
Tadh_TriadG63557	329	219	52	134	417	108	805	349
Tadh_TriadG18601	61	47	4	27	84	26	162	56
Tadh_wf_g1225	11	3	1	2	7	5	16	8
Tadh_TriadG52489	99	43	26	49	134	35	277	95
Tadh_TriadG37048	9501	6273	1017	3372	10545	3872	20708	7402
Tadh_TriadG49771	42	26	2	16	73	20	128	52
Tadh_TriadG18456	50	53	5	20	74	23	152	52
Tadh_TriadG52495	84	59	19	32	110	34	209	70
Tadh_TriadG63196	1258	735	132	535	1444	562	2900	1035
Tadh_TriadG52500	18	12	2	7	33	7	64	21
Tadh_wf_g1236	124	79	16	51	159	58	299	123
Tadh_TriadG52501	20	20	3	6	32	8	45	30
Tadh_TriadG52503	88	50	8	33	82	28	183	71
Tadh_TriadG63562	139	116	15	61	208	54	381	141
Tadh_TriadG52507	68	31	10	17	68	15	108	37
Tadh_TriadG52509	44	33	8	25	82	25	145	75
Tadh_TriadG49777	57	33	10	22	70	18	127	67
Tadh_TriadG52514	87	69	14	43	110	32	254	75
Tadh_TriadG52516	26	13	0	11	27	15	53	27
Tadh_TriadG63564	135	64	20	56	153	51	236	81
Tadh_TriadG52519	54	32	3	18	76	32	141	63
Tadh_orphan_47	62	62	15	30	88	24	168	55
Tadh_TriadG52522	82	51	10	35	116	37	187	90
Tadh_orphan_48	8	4	4	9	5	2	30	11
Tadh_wf_g1261	439	266	70	166	555	131	1139	457
Tadh_TriadG52525	7	5	1	1	2	2	12	4
Tadh_TriadG52526	81	50	9	23	124	29	233	76
Tadh_TriadG52531	71	44	11	29	90	27	177	52
Tadh_TriadG52533	289	158	31	107	305	97	660	209
Tadh_TriadG37059	211	112	31	85	271	68	455	181
