metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
60	39	186891	4792.07692307692	2814.5	4849	5968.5	0.289098478865012	0.0529998923055852	0.102605112956943	0.182807552104827	0.481811354691803
61	74	187703	2536.52702702703	2061	2469.5	3154.75	0.372293898442465	0.052556900328666	0.10373513095062	0.185893327467297	0.49495227409051
62	100	211286	2112.86	1716.75	2151.5	2530	0.394212027023148	0.0467286200554294	0.0798623957948982	0.151312053029925	0.479925858842818
63	129	230190	1784.41860465116	1437	1808	2070	0.350603394316098	0.0429146468474628	0.0848108393614128	0.150550468346195	0.479930645967507
64	74	184289	2490.39189189189	1878.5	2289.5	2904.5	0.440060879071327	0.0535126923286322	0.0831729309273607	0.156314068384095	0.565360802486326
65	87	190691	2191.85057471264	1807.5	2084	2427	0.459555430253617	0.0517123502634881	0.0779293496595065	0.151029264207821	0.488545662565379
66	83	277352	3341.59036144578	2720	3291	3899.5	0.42112303231512	0.035759377810418	0.0709428913397453	0.148947078017759	0.471771656867643
67	63	140215	2225.63492063492	1863.5	2158	2525.5	0.501843242895354	0.0681880987025293	0.0857452766491894	0.171348997759909	0.512872967119785
68	35	150953	4312.94285714286	3441.5	4149	4953.5	0.491944613162405	0.0654010545431156	0.086274916883065	0.180944362619483	0.527407020277069
69	61	172611	2829.68852459016	2341	2656	3267	0.536178387165943	0.0571183681942791	0.072414864414011	0.155390541210934	0.525062955018298
70	104	290671	2794.91346153846	2306.75	2719	3333	0.491775516992007	0.034111587926445	0.0676554932313366	0.12933725848067	0.463604211986304
71	62	222812	3593.74193548387	2585.5	3267	4493.75	0.388932046424129	0.044441132565715	0.0880315495371775	0.178221647123966	0.56827836750898
72	50	126133	2522.66	1574	2075	3027.5	0.405577223090198	0.0777028793421291	0.12403438020578	0.235224059085685	0.757406438511704
73	85	208459	2452.45882352941	1789	2189	2799	0.477612282914446	0.0473805735540632	0.0836528752793568	0.162672890670145	0.517485849999669
74	97	234427	2416.77319587629	1748	2113	2547	0.469381582189411	0.0421871055815901	0.0834653299607677	0.207875853645848	0.96960747113386
75	39	86102	2207.74358974359	1396	1792	2514.5	0.386751761184359	0.0915602923684605	0.142223167889081	0.278648950305996	0.708874074267748
76	59	99291	1682.89830508475	1103.5	1406	1801	0.548272398408473	0.080377044257804	0.108932704202733	0.242722528717371	0.67587821988685
