lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g04808.t1	42	5	3	11	14	18	42	2	128	2	7	5	48	174	20	15	59	1	10	4	1	3	5	2	0	5	22	7	1	21	0	2	6	6	10	3	1	2
Hhon_g04811.t1	485	32	32	120	113	104	555	26	1085	23	28	29	550	1304	197	152	677	30	113	87	19	26	49	19	21	25	108	47	12	125	10	26	43	63	93	18	8	25
Hhon_g04813.t1	43	3	1	15	8	14	50	8	91	1	2	2	36	109	17	19	62	7	13	8	1	5	6	0	0	5	5	2	0	12	0	0	4	8	6	2	1	2
Hhon_g04815.t1	11	3	0	10	4	8	12	1	22	0	3	2	12	45	3	11	16	1	2	2	0	1	1	0	0	3	10	0	1	4	0	0	0	2	2	4	0	0
Hhon_g04816.t1	24	0	1	5	5	6	43	1	74	2	1	0	28	109	18	5	42	1	11	9	3	3	3	2	3	4	8	3	0	7	1	1	3	2	6	4	0	0
Hhon_g04817.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04821.t1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04822.t1	16	1	0	1	1	2	5	0	19	1	0	0	8	14	3	0	9	0	0	3	0	1	2	3	0	0	6	1	0	1	0	0	1	0	3	0	0	0
Hhon_g04823.t1	1	0	0	0	0	0	3	0	3	0	0	0	2	3	0	1	3	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	2	0	0	0
Hhon_g04826.t1	142	12	9	35	37	33	181	13	272	5	13	16	168	317	57	37	178	7	25	23	8	7	11	5	2	5	21	9	3	31	3	10	10	18	21	5	2	7
Hhon_g04828.t1	169	13	9	64	40	34	267	15	360	9	22	12	194	483	64	47	209	6	41	39	14	22	11	3	8	16	29	21	1	58	4	17	20	25	32	6	2	9
Hhon_g04829.t1	2	0	0	1	2	0	7	1	12	1	1	0	6	23	1	1	6	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Hhon_g04833.t1	2	0	0	0	2	0	12	0	20	0	1	0	8	30	6	0	14	2	2	0	1	0	0	0	0	1	0	0	0	4	0	1	0	1	1	1	0	0
Hhon_orphan_929	0	0	0	1	0	1	6	0	5	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04837.t1	114	11	6	23	25	27	141	12	291	3	6	8	127	384	41	44	137	10	40	24	2	10	17	3	9	10	20	16	6	40	4	10	7	11	26	6	3	7
Hhon_g04838.t1	92	5	8	17	28	23	117	5	199	6	14	3	122	286	43	36	137	10	44	29	3	9	11	5	4	9	18	10	6	23	4	4	8	19	27	1	5	7
Hhon_g04839.t1	383	20	23	89	79	116	506	35	807	23	30	20	413	1124	159	121	467	35	125	70	25	36	38	20	14	28	70	46	7	94	11	20	29	50	68	14	9	14
Hhon_g04840.t1	64	6	3	12	20	12	61	2	113	2	9	0	70	130	22	22	76	6	14	8	0	3	4	0	1	8	20	4	2	12	2	2	4	2	8	2	1	0
Hhon_g04842.t1	45	9	4	13	11	16	74	5	136	0	1	0	57	158	27	9	55	1	14	15	2	4	5	2	2	2	8	6	0	13	0	3	5	9	9	1	1	6
Hhon_g04844.t1	156	17	16	46	37	46	180	15	334	9	9	15	206	439	55	50	214	9	44	34	6	11	16	3	7	13	50	12	7	36	5	5	7	28	41	6	8	9
Hhon_g04847.t1	544	43	27	146	98	157	641	31	1026	42	50	42	561	1230	199	126	573	29	85	99	20	17	53	5	28	40	137	42	10	104	6	39	26	64	73	24	9	23
Hhon_g04849.t1	32	4	1	11	4	8	39	4	60	1	3	2	36	100	10	8	26	2	8	5	1	3	3	1	2	2	5	7	2	9	1	1	3	4	7	1	0	0
Hhon_g04852.t1	6	0	0	1	1	1	5	0	10	1	1	0	7	16	2	2	9	1	4	2	0	0	0	0	0	1	2	0	0	2	0	2	0	2	3	0	0	0
Hhon_g04856.t1	4	0	1	1	0	1	5	0	13	0	1	1	2	12	1	1	3	0	2	4	0	1	0	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0
Hhon_g04857.t1	934	72	47	237	168	247	1107	72	1847	40	57	81	1041	2186	303	275	1157	62	231	178	27	45	84	27	40	57	185	78	22	204	36	39	50	109	168	41	42	28
Hhon_orphan_931	1	3	0	0	0	2	11	0	9	0	2	0	6	7	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g04859.t1	31	7	3	4	10	11	49	2	102	1	2	2	52	121	18	15	59	4	18	7	3	2	0	3	1	2	8	8	4	9	0	2	7	7	9	1	1	2
Hhon_g04862.t1	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04867.t1	5	1	1	4	1	2	9	0	25	0	2	2	3	31	5	3	4	0	3	1	1	0	0	0	1	0	1	0	0	4	0	1	1	2	2	0	0	0
Hhon_orphan_932	2	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_orphan_933	2	0	0	0	0	0	0	0	2	0	0	0	0	8	4	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
Hhon_g04869.t1	25	3	1	4	3	5	12	0	52	0	4	0	17	55	13	5	16	0	8	5	0	1	1	1	1	2	3	0	2	6	1	1	3	5	4	1	2	0
Hhon_g04871.t1	47	3	3	11	10	14	62	5	102	2	8	0	57	161	19	11	44	2	11	14	3	2	5	0	3	2	7	5	2	13	0	2	2	7	10	0	1	6
Hhon_orphan_935	29	3	1	4	3	4	33	1	30	1	3	2	21	38	2	10	27	4	3	2	1	4	3	1	0	3	5	1	0	7	0	0	4	3	4	0	0	0
Hhon_orphan_936	6	0	0	1	5	2	9	1	6	0	0	0	7	13	1	1	5	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1
Hhon_g04879.t1	13	2	2	2	6	4	19	3	32	0	0	2	11	40	7	4	11	0	4	2	2	0	1	2	1	1	0	2	1	5	0	0	1	1	1	0	0	1
Hhon_g04881.t1	1	0	0	0	0	1	3	0	4	0	0	0	1	9	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Hhon_g04883.t1	29	24	0	5	4	11	43	37	61	1	0	0	29	80	9	12	20	3	8	3	0	14	3	0	1	15	4	4	0	2	0	0	7	10	3	0	0	0
Hhon_g04825.t1	150	10	11	50	46	12	160	12	195	4	2	5	113	229	47	36	133	5	35	20	8	8	9	2	1	4	22	7	1	37	1	3	4	15	26	2	0	8
Hhon_g04827.t1	577	54	28	146	116	155	763	69	1382	24	54	31	621	1695	256	178	757	33	160	129	20	43	56	19	40	45	125	59	12	160	19	37	61	91	108	26	18	27
Hhon_g04830.t1	6	0	0	0	0	3	8	0	14	0	1	0	10	17	5	1	15	1	3	1	0	0	0	3	1	0	2	3	0	0	1	0	1	1	4	0	0	2
Hhon_g04831.t1	23	4	1	4	3	9	28	3	54	1	4	0	27	69	8	8	27	3	1	8	1	1	1	0	0	3	5	2	0	5	0	5	0	1	2	1	1	3
Hhon_g04832.t1	66	5	1	23	22	19	103	10	207	4	6	3	93	294	38	28	129	11	35	17	6	8	14	3	2	4	19	12	5	29	2	6	7	14	10	6	0	3
Hhon_g04834.t1	16	1	3	4	2	2	17	0	45	0	0	1	11	57	10	3	15	1	5	7	3	2	3	2	3	0	2	2	0	1	1	0	6	0	12	0	1	3
Hhon_g04835.t1	25	2	1	5	2	5	44	5	57	1	1	2	26	67	12	9	31	3	9	11	3	5	8	2	0	2	9	6	0	8	1	5	3	3	4	2	0	1
Hhon_g04836.t1	27	2	0	5	6	4	34	0	56	3	4	0	27	86	10	8	26	3	6	0	0	2	4	0	1	1	5	1	0	6	0	2	0	4	3	3	1	2
Hhon_g04841.t1	31	3	2	4	7	3	31	2	46	1	1	1	27	89	18	7	23	4	12	4	1	0	3	1	2	2	8	3	2	7	0	0	1	2	4	2	0	1
Hhon_g04843.t1	22	0	1	4	2	7	25	2	46	2	2	1	14	69	4	4	33	4	13	4	0	0	2	0	0	2	4	3	0	3	0	0	1	2	4	1	0	1
Hhon_g04845.t1	24	5	1	2	6	7	29	1	66	0	2	1	18	63	7	11	30	3	11	4	1	1	2	0	1	2	5	2	1	4	0	3	1	1	4	1	0	0
Hhon_g04846.t1	63	4	7	12	11	24	68	6	141	3	11	6	70	169	23	24	76	2	18	13	5	4	5	3	5	8	10	7	2	13	3	7	5	6	13	1	2	3
Hhon_g04848.t1	18	5	0	4	4	3	17	0	33	0	1	2	13	38	6	8	10	0	3	3	0	1	2	0	2	1	4	1	0	1	1	2	0	1	4	2	1	0
Hhon_g04850.t1	4	2	0	1	3	0	8	0	14	0	3	0	6	27	3	3	12	1	3	2	0	1	2	1	0	0	2	3	0	4	0	2	1	2	3	0	3	2
Hhon_g04851.t1	1	0	0	0	0	0	0	0	5	0	0	0	6	13	2	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
Hhon_g04853.t1	16	0	0	5	2	2	23	0	67	5	3	0	46	98	21	4	37	1	17	2	0	8	8	0	1	0	3	0	5	7	2	1	1	0	5	1	2	0
Hhon_g04854.t1	28	0	0	15	22	37	146	7	318	0	17	7	146	496	47	5	174	7	43	28	1	2	38	12	1	1	54	3	7	18	17	11	18	29	20	2	2	6
Hhon_g04855.t1	20	21	0	90	5	4	79	0	222	0	0	0	53	437	67	0	110	2	29	0	0	81	0	0	1	0	2	14	55	77	0	0	0	0	34	0	33	1
Hhon_g04858.t1	21	0	0	0	3	1	11	1	14	0	0	0	8	26	2	2	13	0	4	2	0	1	0	0	0	1	0	1	1	0	1	0	1	3	5	0	0	0
Hhon_g04860.t1	17	1	0	4	6	6	19	2	62	0	4	3	22	96	16	6	31	6	8	6	0	0	0	1	2	0	5	2	1	11	0	1	3	3	3	3	0	1
Hhon_g04861.t1	1	0	0	2	0	1	3	0	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04864.t1	5	0	0	5	0	1	13	0	15	0	2	1	1	10	3	0	2	0	0	0	0	0	0	0	0	2	1	0	0	1	1	4	0	1	2	0	0	0
Hhon_orphan_937	1	0	0	0	0	1	0	0	3	0	0	0	3	10	1	0	2	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
Hhon_g04868.t1	169	14	15	44	32	61	263	17	332	7	6	12	192	429	66	74	200	16	42	45	6	11	16	3	4	11	44	14	7	44	6	13	17	24	33	9	5	8
Hhon_orphan_938	0	0	0	1	0	1	0	0	1	0	0	0	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04870.t1	44	2	1	9	16	21	54	2	115	1	12	0	48	141	28	14	56	3	17	6	7	7	3	0	3	2	5	1	2	7	1	3	4	8	8	0	1	1
Hhon_orphan_939	2	0	0	0	0	0	1	1	7	0	0	0	5	14	1	0	4	0	0	0	0	1	0	0	0	0	1	0	0	4	2	0	0	0	0	0	0	0
Hhon_g04872.t1	163	21	9	39	34	52	196	14	354	3	18	13	174	466	64	48	206	13	48	40	5	13	28	8	6	15	36	17	9	33	6	4	14	23	19	11	5	8
Hhon_orphan_940	6	1	1	2	2	0	21	1	24	0	1	0	8	71	6	3	13	2	3	5	0	1	0	1	2	2	6	0	0	2	2	1	2	1	2	0	1	1
Hhon_g04873.t1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g04874.t1	30	4	3	5	4	15	24	1	73	1	4	2	31	91	15	8	43	1	11	9	1	2	4	1	1	2	7	3	1	4	1	2	6	3	6	2	1	1
Hhon_g04875.t1	242	19	8	68	57	66	328	12	488	14	23	11	229	721	105	77	289	10	76	53	6	15	23	3	10	12	53	23	6	69	7	11	19	38	46	10	12	12
Hhon_orphan_941	2	0	0	1	0	1	2	0	7	0	0	0	1	9	2	2	2	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Hhon_g04876.t1	86	9	4	16	14	17	105	4	201	3	4	1	95	271	45	19	117	4	29	21	3	4	8	4	2	4	17	5	3	23	3	4	11	17	12	3	3	9
Hhon_g04877.t1	32	2	0	3	3	10	29	0	57	1	0	0	16	64	18	6	32	5	10	4	2	0	4	1	0	0	4	2	2	2	0	0	3	2	2	2	1	0
Hhon_g04878.t1	43	6	1	16	13	11	50	5	141	1	7	0	51	193	30	13	72	3	13	16	8	0	7	3	1	6	12	6	3	16	2	4	6	3	14	6	3	3
Hhon_g04880.t1	89	3	6	24	13	24	119	9	188	1	6	7	108	266	50	36	122	5	26	26	5	9	15	6	3	9	29	6	4	12	6	10	10	15	18	7	4	5
Hhon_orphan_942	0	0	1	0	0	0	1	0	3	0	0	0	0	8	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04882.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04884.t1	1071	89	44	262	220	240	1266	102	2444	61	88	66	1057	3355	515	323	1373	98	311	230	40	76	131	37	54	66	212	84	20	280	30	62	104	159	225	57	35	60
Hhon_g04885.t1	4	3	0	3	3	3	11	1	17	1	1	0	11	21	5	4	14	0	4	6	0	0	2	0	1	1	2	1	0	2	0	1	3	0	0	0	0	0
Hhon_g04887.t1	1076	84	65	263	213	314	1358	92	2432	59	95	83	1187	3080	459	350	1426	72	300	224	53	65	105	17	50	70	187	94	29	266	44	69	89	168	243	52	30	52
Hhon_orphan_943	6	1	0	1	1	2	15	0	12	0	0	1	9	43	6	3	8	0	4	2	0	0	1	1	0	0	2	1	0	3	0	0	0	0	1	1	0	1
Hhon_g04889.t1	12	0	0	1	4	2	9	0	26	0	4	1	6	45	1	3	10	3	7	2	0	0	0	0	0	3	3	0	0	4	1	0	1	3	2	1	0	1
Hhon_g04890.t1	67	2	4	27	22	13	79	6	143	10	8	0	74	166	32	17	101	5	19	13	7	3	4	2	3	7	13	5	1	17	1	4	6	9	5	1	1	11
Hhon_g04891.t1	883	77	68	222	198	247	1177	85	2097	39	72	49	995	2598	366	277	1205	87	252	177	44	75	82	22	38	89	206	89	37	208	34	74	81	129	172	29	27	41
Hhon_g04893.t1	27	2	0	5	6	8	30	0	45	1	2	2	16	42	14	4	21	1	5	6	0	0	1	0	0	1	7	3	0	6	1	1	4	5	3	0	0	2
Hhon_g04894.t1	18	2	2	4	5	7	18	0	32	1	1	0	12	47	15	7	21	0	6	2	1	1	2	0	0	1	1	0	1	2	3	0	0	1	2	0	0	2
Hhon_g04897.t1	71	7	5	20	19	14	102	6	171	6	1	2	103	229	30	29	77	10	25	18	7	3	4	1	5	10	15	12	7	16	2	6	11	12	12	3	1	3
Hhon_g04901.t1	0	0	0	1	0	0	0	0	12	0	0	0	2	9	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
Hhon_orphan_944	35	1	1	18	9	6	36	0	76	0	3	6	36	43	15	10	46	0	9	5	0	1	0	2	1	2	5	2	1	12	1	3	0	8	9	1	0	0
Hhon_g04904.t1	1138	53	45	284	216	173	1337	93	2142	37	58	102	1262	2201	385	296	1522	36	218	167	49	33	53	17	3	68	241	112	52	212	51	44	15	215	240	13	31	10
Hhon_g04906.t1	6	0	0	0	2	0	5	0	7	0	1	1	3	7	1	1	5	0	1	1	0	0	0	0	1	1	3	0	1	1	2	0	0	0	0	0	0	0
Hhon_g04908.t1	2	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hhon_g04909.t1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_945	3	0	0	1	1	0	5	0	7	0	0	0	3	4	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Hhon_orphan_946	13	0	0	1	1	5	13	0	32	0	3	1	29	75	6	5	17	1	7	6	0	1	0	1	0	0	2	0	0	5	0	1	0	7	2	3	0	2
Hhon_g04917.t1	20	2	0	2	2	2	10	2	46	1	4	1	21	71	8	2	17	1	12	2	0	0	3	3	1	0	6	1	1	6	0	1	0	1	1	2	0	1
Hhon_g04918.t1	75	7	2	19	19	26	82	7	137	2	5	3	81	191	39	22	90	6	24	23	2	3	7	1	4	6	9	10	2	19	1	7	7	11	12	2	4	4
Hhon_orphan_947	3	0	1	1	5	2	8	0	30	0	2	0	6	26	8	3	12	0	4	3	1	0	3	0	0	1	5	0	0	2	0	0	0	2	0	0	0	0
Hhon_g04921.t1	10	1	1	2	1	2	18	1	27	1	1	0	9	46	8	4	17	0	4	3	1	0	2	0	0	1	5	0	1	3	1	0	1	1	2	0	0	0
Hhon_g04923.t1	105	6	8	20	23	19	135	4	253	3	10	5	88	369	59	34	125	11	28	19	2	4	5	3	6	7	25	10	9	21	2	10	10	16	24	3	3	2
Hhon_orphan_949	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_950	1	0	0	0	2	1	1	0	5	0	0	0	3	15	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Hhon_g04927.t1	26	0	2	8	10	15	33	0	79	3	3	2	44	96	19	11	45	3	15	6	1	0	6	0	0	1	10	2	0	6	1	2	4	3	10	3	1	7
Hhon_g04929.t1	68	4	9	15	11	13	86	3	135	5	5	3	76	191	23	17	76	6	13	12	7	7	8	2	4	3	15	11	0	14	3	5	6	2	15	2	0	5
Hhon_g04931.t1	11	1	0	2	2	1	16	0	15	0	3	2	13	30	4	4	10	1	2	3	0	2	0	1	0	1	0	0	0	3	0	3	2	5	1	1	3	1
Hhon_g04932.t1	7	1	0	2	0	1	7	0	18	0	1	1	13	16	3	0	11	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1
Hhon_g04934.t1	24	5	0	4	5	6	24	3	57	0	6	1	20	53	9	3	31	0	6	4	1	1	3	0	1	2	5	1	1	8	1	3	1	4	6	1	0	0
Hhon_g04935.t1	31	0	2	9	8	11	49	2	99	2	4	4	49	99	14	8	51	4	11	12	0	0	5	1	3	3	11	3	1	13	4	5	3	7	10	1	2	2
Hhon_g04937.t1	6769	427	396	1764	1305	1706	8378	454	12359	204	436	504	7961	14563	2608	1968	8531	288	2008	1583	414	325	257	160	97	558	1219	865	144	1570	248	398	399	1371	1257	181	358	48
Hhon_orphan_951	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04940.t1	29	3	1	7	4	7	32	3	45	3	1	1	23	69	13	4	33	0	3	5	1	1	0	0	1	2	6	0	0	9	1	1	2	2	6	1	1	0
Hhon_g04941.t1	104	8	7	23	32	34	116	9	267	9	15	8	124	357	50	46	145	10	38	25	3	8	19	5	5	8	25	11	3	20	7	11	14	15	14	6	3	5
Hhon_g04944.t1	49	4	0	12	8	20	49	5	128	3	2	3	50	201	27	20	73	7	17	14	5	7	4	1	5	1	13	4	3	12	2	4	7	7	6	0	0	3
Hhon_g04886.t1	7	2	0	3	0	0	13	2	15	1	2	0	10	22	2	4	8	0	1	2	0	3	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2
Hhon_g04888.t1	83	22	11	22	33	29	123	8	271	1	36	2	133	423	87	37	152	15	28	32	12	5	11	6	2	4	24	16	8	30	4	7	9	21	22	11	6	10
Hhon_g04892.t1	47	4	1	9	7	11	47	7	92	2	2	3	46	118	28	10	54	2	10	9	1	2	2	3	3	1	6	0	0	12	4	4	6	6	9	3	0	3
Hhon_g04895.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04896.t1	41	0	1	14	7	16	47	2	95	1	6	2	59	155	26	14	56	5	11	10	2	6	5	4	5	2	11	4	1	12	1	4	2	4	8	1	1	1
Hhon_g04898.t1	12	0	0	1	1	6	9	3	24	0	1	0	13	35	4	2	17	1	2	2	0	1	1	0	1	1	4	0	0	4	1	0	1	0	1	0	0	2
Hhon_g04899.t1	87	8	6	33	25	26	107	5	179	5	6	1	101	201	49	31	118	4	24	13	2	0	14	2	5	3	16	6	1	27	3	5	4	18	13	5	5	4
Hhon_g04900.t1	21	8	0	4	3	6	26	2	78	1	0	0	19	79	12	4	33	1	8	7	5	0	1	0	0	0	4	5	0	7	1	2	2	6	6	5	1	2
Hhon_g04902.t1	43	5	5	6	8	8	23	2	79	3	2	2	38	104	23	10	44	7	15	8	2	5	4	2	2	3	9	3	2	14	2	1	3	3	2	0	1	1
Hhon_g04903.t1	833	51	48	215	182	217	1035	71	1598	27	43	61	997	1649	325	276	1005	35	207	179	66	29	34	31	10	74	120	91	17	205	30	47	55	206	143	16	33	4
Hhon_orphan_952	41	2	2	18	14	14	45	1	66	4	3	6	54	101	23	9	56	6	9	15	5	0	7	1	2	1	10	8	0	10	0	1	1	2	12	1	1	0
Hhon_g04911.t1	4	0	0	2	1	0	3	0	4	0	2	2	2	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
Hhon_g04912.t1	1	0	0	1	0	0	0	0	3	0	0	0	1	5	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hhon_g04913.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_g04914.t1	26	1	1	11	8	15	30	10	75	2	2	3	38	110	21	11	76	2	8	4	0	4	5	1	1	3	10	2	1	10	6	1	2	1	2	4	3	9
Hhon_g04915.t1	2	2	0	2	1	0	2	0	7	0	0	0	5	7	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g04916.t1	14	1	0	0	0	1	21	0	22	0	1	2	13	31	5	0	10	0	1	3	0	0	0	0	0	0	1	0	1	4	0	0	0	2	9	1	0	1
Hhon_orphan_953	8	0	0	1	0	2	6	0	13	0	3	0	6	25	8	0	4	0	2	0	0	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0	1
Hhon_g04919.t1	231	25	4	75	33	60	278	27	480	15	25	12	217	479	76	58	254	10	43	35	11	7	18	7	5	16	60	22	7	38	3	11	16	37	40	8	5	15
Hhon_g04920.t1	15	0	1	2	1	3	24	0	29	0	0	2	11	34	3	2	17	0	6	0	0	1	0	1	1	2	3	1	1	1	0	3	0	2	3	0	3	0
Hhon_orphan_954	6	0	0	6	0	1	14	0	18	0	3	3	9	28	2	1	9	0	5	0	0	0	0	1	0	0	1	0	0	3	0	2	1	1	1	0	3	0
Hhon_g04922.t1	48	3	1	14	12	20	91	7	142	4	4	1	68	155	21	17	92	3	25	16	4	3	4	3	1	5	12	4	1	12	1	3	9	8	11	2	1	3
Hhon_g04924.t1	121	5	5	25	27	37	142	8	291	4	12	7	119	418	57	37	161	9	37	23	4	7	13	6	5	7	25	13	10	25	10	9	7	13	25	6	3	9
Hhon_g04925.t1	37	0	4	10	4	11	44	5	76	1	1	2	50	138	30	10	51	0	12	8	3	4	2	4	0	2	12	1	2	9	1	1	6	11	6	5	3	2
Hhon_g04928.t1	26	0	2	5	6	6	22	0	50	0	2	0	20	88	12	5	26	2	8	7	3	1	2	0	1	3	4	1	1	4	0	1	3	0	5	1	2	2
Hhon_g04930.t1	41	5	2	12	9	3	58	1	102	4	3	0	34	154	16	14	56	4	12	9	3	4	4	1	2	3	9	2	2	12	0	3	7	4	8	3	3	6
Hhon_g04933.t1	3955	389	218	1078	885	1155	5031	303	9367	231	380	223	4568	12220	1834	1283	5629	367	1229	874	171	301	538	99	187	259	855	380	109	1073	152	246	375	607	792	175	128	219
Hhon_g04938.t1	266	30	26	56	68	78	323	18	593	15	27	5	277	717	98	93	368	14	71	60	14	19	31	8	11	18	49	32	8	62	9	9	27	44	52	17	8	6
Hhon_g04939.t1	97	9	6	19	19	34	101	13	230	6	9	5	115	285	41	28	119	5	28	36	4	6	12	3	3	3	21	16	3	31	6	6	15	17	22	1	1	1
Hhon_g04942.t1	80	5	10	17	9	29	107	6	220	4	8	3	65	237	43	21	85	5	25	19	0	5	11	1	6	7	13	7	2	17	1	2	6	8	7	4	2	2
Hhon_g04945.t1	69	7	7	19	18	16	80	6	174	6	11	1	75	226	42	14	89	4	19	12	2	3	7	3	6	4	13	6	5	11	4	3	6	11	9	1	2	5
Hhon_g04946.t1	91	3	1	23	18	14	89	3	175	9	4	2	76	282	44	34	100	5	36	18	2	7	14	4	3	1	12	8	2	13	0	6	9	11	20	1	3	2
Hhon_orphan_956	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_957	12	0	0	3	1	2	9	0	30	0	0	1	6	48	7	3	9	2	3	5	2	2	2	3	0	0	1	0	2	1	0	0	0	0	1	0	0	0
Hhon_orphan_958	5	0	0	1	0	0	4	0	7	0	0	0	4	11	0	1	7	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0
Hhon_g04947.t1	11	0	0	2	2	0	17	0	27	0	1	0	10	59	8	5	16	0	8	1	1	1	1	0	0	2	4	0	0	2	1	1	2	0	5	1	0	0
Hhon_orphan_959	8	2	0	2	1	2	7	0	28	0	0	1	12	27	5	5	12	0	0	2	0	0	0	0	1	0	2	0	1	3	0	0	0	4	1	0	0	1
Hhon_g04948.t1	38	1	1	12	13	9	42	2	105	2	1	2	40	149	21	12	56	1	16	8	2	1	8	2	0	4	13	4	1	12	4	1	10	4	8	1	1	3
Hhon_orphan_960	31	4	0	5	4	13	35	0	43	1	1	0	17	95	11	12	32	1	11	6	2	0	4	0	2	2	9	9	2	6	4	3	5	3	3	2	0	1
Hhon_g04950.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hhon_orphan_961	29	1	0	9	3	10	42	2	58	4	3	2	28	61	17	11	31	4	5	10	1	1	2	0	0	3	5	2	0	0	4	3	3	3	4	3	0	1
