lipophil_1	trans_lipophil_1_gland	trans_lipophil_1_epithelia	lipophil_2	trans_lipophil_2_epithelia	unknown_1	fibre	trans_fibre_gland	gland_1	gland_1_like	trans_gland_epithelia_ventral	trans_gland_epithelia_dorsal	epithelia_gland_like	epithelia_ventral	epithelia_unknown	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_epsilon_like	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_theta_like	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_omicron	peptidergic_other_1	peptidergic_other_2
Hhon_g00082.t1	271	25	21	85	69	64	353	18	705	14	21	19	344	887	129	85	412	20	89	72	23	23	31	13	10	14	63	21	6	72	8	20	31	41	71	14	7	7
Hhon_g00084.t1	11	0	0	1	4	2	15	0	21	0	1	0	13	35	2	5	11	0	4	2	1	0	2	0	0	0	5	1	0	2	0	2	0	3	1	0	0	0
Hhon_g00086.t1	32	2	2	8	4	5	37	1	70	0	1	1	26	91	9	6	54	0	9	6	0	1	2	1	1	4	9	4	1	5	1	1	4	3	4	1	0	1
Hhon_g00088.t1	50	4	0	9	10	15	48	5	97	3	3	1	49	126	32	13	68	3	14	10	4	1	7	1	1	2	13	3	1	16	2	3	4	3	9	3	0	2
Hhon_g00089.t1	45	3	2	9	9	13	59	5	111	3	7	3	40	186	22	11	42	5	12	15	1	1	8	1	0	3	16	8	2	13	6	3	10	3	10	8	0	1
Hhon_g00091.t1	74	5	3	35	11	31	122	8	230	3	9	4	58	306	47	37	118	8	28	15	2	7	18	1	6	8	27	9	2	22	7	11	8	9	23	3	3	4
Hhon_g00092.t1	1686	142	74	391	339	518	2039	124	3564	57	120	73	1688	4058	616	478	2028	101	406	296	68	126	117	30	37	122	271	171	45	385	57	80	171	234	326	80	36	76
Hhon_g00094.t1	28	2	1	2	4	7	34	2	57	1	2	4	28	90	6	5	27	4	11	13	2	3	2	1	2	0	9	3	0	9	1	3	7	4	3	0	2	1
Hhon_g00095.t1	45	4	2	15	7	9	72	2	98	2	4	1	50	111	19	19	50	3	9	7	4	3	4	1	2	3	9	2	2	9	0	3	1	6	15	4	0	1
Hhon_g00097.t1	47	3	3	10	9	10	56	1	97	3	6	4	61	142	16	18	69	7	15	8	2	2	1	3	3	3	12	1	5	16	0	6	1	6	11	1	2	5
Hhon_g00099.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hhon_g00100.t1	14	3	1	1	2	5	17	1	34	1	1	1	10	32	5	9	18	0	4	4	0	1	1	0	3	0	6	1	1	5	0	0	2	4	1	0	0	1
Hhon_orphan_12	3	2	0	2	0	0	5	0	11	0	0	0	5	14	4	2	9	0	3	1	0	0	2	0	1	1	2	0	0	2	0	0	1	1	1	0	0	0
Hhon_g00103.t1	131	12	9	38	22	31	159	8	254	9	7	6	111	307	51	40	171	7	44	22	7	8	13	4	2	11	18	9	2	26	0	6	7	15	26	5	1	9
