metacell	cell_type	color	broad_cell_type	metacell_it2
249	peptidergic_alpha	dodgerblue1	peptidergic	172
250	peptidergic_alpha	dodgerblue1	peptidergic	177
251	peptidergic_beta	dodgerblue3	peptidergic	211
252	peptidergic_beta	dodgerblue3	peptidergic	210
253	peptidergic_beta	dodgerblue3	peptidergic	209
254	peptidergic_beta	dodgerblue3	peptidergic	208
255	peptidergic_gamma	skyblue1	peptidergic	204
234	peptidergic_gamma_like	skyblue1	peptidergic	219
236	peptidergic_delta	skyblue3	peptidergic	196
237	peptidergic_delta	skyblue3	peptidergic	197
213	peptidergic_epsilon	steelblue1	peptidergic	185
212	peptidergic_epsilon_like	steelblue1	peptidergic	184
231	peptidergic_zeta	steelblue3	peptidergic	203
216	peptidergic_eta	royalblue1	peptidergic	190
217	peptidergic_eta	royalblue1	peptidergic	189
218	peptidergic_eta	royalblue1	peptidergic	191
219	peptidergic_eta	royalblue1	peptidergic	188
221	peptidergic_eta	royalblue1	peptidergic	192
227	peptidergic_theta	royalblue3	peptidergic	195
228	peptidergic_theta	royalblue3	peptidergic	194
220	peptidergic_theta_like	royalblue3	peptidergic	193
238	peptidergic_iota	deepskyblue1	peptidergic	178
239	peptidergic_iota	deepskyblue1	peptidergic	179
240	peptidergic_iota	deepskyblue1	peptidergic	181
241	peptidergic_iota	deepskyblue1	peptidergic	180
242	peptidergic_iota	deepskyblue1	peptidergic	182
243	peptidergic_iota	deepskyblue1	peptidergic	183
232	peptidergic_iota_like	deepskyblue1	peptidergic	201
229	peptidergic_kappa	deepskyblue3	peptidergic	198
235	peptidergic_lambda	cyan2	peptidergic	199
230	peptidergic_lambda	cyan2	peptidergic	200
222	peptidergic_mu	cyan3	peptidergic	213
223	peptidergic_mu	cyan3	peptidergic	212
224	peptidergic_mu_like	cyan3	peptidergic	216
225	peptidergic_mu_like	cyan3	peptidergic	217
226	peptidergic_mu_like	cyan3	peptidergic	218
215	peptidergic_omicron	lightskyblue	peptidergic	186
214	peptidergic_other_1	paleturquoise3	peptidergic	187
233	peptidergic_other_2	paleturquoise3	peptidergic	202
