lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG52144	81	10	5	5	6	38	10	128	12	35	5	44	26	92	26	84	6	9	5	2	2	4	4	6	12	9	12	4	4	2	13	4	0
Tadh_TriadG63517	183	16	9	3	16	67	11	279	27	61	7	38	26	125	56	160	8	7	14	4	4	3	8	14	19	17	20	6	7	1	19	4	4
Tadh_orphan_11	28	4	1	1	3	7	0	43	5	3	0	11	12	26	4	17	2	0	0	0	0	1	2	1	3	2	5	1	0	2	3	1	1
Tadh_orphan_12	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG52149	108	6	5	3	7	37	6	160	7	42	3	40	28	98	32	108	4	7	7	8	0	1	0	11	12	6	10	1	4	3	7	4	7
Tadh_orphan_13	4	2	1	0	0	2	0	1	0	0	0	2	0	4	2	2	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0
Tadh_TriadG52150	5	0	1	0	1	1	0	4	2	0	0	0	0	4	0	4	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
Tadh_TriadG52151	62	5	6	2	5	24	2	71	5	18	2	10	11	71	16	64	5	9	4	0	0	4	0	1	2	2	7	0	4	0	10	2	5
Tadh_orphan_14	2	0	0	0	0	0	0	5	0	1	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Tadh_orphan_15	2	0	0	0	1	0	0	3	1	2	1	0	0	4	0	7	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Tadh_TriadG20245	1916	139	128	100	94	710	86	2034	161	731	49	357	238	1581	607	1601	111	95	74	28	9	95	35	94	119	43	165	80	90	38	140	40	67
Tadh_TriadG19489	42	4	1	0	3	8	1	56	2	7	2	12	8	32	11	32	0	2	1	1	0	4	0	0	1	1	6	1	0	0	4	2	0
Tadh_orphan_16	2	1	1	0	2	3	1	3	1	1	0	5	1	7	1	5	2	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0
Tadh_TriadG52157	132	8	9	4	5	59	8	163	16	53	8	41	31	156	43	134	12	6	10	0	2	12	2	5	9	2	24	2	9	5	18	3	3
Tadh_TriadG20011	2	0	0	0	0	2	0	7	1	2	0	2	0	5	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
Tadh_wf_g910	54	5	5	4	7	17	7	72	9	16	0	21	19	58	13	60	5	6	3	1	2	2	5	6	7	4	9	2	4	1	11	1	4
Tadh_TriadG52163	42	8	0	1	1	32	5	62	16	15	0	10	8	49	15	45	2	5	3	0	0	8	1	8	4	6	9	1	5	1	10	0	2
Tadh_TriadG52165	108	14	13	3	5	48	2	114	16	29	1	29	19	107	28	101	9	16	3	3	2	2	3	6	2	5	13	3	7	3	18	2	2
Tadh_TriadG49711	1516	120	88	71	89	573	59	1817	130	582	44	320	194	1334	499	1437	91	78	72	20	5	52	20	86	122	53	126	51	89	28	111	29	56
Tadh_TriadG52168	163	29	16	9	14	69	11	245	19	67	4	33	27	179	47	152	14	15	11	4	1	6	3	11	11	6	17	7	8	5	21	2	7
Tadh_hyp_clust4120	36	4	5	1	4	11	2	45	8	20	2	12	17	36	12	26	2	2	0	2	0	2	0	0	2	0	5	2	0	3	8	0	0
Tadh_TriadG49712	115	12	9	6	8	41	8	150	15	50	4	27	14	115	48	129	5	10	5	1	3	4	2	3	13	1	13	4	7	5	9	4	3
Tadh_TriadG52172	15	3	0	1	1	4	1	21	5	8	1	2	4	17	5	16	1	0	1	1	0	2	1	1	0	1	5	0	0	0	3	0	1
Tadh_TriadG52175	74	3	0	3	9	23	2	68	4	24	3	25	20	86	4	52	0	2	4	1	0	0	2	0	4	1	10	1	1	0	4	5	8
Tadh_TriadG52177	68	7	2	0	6	18	4	69	8	20	2	12	5	54	22	53	4	2	3	0	0	2	0	5	2	3	4	2	1	4	1	1	2
Tadh_hyp_clust1035	92	11	4	6	5	36	18	128	12	43	5	26	19	99	24	91	5	5	3	1	2	5	6	9	10	5	14	4	4	2	12	3	3
Tadh_TriadG19283	16	0	2	1	2	5	0	37	8	6	2	11	3	35	6	22	1	1	4	1	0	5	1	1	3	1	2	0	3	0	5	1	0
Tadh_TriadG52181	11	0	1	0	1	5	0	11	2	2	0	1	3	8	0	8	0	2	3	0	0	0	0	0	0	1	2	0	0	0	1	0	0
Tadh_orphan_17	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Tadh_TriadG52183	101	11	10	3	6	51	13	161	18	30	0	39	20	108	34	92	6	12	8	5	1	6	6	6	4	2	10	3	6	2	16	1	1
Tadh_TriadG18263	724	62	67	51	36	263	38	855	86	289	20	181	130	703	270	712	23	38	47	13	5	43	23	35	67	15	73	29	41	12	58	17	36
Tadh_TriadG52187	139	18	8	4	12	40	7	165	18	49	3	39	22	131	41	116	8	6	10	3	0	4	4	5	10	5	13	7	11	6	17	4	7
Tadh_TriadG52188	165	10	0	2	11	50	7	93	7	58	0	43	17	114	11	69	0	0	9	0	0	0	2	0	7	1	20	5	2	0	8	9	16
Tadh_TriadG18460	74	10	2	5	3	29	11	84	9	30	3	23	10	84	21	63	4	3	6	2	1	3	4	3	5	2	10	5	5	1	9	4	6
Tadh_TriadG52192	78	5	2	3	7	20	4	84	3	32	1	21	9	56	19	69	6	7	3	0	1	3	2	5	4	2	3	5	6	2	12	4	8
Tadh_TriadG52193	31	3	2	2	9	14	6	56	4	23	3	16	10	28	12	43	1	2	2	3	0	0	4	5	6	1	5	1	0	4	7	0	1
Tadh_TriadG19118	84	9	6	3	6	46	3	106	8	33	1	16	15	80	28	92	7	4	5	2	1	2	2	6	6	5	5	3	1	3	4	1	4
Tadh_TriadG52197	37	9	2	1	4	17	6	38	2	10	0	12	12	48	17	38	2	3	3	2	1	2	0	0	8	1	4	1	3	1	3	2	1
Tadh_TriadG52198	43	4	4	6	3	23	5	83	9	16	3	19	10	53	14	63	5	3	1	1	0	2	3	5	3	2	8	7	3	1	7	2	2
Tadh_TriadG19806	127	16	6	6	15	54	12	170	19	43	2	36	36	134	29	111	5	7	8	4	0	3	5	16	11	1	16	8	6	3	8	3	4
Tadh_orphan_18	18	0	0	1	1	4	1	21	2	2	1	6	4	18	4	14	1	2	2	3	0	0	1	2	0	1	2	0	1	0	2	1	1
Tadh_TriadG14805	13	0	0	1	2	4	2	8	1	6	0	3	0	12	5	7	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	1	0
Tadh_TriadG36990	9526	799	573	542	765	3401	536	11977	1050	3368	330	2719	1731	8564	2772	8304	487	518	571	245	116	389	269	505	731	354	1069	319	505	266	916	288	398
Tadh_TriadG49721	263	26	15	12	29	96	14	345	39	107	13	77	38	243	79	229	11	17	14	10	2	10	9	10	19	18	42	4	13	8	32	5	15
Tadh_TriadG52211	216	20	18	13	18	87	13	275	23	83	6	68	30	268	80	187	8	12	16	4	1	15	4	21	18	8	32	6	14	6	22	3	8
Tadh_orphan_19	1	0	0	0	0	1	0	1	0	2	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tadh_TriadG49722	73	13	5	3	3	32	4	116	7	33	3	17	16	85	21	66	5	5	4	6	1	3	1	6	5	1	13	2	7	1	9	3	2
Tadh_orphan_20	24	6	4	0	3	10	2	35	3	9	0	10	4	22	11	20	0	4	1	0	0	7	1	1	2	3	2	3	2	0	5	0	0
Tadh_TriadG52215	195	18	8	5	23	74	18	263	30	74	6	66	41	220	61	180	9	18	16	4	4	12	3	8	18	5	18	7	11	2	31	3	6
Tadh_TriadG52216	515	46	30	27	40	210	21	642	45	222	7	194	96	482	167	472	18	56	38	7	2	21	17	34	35	15	68	16	45	28	57	27	28
