lipophil	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_2.1	unknown_2.2	fibre	trans_fibre_gland	gland_1	trans_gland_epithelia	epithelia_gland_like	epithelia_unknown_1	epithelia_unknown_2	epithelia_unknown_3	epithelia_ventral	trans_epithelia_dorsal_ventral	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
Tadh_TriadG13916	38	3	3	1	2	24	2	55	3	17	2	14	13	35	14	20	2	5	1	3	0	1	2	4	5	1	7	2	3	1	3	0	6
Tadh_TriadG51156	1494	104	93	55	100	522	77	1956	137	593	45	368	240	1229	441	1254	81	72	70	31	9	62	25	82	99	39	140	36	64	32	149	33	52
Tadh_TriadG51158	385	35	34	25	23	141	34	487	40	130	13	115	65	372	138	376	15	18	13	12	8	15	14	17	25	15	36	8	24	16	37	8	9
Tadh_TriadG33304	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62020	49	4	2	1	3	20	1	58	4	16	1	8	3	44	12	39	3	2	2	0	0	2	1	0	5	2	1	1	1	0	7	1	3
Tadh_orphan_1661	2	1	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
Tadh_TriadG62978	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g12464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62979	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG51237	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tadh_orphan_1665	181	35	17	6	13	95	27	275	35	53	8	68	58	264	78	227	16	18	19	13	0	11	7	18	17	10	29	6	13	13	28	8	9
Tadh_TriadG62031	30	1	1	4	5	15	3	47	5	13	1	11	7	30	5	29	2	1	1	0	0	1	1	1	2	1	4	1	1	0	2	0	0
Tadh_TriadG4346	19	4	1	1	1	7	0	16	0	7	1	6	3	12	5	18	0	0	2	0	0	1	1	3	6	0	0	0	1	0	1	0	1
Tadh_orphan_1666	3	1	0	0	0	1	0	5	0	3	0	1	3	2	0	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
Tadh_TriadG62033	221	28	12	9	16	86	9	231	22	69	8	76	43	196	65	179	14	16	16	8	2	16	8	10	13	8	27	8	11	8	24	8	10
Tadh_TriadG33402	40	11	1	3	4	16	6	42	4	10	1	18	13	34	14	29	2	1	2	2	0	2	1	6	1	2	4	1	1	3	5	0	3
Tadh_TriadG62038	35	0	3	2	2	8	0	35	1	9	0	8	5	22	8	25	0	2	1	3	1	1	2	1	2	2	2	0	3	0	4	0	1
Tadh_TriadG51161	162	11	8	2	10	60	4	191	19	68	2	38	27	150	54	151	7	10	6	3	1	5	2	6	9	4	14	7	5	11	14	6	7
Tadh_orphan_1667	5	0	1	1	1	1	0	7	0	1	0	2	1	8	2	13	0	1	2	2	0	0	0	3	0	0	2	0	0	0	2	0	0
Tadh_TriadG51162	66	11	12	2	7	35	3	84	9	23	2	14	10	74	30	96	5	7	7	0	1	0	6	4	4	1	6	4	13	1	11	1	0
Tadh_TriadG51163	61	5	1	5	2	24	2	69	4	27	5	14	12	49	23	51	1	6	5	3	5	4	7	3	7	0	5	2	2	1	7	1	2
Tadh_TriadG33438	95	9	2	3	5	51	8	118	8	35	3	26	27	84	38	100	6	1	13	1	5	4	1	5	7	2	19	3	4	1	5	1	2
Tadh_orphan_1668	86	11	9	7	6	37	5	139	15	38	3	39	20	107	34	105	11	2	6	5	1	2	1	4	6	5	11	7	9	3	9	2	2
Tadh_TriadG62050	260	15	12	13	22	90	22	360	24	82	11	105	58	275	81	286	10	17	20	4	2	17	9	7	25	11	33	11	15	8	33	4	10
Tadh_TriadG62051	21	2	2	1	1	9	2	37	5	3	1	4	6	18	8	13	0	0	2	0	0	1	1	3	0	0	2	0	0	1	3	0	0
Tadh_TriadG62053	7	0	0	0	0	0	0	13	0	0	1	3	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tadh_wf_g11149	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Tadh_TriadG62055	49	5	0	6	4	22	2	63	3	19	0	20	6	52	18	34	5	4	2	0	0	1	0	4	8	1	4	1	4	2	5	3	2
Tadh_orphan_1669	18	0	0	1	0	8	0	23	1	7	0	1	0	13	5	13	0	1	2	0	0	1	1	1	1	0	5	0	1	2	5	1	1
Tadh_TriadG62057	76	5	3	2	3	26	7	106	12	24	3	30	28	71	31	72	6	4	4	2	1	8	2	6	7	2	10	2	3	0	19	2	3
Tadh_orphan_1670	0	0	0	0	0	3	0	1	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Tadh_TriadG62059	7	4	0	1	1	8	2	17	3	3	0	5	4	16	2	9	2	2	0	0	0	2	0	3	2	0	2	0	0	1	1	1	0
Tadh_TriadG62060	11	2	4	0	1	9	2	23	1	7	0	5	7	18	9	14	4	5	2	2	0	0	2	0	5	0	0	0	0	0	2	2	0
Tadh_TriadG62061	105	12	4	9	14	46	4	174	27	67	3	41	32	126	30	137	9	16	12	7	1	6	4	6	18	2	20	5	6	12	20	2	4
Tadh_TriadG62062	25	3	6	4	2	12	4	27	4	6	5	6	6	12	6	23	4	2	1	0	1	0	1	3	2	1	2	1	1	1	4	2	1
Tadh_TriadG62063	62	8	7	3	1	33	5	114	12	17	3	40	15	90	14	96	5	5	5	1	2	4	1	3	6	2	11	4	8	4	11	2	2
Tadh_TriadG6832	427	42	29	30	45	237	26	529	49	138	5	157	89	520	157	421	28	21	34	16	5	18	10	31	52	14	58	14	25	17	64	22	13
Tadh_orphan_1671	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_1672	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Tadh_TriadG62066	32	5	1	3	4	14	2	48	6	14	1	5	6	39	15	32	0	2	2	1	1	2	4	2	2	2	5	0	2	2	7	1	1
Tadh_TriadG51166	1394	132	93	80	111	530	92	1748	146	615	47	491	325	1414	462	1320	86	111	85	40	10	66	42	93	123	34	195	58	67	45	153	48	68
Tadh_orphan_1673	1	0	0	0	0	3	0	4	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Tadh_orphan_1674	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG33423	144	10	9	7	10	53	8	149	17	57	5	21	26	133	60	97	6	8	6	4	3	5	3	7	18	3	13	5	10	2	13	7	7
Tadh_TriadG62034	15	0	1	0	0	6	0	11	1	1	0	1	1	7	4	11	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
Tadh_TriadG33395	32	4	1	2	3	12	3	48	4	8	0	16	6	42	15	39	1	0	1	2	0	2	0	1	3	3	3	3	2	1	6	0	2
Tadh_TriadG33385	41	2	3	1	6	13	2	35	3	16	0	11	6	38	4	31	3	2	2	0	0	4	4	1	4	0	6	2	2	3	2	3	0
Tadh_TriadG33394	126	7	6	4	11	52	6	161	17	55	0	39	29	129	66	91	8	9	10	4	0	8	2	6	10	3	16	6	6	7	15	2	1
Tadh_TriadG62042	60	11	5	1	5	18	5	59	9	16	2	23	8	66	14	51	2	6	2	2	1	0	2	8	8	2	6	0	3	3	7	5	2
Tadh_orphan_1677	75	10	5	3	10	21	4	103	9	32	4	30	25	90	26	70	4	9	4	1	3	2	3	5	2	2	10	2	3	5	7	1	2
Tadh_TriadG62044	269	33	21	21	19	88	21	307	36	83	6	88	45	232	66	251	12	18	9	4	0	18	7	13	15	9	31	8	10	3	28	7	15
Tadh_orphan_1678	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g11139	58	2	4	1	11	23	0	73	9	24	0	16	13	54	15	50	5	11	5	3	0	3	4	2	6	1	5	3	3	1	4	1	2
Tadh_TriadG33397	115	7	5	2	5	33	13	106	13	36	2	33	11	101	43	119	8	6	11	0	1	10	4	5	12	2	13	7	11	0	12	5	6
Tadh_orphan_1679	7	0	0	0	0	3	0	4	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	2
Tadh_TriadG62049	88	10	7	5	5	27	2	91	5	36	1	30	11	77	17	73	3	2	6	3	0	4	2	1	5	2	8	1	3	0	11	3	6
Tadh_TriadG62052	30	3	0	0	1	13	1	38	2	12	0	12	4	33	6	29	1	4	0	0	0	2	1	1	1	1	3	1	0	2	4	2	1
Tadh_TriadG62054	270	26	16	14	26	104	22	349	46	102	11	88	61	269	92	241	13	17	18	9	3	19	10	22	29	9	31	10	15	8	34	8	11
Tadh_orphan_1680	10	1	0	0	0	1	2	6	0	1	1	1	3	8	4	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tadh_TriadG51164	46	3	5	3	6	19	1	63	6	9	0	12	6	47	19	43	0	2	4	0	0	2	1	3	3	1	3	2	2	1	9	1	5
Tadh_TriadG62058	11	4	0	1	0	9	0	24	0	7	0	16	5	19	5	16	0	0	0	0	0	0	1	1	1	1	7	0	0	0	2	0	0
Tadh_TriadG33396	442	46	27	20	26	189	19	566	53	163	17	145	76	469	145	438	29	38	25	9	5	13	11	36	36	14	42	17	28	14	56	7	22
Tadh_wf_g11159	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62068	27	6	3	2	2	11	4	28	1	12	0	5	3	18	8	26	1	0	3	1	0	1	0	2	3	2	5	1	1	1	1	4	0
Tadh_TriadG62069	26	2	0	2	2	14	4	38	5	4	2	7	6	22	8	20	1	1	1	1	1	0	2	3	0	1	1	0	4	0	6	1	0
Tadh_TriadG62070	43	6	2	5	7	19	6	90	10	28	2	17	13	37	17	71	6	4	5	4	1	4	0	3	8	0	6	2	2	3	5	1	3
Tadh_TriadG62071	24	3	0	1	2	9	3	39	0	7	4	6	9	31	9	34	2	1	1	0	0	2	1	0	3	2	4	1	0	2	5	0	0
Tadh_orphan_1681	13	5	2	2	2	10	2	39	5	8	1	10	4	19	9	24	0	3	1	0	0	1	1	4	0	1	3	0	0	0	4	0	0
Tadh_TriadG62072	36	4	0	5	2	22	8	52	6	9	4	16	6	47	11	38	5	3	0	1	2	8	1	3	4	2	5	0	2	1	6	2	0
Tadh_wf_g12469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g11944	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG34564	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tadh_TriadG62985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g12480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG35067	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62695	202	18	9	29	30	101	15	324	20	87	8	104	65	237	65	228	15	17	33	10	1	18	7	10	19	10	34	14	16	13	41	7	12
Tadh_TriadG62988	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_1684	2	1	0	1	0	3	0	2	2	1	0	0	0	2	4	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0
Tadh_orphan_1685	4	0	0	1	0	2	1	6	0	2	1	0	4	8	1	6	1	0	3	2	0	0	0	0	0	0	3	1	0	0	0	0	0
Tadh_TriadG62077	189	26	10	7	17	66	7	236	17	85	7	66	39	212	54	172	8	8	9	4	2	7	6	13	12	4	25	7	10	6	12	3	7
Tadh_TriadG62078	26	4	1	0	0	12	0	32	2	11	0	7	4	28	11	16	1	2	2	0	0	1	1	2	2	0	4	1	1	0	0	0	0
Tadh_TriadG62079	42	4	2	0	1	24	0	65	5	14	0	13	7	37	14	46	3	3	1	1	1	4	0	6	3	1	4	3	4	0	4	1	3
Tadh_TriadG62081	562	46	36	23	30	183	33	672	67	184	13	172	88	500	188	510	30	20	41	13	4	17	19	33	38	16	56	21	20	8	59	15	20
Tadh_orphan_1686	20	2	1	0	1	9	2	27	3	4	0	7	5	16	6	16	1	2	1	1	0	2	0	1	3	1	2	0	1	0	1	0	0
Tadh_TriadG62084	353	18	25	13	21	150	28	479	64	141	10	132	106	374	116	355	19	19	20	10	4	15	12	30	19	16	47	12	10	21	41	11	10
Tadh_TriadG7208	103	8	4	5	12	58	12	170	19	70	5	22	18	117	51	102	2	10	11	3	1	2	2	13	8	2	12	3	9	4	9	2	7
Tadh_wf_g11185	12	2	0	1	0	1	2	14	0	3	1	2	0	9	2	7	1	1	0	0	0	0	0	1	1	1	1	0	0	0	3	0	0
Tadh_TriadG33578	113	8	6	5	10	52	1	136	13	45	1	25	17	94	20	92	8	6	6	6	0	6	3	8	8	9	8	3	3	1	15	2	1
Tadh_orphan_1687	1	0	0	0	0	0	0	0	0	1	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_1688	3	1	0	0	0	0	0	4	0	0	2	3	0	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tadh_TriadG33541	24	2	1	0	3	20	1	38	4	12	0	3	9	25	18	17	1	6	3	0	2	0	1	4	4	3	4	0	3	0	3	1	1
Tadh_orphan_1689	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tadh_TriadG62098	6	0	0	0	0	2	1	2	1	3	0	0	0	0	0	7	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0
Tadh_TriadG62099	197	13	13	6	14	98	20	267	21	70	4	41	28	181	72	198	10	11	11	4	3	12	8	15	9	7	18	9	6	7	23	3	6
Tadh_TriadG62101	163	11	10	11	12	74	5	259	11	74	7	39	33	180	51	172	8	16	13	10	2	4	9	8	18	6	31	6	10	5	10	6	11
Tadh_TriadG62103	49	5	2	1	4	20	5	74	10	27	1	15	8	58	16	42	5	7	2	2	1	2	1	6	3	0	9	5	7	2	10	1	2
Tadh_TriadG38513	420	50	16	16	44	175	22	539	27	133	9	162	81	368	107	371	23	21	31	8	2	18	13	31	31	26	60	14	22	8	51	12	20
Tadh_TriadG62108	91	8	7	5	10	50	7	113	11	39	3	43	23	100	37	105	4	9	5	1	0	5	3	12	10	3	17	3	7	5	13	3	5
Tadh_wf_g11209	9	0	0	0	1	4	2	18	3	4	0	0	2	16	1	9	1	3	2	0	1	1	1	0	1	1	4	0	0	0	3	0	0
Tadh_TriadG33552	180	12	9	4	12	78	12	247	13	78	6	59	39	195	61	150	11	19	11	5	3	6	2	13	19	5	20	7	10	6	16	3	6
Tadh_orphan_1690	4	0	0	0	0	2	4	2	0	2	1	2	4	6	4	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Tadh_orphan_1691	2	0	0	0	0	0	0	10	1	5	0	2	0	6	1	2	0	1	0	0	0	0	0	1	2	0	1	0	1	1	0	1	0
Tadh_TriadG3330	5	1	1	0	0	3	1	5	0	2	0	1	1	1	0	6	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0
Tadh_TriadG6218	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG8973	66	7	3	1	6	18	7	83	9	12	0	36	18	71	17	60	2	8	3	2	1	5	2	1	8	1	6	0	2	2	7	0	0
Tadh_orphan_1692	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62073	10	2	1	1	2	4	3	15	1	3	1	5	4	12	6	13	4	2	1	0	1	0	0	1	3	0	0	0	0	1	3	0	1
Tadh_orphan_1693	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_1694	4	0	0	0	2	2	0	6	0	0	0	0	3	1	1	4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Tadh_TriadG62074	52	5	4	0	6	19	4	56	4	18	3	15	8	56	19	49	4	4	5	0	1	1	0	2	5	2	4	0	0	1	10	0	3
Tadh_wf_g11171	51	8	1	2	5	26	6	68	7	17	0	19	6	49	23	70	3	6	4	0	1	1	1	4	2	3	6	2	3	1	8	0	1
Tadh_TriadG33521	470	51	28	18	42	221	19	616	60	191	15	139	111	443	154	423	29	42	22	15	2	33	12	36	29	18	53	25	17	17	48	13	23
Tadh_TriadG33563	373	32	20	21	23	138	16	481	40	158	15	72	73	333	114	318	22	22	23	8	5	13	8	14	31	15	40	13	13	8	42	8	9
Tadh_TriadG4322	6	0	0	0	1	0	0	4	1	1	0	0	0	9	0	4	0	0	1	0	2	0	0	1	0	0	0	1	0	2	0	0	0
Tadh_orphan_1696	7	1	0	0	0	1	2	3	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_wf_g11180	3	1	1	1	0	0	0	7	0	0	0	1	0	4	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Tadh_TriadG62085	637	58	36	27	43	260	39	770	73	270	21	187	121	592	181	543	36	43	43	16	3	22	18	31	46	21	70	19	44	15	47	23	38
Tadh_TriadG33494	83	7	7	5	5	45	8	137	23	45	6	34	30	100	27	113	7	8	6	1	0	3	2	7	14	6	14	3	3	7	7	5	12
Tadh_orphan_1697	20	3	1	1	0	3	2	17	3	3	1	2	2	23	6	19	0	2	0	2	0	0	2	3	1	0	1	1	2	0	2	0	0
Tadh_TriadG62089	1	0	0	0	0	0	0	2	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Tadh_orphan_1698	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Tadh_TriadG62091	27	1	3	1	1	11	1	27	0	2	0	7	3	9	8	17	0	1	0	0	2	0	0	1	6	1	1	2	1	0	0	0	0
Tadh_orphan_1699	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g11192	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_wf_g11193	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_wf_g11194	20	5	1	0	6	11	0	50	3	12	2	13	7	34	7	26	0	5	0	0	0	1	3	2	4	3	7	1	2	1	3	1	4
Tadh_TriadG62094	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62096	104	12	9	8	10	53	9	183	14	54	5	48	35	121	40	111	12	21	6	1	0	8	1	7	6	5	18	6	5	4	26	4	3
Tadh_hyp_clust3893	6	1	0	0	2	5	1	5	1	0	0	0	2	12	2	7	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1
Tadh_orphan_1700	14	1	0	2	4	7	4	21	1	10	0	8	5	17	7	21	0	1	2	0	1	1	0	1	0	1	3	0	2	2	6	1	1
Tadh_TriadG33540	48	6	2	1	4	33	1	72	7	17	0	18	11	57	15	63	1	7	4	3	1	5	2	3	9	3	5	2	1	0	7	2	2
Tadh_TriadG33463	48	2	2	4	2	19	4	61	2	14	3	12	6	49	10	66	4	5	2	0	3	1	0	2	5	2	8	2	3	2	9	1	5
Tadh_TriadG33519	42	8	1	3	3	11	7	60	4	13	2	9	6	30	16	27	0	1	0	0	0	1	0	2	2	4	7	2	3	1	4	2	2
Tadh_TriadG62104	186	16	14	14	25	94	14	311	23	110	3	74	59	195	65	243	17	15	9	9	1	3	5	14	18	9	28	9	10	10	34	6	9
Tadh_TriadG62105	29	6	1	0	0	9	0	26	1	1	0	13	4	15	5	29	1	3	3	1	0	1	0	3	0	7	1	0	3	1	2	0	1
Tadh_TriadG33482	513	62	35	16	46	207	36	670	57	198	13	134	82	480	179	493	28	27	31	10	3	24	19	29	39	16	68	21	30	20	31	10	13
Tadh_wf_g11211	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG64402	31	7	1	1	2	24	3	53	14	20	0	26	13	32	15	30	1	7	5	0	0	1	2	6	0	0	1	0	0	0	8	3	2
Tadh_orphan_1702	3	0	0	0	0	0	0	4	0	0	0	0	1	2	3	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Tadh_TriadG62697	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62696	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tadh_wf_g11950	0	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tadh_wf_g12484	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Tadh_TriadG62992	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62991	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Tadh_TriadG62993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tadh_orphan_1710	2	0	0	0	1	0	0	1	0	0	0	1	0	2	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tadh_wf_g11954	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tadh_TriadG62116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG33631	1115	94	66	64	74	428	77	1463	140	441	34	288	186	1021	328	1081	62	61	52	24	11	43	29	64	71	42	147	41	70	35	115	16	42
Tadh_wf_g11223	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_1711	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG33605	5	3	0	0	1	1	1	16	0	4	0	4	0	10	2	6	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	1
Tadh_TriadG62122	12	1	1	0	5	5	2	22	3	13	0	3	7	22	3	23	4	0	2	0	1	1	0	2	2	0	4	1	0	0	1	0	1
Tadh_TriadG1179	16	0	1	0	1	8	1	12	1	4	0	0	1	9	1	11	1	1	0	0	0	1	2	1	0	0	3	0	0	0	3	0	0
Tadh_TriadG974	19	1	1	0	3	8	6	36	1	6	0	10	4	25	6	12	0	2	1	0	1	0	0	2	1	1	1	0	1	0	1	0	1
Tadh_orphan_1712	148	10	9	9	17	61	14	230	22	67	3	66	27	145	43	166	5	7	15	6	0	3	3	16	12	6	18	7	9	3	20	5	4
Tadh_orphan_1713	3	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Tadh_orphan_1714	16	1	0	1	0	5	1	19	1	4	1	7	2	17	8	22	0	0	2	0	0	1	1	0	0	1	2	1	1	1	0	0	0
Tadh_TriadG17765	158	11	10	5	4	53	6	180	13	51	3	35	23	122	45	129	9	10	6	3	1	8	3	9	14	7	16	7	5	3	9	2	8
Tadh_orphan_1715	5	0	0	0	0	1	0	6	0	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG33661	81	9	4	5	3	28	7	100	8	23	6	35	17	78	22	87	2	4	6	1	2	3	1	2	7	3	4	7	0	2	4	1	4
Tadh_TriadG62132	170	9	7	3	18	55	10	216	19	66	5	48	32	124	54	138	3	13	7	2	3	9	3	18	9	4	13	3	6	6	20	6	9
Tadh_orphan_1716	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG6910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Tadh_TriadG62137	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG62139	99	10	0	5	4	33	11	110	11	34	0	26	16	89	27	80	4	5	6	0	3	1	2	4	7	7	9	1	3	0	6	2	4
Tadh_TriadG62141	51	1	4	1	6	16	0	62	7	17	4	11	7	26	17	52	1	3	1	2	1	2	1	2	4	1	5	3	5	1	2	0	2
Tadh_TriadG62145	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Tadh_TriadG62146	8	3	1	0	0	5	0	13	2	3	0	3	2	16	5	8	1	2	0	1	0	0	2	1	1	0	1	1	1	0	2	1	1
Tadh_TriadG62147	0	0	0	0	0	1	0	0	1	0	0	4	1	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Tadh_TriadG62148	9	2	0	0	0	6	1	16	1	4	0	3	1	8	2	18	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Tadh_TriadG62149	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Tadh_orphan_1717	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
