lipophil	trans	unknown_1	fibre	gland	epithelia_gland_like	epithelia	peptidergic
Hhon_g00267.t1	77	67	18	90	128	54	309	143
Hhon_g00270.t1	46	32	4	42	76	40	179	64
Hhon_orphan_29	2	1	0	1	7	2	9	3
Hhon_orphan_30	6	1	0	2	2	1	4	2
Hhon_g00273.t1	117	78	26	108	228	107	424	194
Hhon_g00274.t1	2	8	7	22	24	11	61	19
Hhon_g00275.t1	66	46	11	59	144	50	249	121
Hhon_g00279.t1	1	0	0	1	2	1	4	2
Hhon_g00280.t1	181	114	27	155	293	166	589	313
Hhon_g00281.t1	116	98	34	123	240	105	479	238
Hhon_g00283.t1	129	70	22	112	206	87	455	218
Hhon_g00284.t1	26	22	3	15	48	27	112	45
Hhon_g00001.t1	4	1	0	2	4	6	21	6
Hhon_g00002.t1	66	35	8	68	117	78	191	107
Hhon_g00003.t1	153	71	24	127	211	95	462	232
Hhon_g00004.t1	212	116	28	176	267	163	485	246
Hhon_g00005.t1	166	99	31	166	250	150	548	264
Hhon_g00006.t1	202	261	81	292	375	322	911	413
Hhon_g00007.t1	218	180	50	223	406	224	843	413
Hhon_g00008.t1	353	276	88	328	737	293	1622	717
Hhon_g00009.t1	52	44	13	55	117	48	257	111
Hhon_g00011.t1	1033	624	195	1002	1750	811	3621	1668
Hhon_g00013.t1	88	49	12	76	131	69	288	125
Hhon_g00014.t1	9	4	2	10	12	7	27	13
Hhon_g00015.t1	51	24	9	30	86	50	171	59
Hhon_g00016.t1	251	146	51	222	473	177	950	492
Hhon_g00023.t1	4	5	1	5	11	6	39	10
Hhon_g00024.t1	31	15	6	31	49	27	109	46
Hhon_g00025.t1	75	30	9	54	79	35	157	97
Hhon_orphan_32	6	2	1	3	7	0	11	6
Hhon_g00027.t1	142	101	29	163	281	117	671	264
Hhon_g00030.t1	76	35	9	61	108	57	264	114
Hhon_g00032.t1	23	12	2	11	36	25	60	35
Hhon_g00033.t1	272	157	68	280	519	206	939	460
Hhon_g00035.t1	242	142	67	248	465	211	883	428
Hhon_g00041.t1	427	258	91	395	747	397	1506	728
Hhon_g00044.t1	82	43	17	73	133	52	311	157
Hhon_g00045.t1	4	7	0	8	12	4	21	16
Hhon_g00046.t1	38	12	9	33	76	26	123	66
Hhon_g00048.t1	157	96	31	147	243	127	445	234
Hhon_g00049.t1	1	3	1	5	7	5	18	10
Hhon_g00050.t1	985	618	228	1039	1777	965	3363	1641
Hhon_g00052.t1	155	105	35	168	298	100	573	251
Hhon_g00054.t1	688	436	119	679	1260	564	2403	1070
Hhon_g00055.t1	24	16	4	39	62	25	197	67
Hhon_g00057.t1	20	11	0	20	21	10	59	28
Hhon_orphan_33	1	4	0	2	4	1	4	1
