#OG_name	HoiH23.fasta	TrH2.fasta	Hhon.fasta	Tadh.fasta
OG_118	HoiH23_PlH23_003713-RA	TrH2_TrispH2_005671-RA	Hhon_g00372.t1	Tadh_TriadT53916
OG_119	HoiH23_PlH23_003712-RA	TrH2_TrispH2_005670-RA	Hhon_g00373.t1	Tadh_TriadT37272
OG_120	HoiH23_PlH23_001765-RA	TrH2_TrispH2_002797-RA	Hhon_g00389.t1	Tadh_TriadT63696
OG_121	HoiH23_PlH23_001768-RA	TrH2_TrispH2_002796-RA	Hhon_g00391.t1	Tadh_TriadT63695
OG_122	HoiH23_PlH23_001769-RA	TrH2_TrispH2_002795-RA	Hhon_g00392.t1	Tadh_TriadT7491
OG_123	HoiH23_PlH23_001772-RA	TrH2_TrispH2_002791-RA	Hhon_g00397.t1	Tadh_TriadT53891
OG_124	HoiH23_PlH23_001774-RA	TrH2_TrispH2_002789-RA	Hhon_g00399.t1	Tadh_TriadT21703
OG_125	HoiH23_PlH23_001776-RA	TrH2_TrispH2_002787-RA	Hhon_g00401.t1	
OG_126	HoiH23_PlH23_001778-RA	TrH2_TrispH2_002785-RA	Hhon_g00403.t1	Tadh_TriadT37267
OG_127	HoiH23_PlH23_001783-RA	TrH2_TrispH2_002780-RA	Hhon_g00408.t1	Tadh_TriadT53881
OG_128	HoiH23_PlH23_001787-RA	TrH2_TrispH2_002775-RA	Hhon_g00411.t1	Tadh_TriadT20725
OG_129	HoiH23_PlH23_001788-RA	TrH2_TrispH2_002774-RA	Hhon_g00412.t1	Tadh_TriadT20747
OG_130	HoiH23_PlH23_001789-RA	TrH2_TrispH2_002773-RA	Hhon_g00413.t1	Tadh_TriadT20923
OG_131	HoiH23_PlH23_001791-RA	TrH2_TrispH2_002771-RA	Hhon_g00415.t1	Tadh_TriadT53874
OG_132	HoiH23_PlH23_001796-RA	TrH2_TrispH2_002766-RA	Hhon_g00420.t1	Tadh_TriadT21810
OG_133	HoiH23_PlH23_001797-RA	TrH2_TrispH2_002765-RA	Hhon_g00421.t1	Tadh_TriadT53868
OG_134	HoiH23_PlH23_001798-RA	TrH2_TrispH2_002764-RA	Hhon_g00422.t1	Tadh_TriadT63691
OG_135	HoiH23_PlH23_001799-RA	TrH2_TrispH2_002763-RA	Hhon_g00423.t1	Tadh_TriadT53866
OG_136	HoiH23_PlH23_001801-RA	TrH2_TrispH2_002761-RA	Hhon_g00425.t1	Tadh_TriadT53863
OG_137	HoiH23_PlH23_001805-RA	TrH2_TrispH2_002757-RA	Hhon_g00429.t1	Tadh_TriadT53859
OG_138	HoiH23_PlH23_009556-RA	TrH2_TrispH2_002747-RA	Hhon_g00448.t1	Tadh_wf_g2614.t1
