#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_434	4	4	4	1.0
OG_435	4	4	4	1.0
OG_436	4	4	4	1.0
OG_437	4	4	4	1.0
OG_438	4	4	4	1.0
OG_439	4	4	4	1.0
OG_440	4	4	4	1.0
OG_441	4	4	4	1.0
OG_442	4	4	4	1.0
OG_443	2	2	2	1.0
OG_444	4	4	4	1.0
OG_445	4	4	4	1.0
OG_446	4	4	4	1.0
OG_447	4	4	4	1.0
OG_448	4	4	4	1.0
OG_449	4	4	4	1.0
OG_450	4	4	4	1.0
OG_451	4	4	4	1.0
OG_452	4	4	4	1.0
OG_453	4	4	4	1.0
OG_454	4	4	4	1.0
OG_455	4	4	4	1.0
OG_456	4	4	4	1.0
OG_457	4	5	5	1.0
OG_458	4	4	4	1.0
OG_459	4	4	4	1.0
OG_460	4	4	4	1.0
OG_461	4	4	4	1.0
OG_462	4	4	4	1.0
OG_463	4	4	4	1.0
OG_464	4	4	4	1.0
OG_465	4	4	4	1.0
OG_466	4	4	4	1.0
OG_467	2	2	2	1.0
OG_468	4	4	4	1.0
OG_469	4	4	4	1.0
OG_470	4	4	4	1.0
OG_471	4	4	4	1.0
OG_472	4	4	4	1.0
OG_473	4	4	4	1.0
OG_474	4	4	4	1.0
OG_475	4	4	4	1.0
OG_476	4	4	4	1.0
OG_477	4	4	4	1.0
OG_478	4	4	4	1.0
OG_479	4	4	4	1.0
OG_480	4	4	4	1.0
OG_481	4	4	4	1.0
OG_482	3	3	3	0.6667
OG_483	4	4	4	1.0
OG_484	4	4	4	1.0
OG_485	4	4	4	1.0
OG_486	4	4	4	1.0
OG_487	4	4	4	1.0
OG_488	4	4	4	1.0
OG_489	4	4	4	1.0
OG_490	4	4	4	1.0
OG_491	4	4	4	1.0
OG_492	4	4	4	1.0
OG_493	4	4	4	1.0
OG_494	4	4	4	1.0
OG_495	4	4	4	1.0
OG_496	4	4	4	1.0
OG_497	4	4	4	1.0
OG_498	4	4	4	1.0
OG_499	4	4	4	1.0
OG_500	4	4	4	1.0
OG_501	4	4	4	1.0
OG_502	4	4	4	1.0
OG_503	4	4	4	1.0
OG_504	4	4	4	1.0
OG_505	4	4	4	1.0
OG_506	4	4	4	1.0
OG_507	4	4	4	1.0
OG_508	4	4	4	1.0
OG_509	4	4	4	1.0
OG_510	4	4	4	1.0
OG_511	4	4	4	1.0
OG_512	3	3	3	1.0
OG_513	4	4	4	1.0
OG_514	4	4	4	1.0
OG_515	4	4	4	1.0
OG_516	4	4	4	1.0
OG_517	4	4	4	1.0
OG_518	4	4	4	1.0
OG_519	4	4	4	1.0
OG_520	4	4	4	1.0
OG_521	4	4	4	1.0
OG_522	4	4	4	1.0
OG_523	4	4	4	1.0
OG_524	4	4	4	1.0
OG_525	4	4	4	1.0
OG_526	4	4	4	1.0
OG_527	4	4	4	1.0
OG_528	4	4	4	1.0
OG_529	4	4	4	1.0
OG_530	4	4	4	1.0
OG_531	4	4	4	1.0
OG_532	4	4	4	1.0
OG_533	4	4	4	1.0
OG_534	4	4	4	1.0
OG_535	4	4	4	1.0
OG_536	4	4	4	1.0
OG_537	4	4	4	1.0
OG_538	4	4	4	1.0
