metacell	num_cells	tot_umis	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
116	66	28824	436.727272727273	315.5	373.5	507.75	0.78948711506172	0.169555603511329	0.312366504522061	0.456131034331703	1.08443888951847
117	38	20293	534.026315789474	362.5	532.5	675	0.856941896784794	0.242187538099785	0.394153457325773	0.58279570386149	1.2741580539396
118	84	20995	249.940476190476	141.75	195.5	338.5	0.59438269966378	0.255020399605234	0.413068247575054	0.594334701174304	1.19365231188635
119	98	109217	1114.45918367347	591.75	937.5	1449.5	0.370907108424898	0.0890779030385565	0.132936957782083	0.253904278169699	0.763464604338455
120	86	48046	558.674418604651	379.25	543.5	696.25	0.486824330700309	0.129402195356457	0.195159038186645	0.376438276317523	0.996894158280844
121	76	91373	1202.27631578947	687.75	922	1454.25	0.414563026312896	0.105954343657262	0.164662438055318	0.299501649307938	0.84338896273301
122	113	499868	4423.61061946903	2430	3773	5708	0.313222122257095	0.0397055646587928	0.0821720627804194	0.167112510621893	0.546627894821758
123	45	122462	2721.37777777778	1305	1982	3291	0.333316347205865	0.0800288363689961	0.148809869442662	0.273360072234756	0.764963910106833
124	53	67147	1266.92452830189	601	1050	1506	0.486195322417917	0.142123484428034	0.193158552604544	0.346421526240076	0.872213090176079
125	43	50245	1168.48837209302	655	1083	1584	0.542869097762212	0.134645442055885	0.18785811476474	0.379629050256634	0.925147583520721
126	66	76022	1151.84848484848	644.5	998	1595.25	0.459117842285653	0.121495305678597	0.173700599594053	0.331679190096912	0.838761269763176
127	89	201733	2266.66292134831	1355	2005	2778	0.342561843266955	0.048924971120616	0.0966089928720628	0.188529711007431	0.649905797107456
128	27	23500	870.37037037037	615	772	1045.5	0.687022874277076	0.229974324590092	0.377151442695076	0.587617597711778	1.19803149734282
129	88	96104	1092.09090909091	697.25	949	1336.5	0.482039489460501	0.1008558976769	0.16820076782358	0.291801179672704	0.818798553389116
130	68	53774	790.794117647059	453.5	764.5	1015.25	0.601824071475615	0.127695809221949	0.188445889746886	0.354554054168652	0.909609233262334
131	60	154798	2579.96666666667	1545.75	2220.5	3303.5	0.47477758046273	0.0635542601864518	0.125118953361628	0.241973169460238	0.71098299229009
132	66	91642	1388.51515151515	921.5	1176.5	1701.5	0.348288151177305	0.105724976361512	0.175037157621595	0.312618751422652	0.77344758804646
133	58	93035	1604.05172413793	1172.75	1425.5	1929	0.345192555053535	0.10427074495117	0.196902469074545	0.343711895012057	0.827758045165052
134	113	208750	1847.34513274336	1114	1682	2117	0.288246271319871	0.069784594877576	0.139248315984252	0.270669937394466	0.65208349531194
135	67	63554	948.567164179104	620.5	799	1215	0.640555483491273	0.107878480950869	0.156107815931111	0.413944159914539	1.24990346267569
136	51	51298	1005.8431372549	586.5	807	1250.5	0.576127813413249	0.126986293753037	0.204091202888104	0.499519423691236	1.48056127378032
137	67	106432	1588.53731343284	1027.5	1319	1926	0.362572045163843	0.0914816702358648	0.169919296533305	0.307844916327005	0.768193081361011
138	81	121059	1494.55555555556	805	1268	2131	0.4781124809546	0.0806612884206197	0.109899019153756	0.224101068924709	0.594601201216512
139	72	70575	980.208333333333	711.75	995	1220.5	0.407265029921626	0.118409656694664	0.1763411345936	0.330466027482436	0.760688459883135
140	71	96804	1363.43661971831	806.5	1212	1720.5	0.424816663602738	0.100242745905482	0.137016091023718	0.2674684716597	0.667643108223379
141	55	48543	882.6	481.5	833	1105.5	0.447230581103446	0.131359885023221	0.19370098979566	0.366487513274503	0.859968223647827
142	108	67862	628.351851851852	360.25	552.5	782.5	0.664250961561689	0.114708453488898	0.176861614156485	0.374698630203835	1.11380579973678
143	87	33249	382.172413793103	237	341	477.5	0.766173570801023	0.168913208042247	0.274177277802353	0.512695968363743	1.3260393156494
144	140	84564	604.028571428571	258.75	464.5	886.75	0.43109665387345	0.105156283589521	0.124283971851194	0.265052154376989	0.73611688652341
145	108	83933	777.157407407407	459.75	730	973.5	0.508188179333697	0.0972409903045919	0.134243852764822	0.271633327411921	0.743811074180723
146	42	68955	1641.78571428571	916.75	1417.5	2289.75	0.486895411160432	0.123747695476551	0.172862238418374	0.339669915320786	0.920698576463745
147	91	53584	588.835164835165	262	513	766	0.582660057515593	0.114025704055292	0.17613256419405	0.334219181002273	0.853195028350326
148	68	42264	621.529411764706	354.75	518.5	812.5	0.59343797003626	0.134938929964219	0.220135372632025	0.412916611896478	0.95684697133059
149	68	47096	692.588235294118	484.75	606	778.5	0.644237795263534	0.11518232922178	0.199034891462947	0.375596618585904	0.983468776827378
150	59	23098	391.491525423729	290	389	472	0.805548054115271	0.214960239059348	0.380573630427562	0.543236452091652	1.15640313658657
151	91	69012	758.373626373626	599	711	917.5	0.603814922740491	0.105735148187828	0.159799887325664	0.335943964386738	0.837413832836595
152	68	35637	524.073529411765	357.25	454.5	618.5	0.741655039187883	0.145495656544316	0.257610272197581	0.476506535724841	1.11529663177625
153	61	14912	244.459016393443	165	237	290	0.889365534974332	0.36047591047188	0.553336953469598	0.783315892498117	1.5037098053527
