to	from	weight
TrH2.lightgreen	HoiH23.darkmagenta	0.260869565217391
TrH2.lightgreen	HoiH23.darkorange2	0.145161290322581
TrH2.lightgreen	HoiH23.salmon4	0.112903225806452
TrH2.lightpink4	HoiH23.mediumpurple3	0.121951219512195
TrH2.lightsteelblue1	HoiH23.darkgreen	0.329787234042553
TrH2.magenta	HoiH23.purple	0.272727272727273
TrH2.maroon	HoiH23.palevioletred3	0.142857142857143
TrH2.mediumpurple3	HoiH23.lightcyan1	0.103448275862069
TrH2.midnightblue	HoiH23.darkorange	0.184615384615385
TrH2.midnightblue	HoiH23.midnightblue	0.197368421052632
TrH2.navajowhite2	HoiH23.lightcyan1	0.3
TrH2.orange	HoiH23.turquoise	0.142857142857143
TrH2.orangered4	HoiH23.ivory	0.166666666666667
TrH2.orangered4	HoiH23.saddlebrown	0.157894736842105
TrH2.pink	HoiH23.lightsteelblue1	0.209302325581395
TrH2.pink	HoiH23.steelblue	0.23
TrH2.plum2	HoiH23.turquoise	0.121555915721232
TrH2.purple	HoiH23.lightcyan	0.116504854368932
TrH2.red	HoiH23.red	0.4
TrH2.royalblue	HoiH23.darkred	0.189873417721519
TrH2.saddlebrown	HoiH23.salmon4	0.128205128205128
TrH2.saddlebrown	HoiH23.yellowgreen	0.309090909090909
TrH2.salmon	HoiH23.lightcyan	0.23
TrH2.salmon4	HoiH23.white	0.125
TrH2.skyblue	HoiH23.paleturquoise	0.2
TrH2.skyblue3	HoiH23.lightgreen	0.292817679558011
TrH2.tan	HoiH23.darkslateblue	0.263888888888889
TrH2.tan	HoiH23.yellow	0.106666666666667
TrH2.turquoise	HoiH23.turquoise	0.444940476190476
TrH2.violet	HoiH23.palevioletred3	0.179487179487179
TrH2.white	HoiH23.plum1	0.256410256410256
TrH2.yellow	HoiH23.brown	0.814553990610329
TrH2.yellowgreen	HoiH23.orangered4	0.245614035087719
Hhon.bisque4	HoiH23.plum2	0.122448979591837
Hhon.black	HoiH23.lightgreen	0.209090909090909
Hhon.blue	HoiH23.blue	0.647519582245431
Hhon.brown	HoiH23.brown	0.89051094890511
Hhon.brown4	HoiH23.salmon4	0.19047619047619
Hhon.brown4	HoiH23.yellowgreen	0.164179104477612
Hhon.cyan	HoiH23.darkgreen	0.221428571428571
Hhon.cyan	HoiH23.darkslateblue	0.340136054421769
Hhon.darkgreen	HoiH23.steelblue	0.327272727272727
Hhon.darkgrey	HoiH23.skyblue	0.215686274509804
Hhon.darkmagenta	HoiH23.white	0.166666666666667
Hhon.darkolivegreen	HoiH23.navajowhite2	0.2
Hhon.darkorange	HoiH23.orange	0.254901960784314
Hhon.darkorange2	HoiH23.lightsteelblue1	0.439024390243902
Hhon.darkorange2	HoiH23.steelblue	0.101694915254237
Hhon.darkred	HoiH23.purple	0.208333333333333
Hhon.darkslateblue	HoiH23.orangered4	0.208333333333333
Hhon.darkslateblue	HoiH23.plum2	0.111111111111111
Hhon.darkturquoise	HoiH23.pink	0.330935251798561
Hhon.floralwhite	HoiH23.skyblue	0.111111111111111
Hhon.green	HoiH23.black	0.82962962962963
Hhon.greenyellow	HoiH23.salmon	0.330827067669173
Hhon.greenyellow	HoiH23.sienna3	0.204225352112676
Hhon.grey	HoiH23.grey	0.125
Hhon.grey60	HoiH23.brown4	0.108571428571429
Hhon.grey60	HoiH23.royalblue	0.324324324324324
Hhon.honeydew1	HoiH23.pink	0.310077519379845
Hhon.ivory	HoiH23.thistle2	0.25
Hhon.lavenderblush3	HoiH23.floralwhite	0.357142857142857
Hhon.lavenderblush3	HoiH23.thistle2	0.111111111111111
Hhon.lightcyan	HoiH23.midnightblue	0.333333333333333
Hhon.lightcyan1	HoiH23.ivory	0.217391304347826
Hhon.lightcyan1	HoiH23.saddlebrown	0.166666666666667
Hhon.lightgreen	HoiH23.darkgrey	0.116666666666667
Hhon.lightyellow	HoiH23.lightyellow	0.528301886792453
Hhon.magenta	HoiH23.red	0.351851851851852
Hhon.midnightblue	HoiH23.greenyellow	0.222222222222222
Hhon.navajowhite2	HoiH23.bisque4	0.2734375
Hhon.orange	HoiH23.darkmagenta	0.278688524590164
Hhon.orange	HoiH23.darkorange2	0.105263157894737
Hhon.paleturquoise	HoiH23.plum1	0.5
Hhon.palevioletred3	HoiH23.darkorange2	0.121951219512195
Hhon.palevioletred3	HoiH23.salmon4	0.225
Hhon.pink	HoiH23.lightcyan	0.60958904109589
Hhon.plum1	HoiH23.yellowgreen	0.258620689655172
Hhon.plum2	HoiH23.lightcyan1	0.444444444444444
Hhon.purple	HoiH23.darkred	0.16
Hhon.red	HoiH23.yellow	0.107142857142857
Hhon.saddlebrown	HoiH23.darkorange	0.239130434782609
Hhon.salmon	HoiH23.yellow	0.107142857142857
Hhon.salmon4	HoiH23.lightcyan1	0.136363636363636
Hhon.sienna3	HoiH23.royalblue	0.129213483146067
Hhon.skyblue	HoiH23.sienna3	0.146341463414634
Hhon.skyblue3	HoiH23.palevioletred3	0.285714285714286
Hhon.steelblue	HoiH23.mediumpurple3	0.295454545454545
Hhon.tan	HoiH23.darkturquoise	0.246376811594203
Hhon.thistle1	HoiH23.orangered4	0.138888888888889
Hhon.turquoise	HoiH23.turquoise	0.72005772005772
Hhon.violet	HoiH23.darkgrey	0.19047619047619
Hhon.white	HoiH23.paleturquoise	0.285714285714286
Hhon.yellowgreen	HoiH23.ivory	0.133333333333333
Hhon.yellowgreen	HoiH23.saddlebrown	0.366666666666667
