orthogroup	module_Tadh	ct_Tadh	module_TrH2	ct_TrH2	module_Hhon	ct_Hhon	module_HoiH23	ct_HoiH23
OG_1317	Tadh.brown	lipophil	TrH2.turquoise	lipophil	Hhon.turquoise	lipophil	HoiH23.turquoise	lipophil
OG_1358	Tadh.steelblue	peptidergic	TrH2.darkolivegreen	peptidergic	Hhon.grey60	peptidergic	HoiH23.royalblue	peptidergic
OG_1359	Tadh.cyan	peptidergic	TrH2.darkolivegreen	peptidergic	Hhon.grey60	peptidergic	HoiH23.brown4	peptidergic
OG_1360	Tadh.cyan	peptidergic	TrH2.darkolivegreen	peptidergic	Hhon.grey	peptidergic	HoiH23.brown4	peptidergic
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
