module	community	bct	cts	species
HoiH23.skyblue	gc017	peptidergic	peptidergic_zeta_like	HoiH23
Tadh.navajowhite2	gc018	peptidergic	peptidergic_theta	Tadh
TrH2.lightpink4	gc018	peptidergic	peptidergic_theta	TrH2
Hhon.steelblue	gc018	peptidergic	peptidergic_theta_like	Hhon
HoiH23.mediumpurple3	gc018	peptidergic	peptidergic_zeta_like	HoiH23
Tadh.orange	gc019	peptidergic	peptidergic_eta	Tadh
Tadh.royalblue	gc019	peptidergic	peptidergic_eta	Tadh
TrH2.darkorange2	gc019	peptidergic	peptidergic_eta	TrH2
TrH2.salmon4	gc019	peptidergic	peptidergic_eta	TrH2
TrH2.yellowgreen	gc019	peptidergic	peptidergic_eta	TrH2
Hhon.bisque4	gc019	peptidergic	peptidergic_eta	Hhon
Hhon.darkmagenta	gc019	peptidergic	peptidergic_eta	Hhon
Hhon.darkslateblue	gc019	peptidergic	peptidergic_eta	Hhon
Hhon.thistle1	gc019	peptidergic	peptidergic_eta	Hhon
HoiH23.orangered4	gc019	peptidergic	peptidergic_eta	HoiH23
HoiH23.thistle1	gc019	peptidergic	NA	HoiH23
HoiH23.white	gc019	peptidergic	peptidergic_eta	HoiH23
Tadh.paleturquoise	gc020	peptidergic	peptidergic_gamma	Tadh
TrH2.darkmagenta	gc020	peptidergic	peptidergic_gamma	TrH2
Hhon.darkorange	gc020	peptidergic	peptidergic_gamma	Hhon
HoiH23.orange	gc020	peptidergic	peptidergic_gamma	HoiH23
Tadh.pink	gc021	peptidergic	peptidergic_zeta	Tadh
TrH2.white	gc021	peptidergic	peptidergic_zeta	TrH2
Hhon.paleturquoise	gc021	peptidergic	peptidergic_zeta	Hhon
HoiH23.plum1	gc021	peptidergic	peptidergic_zeta	HoiH23
Tadh.plum1	gc022	peptidergic	peptidergic_delta	Tadh
TrH2.skyblue	gc022	peptidergic	peptidergic_delta	TrH2
Hhon.floralwhite	gc022	peptidergic	peptidergic_delta	Hhon
Hhon.white	gc022	peptidergic	peptidergic_delta	Hhon
HoiH23.paleturquoise	gc022	peptidergic	peptidergic_zeta_like	HoiH23
Tadh.purple	gc023	peptidergic	peptidergic_epsilon	Tadh
TrH2.lightcyan	gc023	peptidergic	peptidergic_epsilon	TrH2
Hhon.lightgreen	gc023	peptidergic	peptidergic_epsilon_like	Hhon
Hhon.violet	gc023	peptidergic	peptidergic_epsilon	Hhon
HoiH23.darkgrey	gc023	peptidergic	peptidergic_epsilon	HoiH23
Tadh.red	gc024	epithelia_gland_like	epithelia_gland_like	Tadh
Hhon.green	gc024	epithelia_gland_like	NA	Hhon
HoiH23.black	gc024	epithelia_gland_like	epithelia_gland_like	HoiH23
Tadh.darkturquoise	gc025	epithelia_gland_like	epithelia_gland_like	Tadh
Tadh.sienna3	gc025	gland	gland_1	Tadh
TrH2.darkslateblue	gc025	gland	gland_1	TrH2
Hhon.greenyellow	gc025	gland	gland_1	Hhon
Hhon.skyblue	gc025	epithelia_gland_like	epithelia_gland_like	Hhon
HoiH23.salmon	gc025	gland	gland_1	HoiH23
HoiH23.sienna3	gc025	gland	gland_1	HoiH23
Tadh.tan	gc026	peptidergic	peptidergic_kappa	Tadh
TrH2.grey60	gc026	peptidergic	peptidergic_kappa	TrH2
Hhon.midnightblue	gc026	peptidergic	peptidergic_kappa	Hhon
HoiH23.greenyellow	gc026	peptidergic	peptidergic_kappa	HoiH23
Tadh.turquoise	gc027	fibre	fibre	Tadh
TrH2.blue	gc027	fibre	NA	TrH2
Hhon.blue	gc027	fibre	fibre	Hhon
HoiH23.blue	gc027	fibre	NA	HoiH23
Tadh.yellow	gc028	epithelia	epithelia_dorsal	Tadh
TrH2.brown	gc028	epithelia	epithelia_dorsal	TrH2
Hhon.red	gc028	epithelia	epithelia_dorsal	Hhon
HoiH23.yellow	gc028	epithelia	epithelia_dorsal	HoiH23
Tadh.yellowgreen	gc029	peptidergic	peptidergic_theta	Tadh
TrH2.royalblue	gc029	peptidergic	peptidergic_theta	TrH2
Hhon.purple	gc029	peptidergic	peptidergic_theta	Hhon
