module	community	label	color	classification
Tadh.mediumpurple3	gc012	peptidergic_iota	deepskyblue1	peptidergic
TrH2.red	gc012	peptidergic_iota	deepskyblue1	peptidergic
Hhon.magenta	gc012	peptidergic_iota	deepskyblue1	peptidergic
HoiH23.red	gc012	peptidergic_iota	deepskyblue1	peptidergic
Tadh.magenta	gc013	peptidergic_mu	cyan3	peptidergic
Tadh.plum2	gc013	peptidergic_mu	cyan3	peptidergic
Tadh.violet	gc013	peptidergic_mu	cyan3	peptidergic
TrH2.lightgreen	gc013	peptidergic_mu	cyan3	peptidergic
TrH2.saddlebrown	gc013	peptidergic_mu	cyan3	peptidergic
Hhon.brown4	gc013	peptidergic_mu	cyan3	peptidergic
Hhon.orange	gc013	peptidergic_mu	cyan3	peptidergic
Hhon.palevioletred3	gc013	peptidergic_mu	cyan3	peptidergic
Hhon.plum1	gc013	peptidergic_mu	cyan3	peptidergic
HoiH23.darkmagenta	gc013	peptidergic_mu	cyan3	peptidergic
HoiH23.darkorange2	gc013	peptidergic_mu	cyan3	peptidergic
HoiH23.salmon4	gc013	peptidergic_mu	cyan3	peptidergic
HoiH23.yellowgreen	gc013	peptidergic_mu	cyan3	peptidergic
Tadh.midnightblue	gc014	peptidergic_omicron	lightskyblue	peptidergic
TrH2.cyan	gc014	peptidergic_omicron	lightskyblue	peptidergic
Hhon.darkgrey	gc014	peptidergic_omicron	lightskyblue	peptidergic
HoiH23.skyblue	gc014	peptidergic_omicron	lightskyblue	peptidergic
Tadh.navajowhite2	gc015	peptidergic_theta	royalblue3	peptidergic
TrH2.lightpink4	gc015	peptidergic_theta	royalblue3	peptidergic
Hhon.steelblue	gc015	peptidergic_theta	royalblue3	peptidergic
HoiH23.mediumpurple3	gc015	peptidergic_theta	royalblue3	peptidergic
Tadh.orange	gc016	peptidergic_eta	royalblue1	peptidergic
Tadh.royalblue	gc016	peptidergic_eta	royalblue1	peptidergic
TrH2.darkorange2	gc016	peptidergic_eta	royalblue1	peptidergic
TrH2.salmon4	gc016	peptidergic_eta	royalblue1	peptidergic
TrH2.yellowgreen	gc016	peptidergic_eta	royalblue1	peptidergic
Hhon.bisque4	gc016	peptidergic_eta	royalblue1	peptidergic
Hhon.darkmagenta	gc016	peptidergic_eta	royalblue1	peptidergic
Hhon.darkslateblue	gc016	peptidergic_eta	royalblue1	peptidergic
Hhon.thistle1	gc016	peptidergic_eta	royalblue1	peptidergic
HoiH23.orangered4	gc016	peptidergic_eta	royalblue1	peptidergic
HoiH23.thistle1	gc016	peptidergic_eta	royalblue1	peptidergic
HoiH23.white	gc016	peptidergic_eta	royalblue1	peptidergic
Tadh.paleturquoise	gc017	peptidergic_gamma	skyblue1	peptidergic
TrH2.darkmagenta	gc017	peptidergic_gamma	skyblue1	peptidergic
Hhon.darkorange	gc017	peptidergic_gamma	skyblue1	peptidergic
HoiH23.orange	gc017	peptidergic_gamma	skyblue1	peptidergic
Tadh.pink	gc018	peptidergic_zeta	steelblue3	peptidergic
TrH2.white	gc018	peptidergic_zeta	steelblue3	peptidergic
Hhon.paleturquoise	gc018	peptidergic_zeta	steelblue3	peptidergic
HoiH23.plum1	gc018	peptidergic_zeta	steelblue3	peptidergic
Tadh.plum1	gc019	peptidergic_delta	skyblue3	peptidergic
TrH2.skyblue	gc019	peptidergic_delta	skyblue3	peptidergic
Hhon.floralwhite	gc019	peptidergic_delta	skyblue3	peptidergic
Hhon.white	gc019	peptidergic_delta	skyblue3	peptidergic
