orthogroup	genes_input	genes_output	species_input	species_output	occupancy_output	kept_orthogroup
OG_1015	85	56	58	56	0.888888888888889	OG1
OG_10153	62	44	55	44	0.698412698412698	OG1
OG_10155	62	55	55	55	0.873015873015873	OG0
OG_10160	77	51	57	51	0.80952380952381	OG0
OG_10166	65	37	57	37	0.587301587301587	OG1
OG_10168	92	55	58	55	0.873015873015873	OG0
OG_1017	65	55	56	55	0.873015873015873	OG0
OG_10172	89	55	58	55	0.873015873015873	OG0
OG_10177	66	46	48	46	0.73015873015873	OG0
OG_1018	59	37	48	37	0.587301587301587	OG0
OG_10182	55	33	41	33	0.523809523809524	OG1
OG_1019	73	39	52	39	0.619047619047619	OG1
OG_10190	95	38	43	38	0.603174603174603	OG1
OG_102	68	42	55	42	0.666666666666667	OG1
OG_10205	45	41	44	41	0.650793650793651	OG0
OG_10206	76	48	58	48	0.761904761904762	OG1
OG_1021	55	42	45	42	0.666666666666667	OG0
OG_10216	61	27	47	27	0.428571428571429	OG0
OG_10218	60	41	45	41	0.650793650793651	OG1
OG_1022	85	61	61	61	0.968253968253968	OG0
OG_10223	94	52	60	52	0.825396825396825	OG2
OG_10227	64	37	41	37	0.587301587301587	OG0
OG_10229	62	48	50	48	0.761904761904762	OG0
OG_1023	58	49	50	49	0.777777777777778	OG0
OG_10234	94	41	56	41	0.650793650793651	OG2
OG_10236	97	23	40	23	0.365079365079365	OG4
OG_1024	41	38	40	38	0.603174603174603	OG0
OG_10252	48	35	44	35	0.555555555555556	OG1
OG_10254	48	28	33	28	0.444444444444444	OG1
OG_10257	103	60	60	60	0.952380952380952	OG0
OG_1026	77	58	59	58	0.920634920634921	OG0
OG_10262	69	27	56	27	0.428571428571429	OG2
OG_10267	63	40	43	40	0.634920634920635	OG0
OG_1027	47	36	42	36	0.571428571428571	OG1
OG_10272	53	33	39	33	0.523809523809524	OG1
OG_10273	69	23	44	23	0.365079365079365	OG1
OG_1028	84	43	45	43	0.682539682539683	OG0
OG_10284	46	39	42	39	0.619047619047619	OG0
OG_10287	102	60	62	60	0.952380952380952	OG2
OG_1029	75	33	57	33	0.523809523809524	OG0
OG_10292	74	56	57	56	0.888888888888889	OG0
OG_10295	70	54	56	54	0.857142857142857	OG0
OG_10296	89	57	58	57	0.904761904761905	OG0
OG_10298	70	52	55	52	0.825396825396825	OG1
OG_1030	64	53	56	53	0.841269841269841	OG0
OG_10300	61	56	56	56	0.888888888888889	OG0
OG_10305	93	41	54	41	0.650793650793651	OG1
OG_10306	73	41	45	41	0.650793650793651	OG1
OG_10309	84	51	57	51	0.80952380952381	OG1
OG_10311	73	50	55	50	0.793650793650794	OG2
OG_10312	55	47	51	47	0.746031746031746	OG0
OG_10314	48	42	43	42	0.666666666666667	OG0
OG_10319	61	29	42	29	0.46031746031746	OG1
OG_10336	87	59	60	59	0.936507936507937	OG0
OG_10339	57	55	55	55	0.873015873015873	OG0
OG_1034	76	30	61	30	0.476190476190476	OG2
OG_10341	67	37	38	37	0.587301587301587	OG0
OG_10345	56	41	42	41	0.650793650793651	OG0
OG_1035	52	44	49	44	0.698412698412698	OG0
OG_10350	68	51	53	51	0.80952380952381	OG0
OG_10351	165	53	60	53	0.841269841269841	OG3
OG_10353	103	58	62	58	0.920634920634921	OG1
OG_10354	66	49	53	49	0.777777777777778	OG0
OG_10362	46	23	33	23	0.365079365079365	OG0
OG_10364	44	39	39	39	0.619047619047619	OG0
OG_10377	63	55	55	55	0.873015873015873	OG0
OG_1038	71	58	58	58	0.920634920634921	OG0
OG_10388	52	44	46	44	0.698412698412698	OG0
OG_10389	38	32	37	32	0.507936507936508	OG0
OG_104	50	43	46	43	0.682539682539683	OG0
OG_1040	74	60	60	60	0.952380952380952	OG0
OG_10406	66	56	56	56	0.888888888888889	OG0
OG_10411	59	50	51	50	0.793650793650794	OG0
OG_10415	40	39	40	39	0.619047619047619	OG0
OG_10416	64	45	47	45	0.714285714285714	OG0
OG_1042	54	49	51	49	0.777777777777778	OG0
OG_1043	33	30	32	30	0.476190476190476	OG0
OG_10431	70	55	55	55	0.873015873015873	OG0
OG_10440	45	38	40	38	0.603174603174603	OG0
OG_10444	57	49	50	49	0.777777777777778	OG0
OG_10446	57	50	52	50	0.793650793650794	OG0
OG_1045	58	48	53	48	0.761904761904762	OG0
OG_1046	65	53	54	53	0.841269841269841	OG0
