#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_315	3	14	14	0.956
OG_316	12	14	14	1.0
OG_317	2	10	10	0.5333
OG_318	2	31	31	0.2108
OG_319	12	18	18	1.0
OG_320	12	13	13	1.0
OG_321	10	15	15	0.9143
OG_322	11	11	11	1.0
OG_323	12	13	13	1.0
OG_324	12	18	18	1.0
OG_325	2	73	73	0.1301
OG_326	8	8	8	1.0
OG_327	12	13	13	1.0
OG_328	8	12	12	1.0
OG_329	10	10	10	1.0
OG_330	10	15	15	1.0
OG_331	11	13	13	1.0
OG_332	11	16	16	1.0
OG_333	12	16	16	1.0
OG_334	6	134	134	0.149
OG_335	12	626	626	0.0223
OG_336	11	17	17	0.7941
OG_337	4	5	5	1.0
OG_338	4	4	4	1.0
OG_339	12	15	15	1.0
OG_340	8	17	17	1.0
OG_341	12	115	115	0.3031
OG_342	12	31	31	0.6989
OG_343	11	14	14	1.0
OG_344	11	15	15	1.0
OG_345	2	4	4	1.0
OG_346	12	19	19	0.6842
OG_347	12	13	13	1.0
OG_348	5	89	89	0.1427
OG_349	4	6	6	0.8
OG_350	12	18	18	0.7255
OG_351	11	13	13	1.0
OG_352	11	11	11	1.0
OG_353	12	15	15	1.0
OG_354	12	16	16	1.0
OG_355	8	9	9	1.0
OG_356	12	17	17	1.0
OG_357	11	13	13	0.9744
OG_358	10	11	11	0.6545
OG_359	12	20	20	0.6316
OG_360	12	15	15	1.0
OG_361	11	20	20	0.7368
OG_362	12	177	177	0.1165
OG_363	11	16	16	1.0
OG_364	10	13	13	1.0
OG_365	12	13	13	1.0
OG_366	12	18	18	1.0
OG_367	11	18	18	0.902
OG_368	12	24	24	0.8804
OG_369	4	4	4	1.0
OG_370	12	21	21	0.9048
OG_371	11	36	36	0.5413
OG_372	10	14	14	0.8681
OG_373	9	10	10	1.0
OG_374	12	15	15	1.0
OG_375	12	14	14	1.0
OG_376	7	790	790	0.0302
OG_377	11	13	13	1.0
OG_378	12	16	16	1.0
OG_379	12	22	22	1.0
OG_380	11	125	125	0.1221
OG_381	3	22	22	0.4675
OG_382	11	13	13	0.7949
OG_383	12	13	13	1.0
OG_384	10	10	10	1.0
OG_385	12	25	25	1.0
OG_386	12	15	15	1.0
OG_387	4	155	155	0.0649
OG_388	5	389	389	0.0426
OG_389	10	11	11	1.0
OG_390	4	4	4	1.0
OG_391	9	12	12	0.7576
OG_392	12	17	17	1.0
OG_393	12	14	14	1.0
OG_394	9	10	10	1.0
OG_395	10	15	15	0.8952
OG_396	4	36	36	0.3048
OG_397	12	13	13	1.0
OG_398	12	15	15	0.8857
OG_399	12	30	30	0.4782
OG_400	12	238	238	0.2279
OG_401	12	29	29	0.8177
OG_402	12	14	14	1.0
OG_403	12	15	15	1.0
OG_404	12	28	28	0.8704
OG_405	8	12	12	1.0
OG_406	10	10	10	1.0
OG_407	10	10	10	1.0
OG_408	4	4	4	1.0
OG_409	12	132	132	0.1545
OG_410	10	14	14	1.0
OG_411	9	15	15	0.7143
OG_412	7	11	11	0.7091
OG_413	11	12	12	1.0
OG_414	4	16	16	0.5583
OG_415	12	470	470	0.0649
OG_416	12	23	23	0.7747
OG_417	12	14	14	1.0
OG_418	12	31	31	0.8753
OG_419	11	15	15	1.0
OG_420	5	27	27	0.5641
OG_421	12	20	20	1.0
OG_422	11	16	16	0.8333
OG_423	11	43	43	0.7054
OG_424	6	8	8	0.6429
OG_425	12	12	12	1.0
OG_426	12	15	15	1.0
OG_427	12	16	16	1.0
OG_428	12	13	13	0.859
OG_429	8	12	12	0.6061
OG_430	12	15	15	0.8857
OG_431	12	17	17	1.0
OG_432	12	15	15	1.0
OG_433	11	13	13	1.0
OG_434	10	10	10	1.0
OG_435	11	16	16	0.8167
OG_436	8	8	8	1.0
OG_437	11	12	12	1.0
OG_438	11	12	12	1.0
OG_439	12	15	15	1.0
OG_440	11	11	11	1.0
OG_441	12	21	21	0.9048
OG_442	11	12	12	1.0
OG_443	6	6	6	1.0
OG_444	12	23	23	0.9407
OG_445	11	12	12	1.0
OG_446	9	16	16	0.9167
OG_447	12	16	16	1.0
OG_448	10	18	18	0.6536
OG_449	12	21	21	0.6095
OG_450	11	69	69	0.5844
OG_451	11	17	17	0.9706
OG_452	11	11	11	1.0
OG_453	12	16	16	1.0
OG_454	12	20	20	0.8211
OG_455	11	13	13	1.0
OG_456	6	6	6	1.0
OG_457	12	16	16	1.0
OG_458	4	4	4	1.0
OG_459	12	14	14	1.0
OG_460	12	23	23	0.8696
OG_461	12	13	13	1.0
OG_462	12	13	13	1.0
OG_463	11	16	16	0.6583
OG_464	8	8	8	1.0
OG_465	12	19	19	1.0
OG_466	12	14	14	1.0
OG_467	11	13	13	1.0
OG_468	12	15	15	1.0
OG_469	11	12	12	1.0
OG_470	12	17	17	1.0
OG_471	12	16	16	0.9917
