metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
65	92	77611	843.597826086957	678.5	809.5	947	0.534871624364592	0.0882312117393362	0.133735467909402	0.303686321684195	0.796033274646326
66	86	83903	975.616279069767	794.25	960	1155.75	0.369020080507674	0.106726213812127	0.15419268413194	0.286878771271003	0.660188193383768
67	42	39062	930.047619047619	766	884	1057.75	0.458119504162296	0.136613350152388	0.237466182622042	0.410867887227288	0.836709960787354
68	39	39165	1004.23076923077	729	888	1165.5	0.509801013837245	0.134187614970158	0.237029348531044	0.42413868494975	0.954760297229918
69	55	51673	939.509090909091	812.5	914	1033.5	0.427375948661767	0.110886978451792	0.182679467099918	0.346749082571187	0.798863942812959
70	81	66461	820.506172839506	685	823	915	0.439816808721366	0.0891026312149686	0.14370862154052	0.305304060530196	0.742787061569075
71	53	53875	1016.50943396226	863	1015	1152	0.409505966293931	0.116134138387222	0.178841552743801	0.344741760004764	0.803595091173109
72	44	59208	1345.63636363636	1080	1235	1420.25	0.384435270874725	0.111198079362952	0.178531201244051	0.350092877479002	0.809071250347279
73	37	43442	1174.10810810811	1006	1119	1412	0.413474859723377	0.14264884894143	0.215443578170667	0.406174613848364	0.763981696685805
74	95	115022	1210.75789473684	1034.5	1166	1315	0.34089419905701	0.0847208410744424	0.136873480668985	0.253532559483023	0.646068878985304
75	96	92436	962.875	484	818.5	1255.5	0.65792197658832	0.104682970269124	0.138268983326256	0.436132023495327	1.83310882311739
76	79	73194	926.506329113924	693	884	1074.5	0.530096669059939	0.103648987168777	0.174021291726302	0.407655421953535	1.27228220046221
77	106	89407	843.462264150943	589.5	692.5	951	0.570808102036169	0.108064332985076	0.194090074735163	0.460542447630777	1.30020658682242
78	90	52780	586.444444444444	410.75	556.5	726.5	0.732620689749213	0.115694982058504	0.178663197055838	0.470442346673355	1.93547768044806
79	84	55925	665.77380952381	448.5	621	812	0.628544544466658	0.11210980209184	0.169225998745741	0.396947680441097	1.21923433663029
80	55	26582	483.309090909091	343	446	572	0.678220271024336	0.211467030903697	0.336178423260307	0.611780752183511	1.45437674109529
81	60	43164	719.4	478.25	702.5	879.75	0.536699527397658	0.146298497385822	0.216008669500122	0.439644937596291	1.10762826145196
82	79	109230	1382.6582278481	1048	1351	1632.5	0.358428411184966	0.0891412132351009	0.151150154293589	0.282747512066725	0.778372454528055
83	49	139265	2842.14285714286	2014	2551	3466	0.266233185747657	0.0705617723083944	0.131231130418048	0.246365902565748	0.671010436531945
84	55	83290	1514.36363636364	878.5	1204	1786	0.340412458346366	0.101153143544403	0.162598456076396	0.327046326472581	0.82737357352414
85	66	61845	937.045454545455	655	869	1073.5	0.393853642848006	0.117307524835848	0.182775705513712	0.356990212173062	0.872053825387912
86	96	85151	886.989583333333	501	686	1053.25	0.482031810510305	0.11329603503754	0.161811329941891	0.377506777526142	1.3145339141739
87	47	51216	1089.70212765957	715	946	1319.5	0.496890865698719	0.132898845363643	0.184452961306669	0.366142263502671	0.777526338799859
88	86	129386	1504.48837209302	1202	1369	1671	0.435280869748666	0.0755853561867263	0.108655435298749	0.217447747934689	0.615968220948205
89	95	81382	856.652631578947	637	810	1054.5	0.439217555519109	0.0823446519652617	0.11833783257969	0.228471537464912	0.495780117992926
90	80	114609	1432.6125	983.25	1384.5	1695.25	0.303440418654794	0.0850738829229753	0.161927046499208	0.270097561548247	0.622003191503748
91	51	47188	925.254901960784	628	800	1104	0.401368456813483	0.129020256016522	0.19898854887912	0.376079590497756	0.780612940619983
92	105	385119	3667.8	2163	3078	4064	0.198099939260968	0.0258194689973541	0.0691207881363285	0.127559423294339	0.320990285972506
93	47	163056	3469.27659574468	2324.5	3415	4150.5	0.259140189990272	0.0604967591764778	0.104317016525257	0.183200783058626	0.425584959267523
94	100	214731	2147.31	1716.75	2151.5	2591	0.398576167679352	0.0459907598035669	0.0799550757103358	0.146961047101857	0.473738167788179
95	51	72408	1419.76470588235	1188.5	1476	1673.5	0.421305264214576	0.0842112896733982	0.132749844690828	0.263140984848835	0.678161788847931
96	104	198006	1903.90384615385	1555.75	1850	2157	0.390401015859506	0.0498026106835435	0.0879093711044006	0.154484144237412	0.510221881610047
97	45	204421	4542.68888888889	3031	4140	5535	0.29315261780701	0.0484738036987265	0.0918552367389018	0.167701247689186	0.443562734886779
98	71	142457	2006.43661971831	1565	1993	2243	0.309921886797756	0.0688700887450853	0.107980536719564	0.199283950887336	0.529409263829209
99	66	167178	2533	2032.25	2469.5	3133.5	0.379536468718417	0.0589123084973999	0.105674658614262	0.195994112337367	0.522720559890211
100	56	78701	1405.375	1039	1350	1713	0.483940984028044	0.0886755277734463	0.12250152945385	0.245226880385315	0.59669749514287
101	65	59764	919.446153846154	689	863	1055	0.581654913175835	0.116509811278737	0.169307608422653	0.328771593307999	0.747063893341821
102	43	60278	1401.81395348837	1056.5	1381	1581	0.550642113227975	0.11175928291799	0.161155540419199	0.30314271681449	0.676957289843443
103	102	154442	1514.13725490196	1202.25	1391	1694.5	0.546081818640368	0.063549307349709	0.0727061118297461	0.155157139467069	0.42200482705224
104	90	88973	988.588888888889	715.5	972	1161.75	0.628350354865065	0.0709492729932018	0.108632991256824	0.210409889858153	0.456296566453437
105	119	244899	2057.97478991597	1572	1865	2525.5	0.508438393114367	0.0403818473846736	0.0798904565715673	0.153968324705288	0.580207575664073
106	76	138722	1825.28947368421	1305	1707	2190.75	0.49474620613768	0.070657490363975	0.12347884562584	0.217829807798332	0.565599929875536
107	72	246853	3428.51388888889	2342.5	3205.5	4356	0.387957799608686	0.0401418873844718	0.079569712293842	0.17071622710507	0.544976119939633
108	41	90518	2207.75609756098	1435	1855	2506	0.382242227234988	0.0879968787913153	0.136009262275922	0.269166667729653	0.719749934619244
109	36	93765	2604.58333333333	1744.25	2133.5	2943.5	0.422483279810452	0.0965454914895221	0.142529430886257	0.279967682081901	0.847795019979408
110	60	99760	1662.66666666667	1097.75	1392	1792	0.556914032651387	0.078632205260677	0.107818673128988	0.246782456276233	0.691095446307479
111	85	213322	2509.67058823529	1789	2189	2869	0.472525648546339	0.0463176134891862	0.0796156604958205	0.154714208680274	0.517715487030554
112	97	233937	2411.72164948454	1734	2113	2547	0.468403626158285	0.042274187796672	0.0836351838493674	0.202670565636258	0.982952400626159
113	68	121242	1782.97058823529	1340.25	1641.5	2131.75	0.477268348940194	0.0806070786083888	0.0968001007473786	0.201317623082108	0.536831733608203
114	45	70016	1555.91111111111	1291	1567	1893	0.489343328397772	0.0901811880406503	0.137194986173272	0.286267223461092	0.702824281166226
115	119	212323	1784.2268907563	1393.5	1722	2090	0.348660665485399	0.0464786903855429	0.117730801709155	0.226799668532034	0.61216069939448
116	73	211143	2892.3698630137	2150	2757	3318	0.383995965199307	0.046818855773185	0.0925918034560696	0.17459020850334	0.472630031747187
117	77	234983	3051.72727272727	2308	2695	3506	0.311327860616295	0.0421272920862591	0.102602792917725	0.199841644168035	0.540885888274709
