metacell	num_cells	umis_tot	cell_size_mean	cell_size_Q1	cell_size_Q2	cell_size_Q3	log2_fc_mean	log2_fc_Q1	log2_fc_Q2	log2_fc_Q3	log2_fc_Qp95
38	85	160275	1885.58823529412	1452	1836	2191	0.287676182502435	0.0613257738411075	0.105293699241839	0.210679992250734	0.609431833651886
39	55	93997	1709.03636363636	1252	1686	2013.5	0.362361627534583	0.0709614184704142	0.124927585018733	0.249402140567334	0.623486905773255
40	67	89631	1337.77611940299	1013	1359	1606	0.36794018244355	0.0694703389952485	0.119818485125382	0.240473156221719	0.684441201447056
41	30	124595	4153.16666666667	2698.25	4008.5	5135.75	0.30460729626279	0.0624545182876593	0.113368939525811	0.228178288231533	0.563177231573133
42	86	287197	3339.5	2688.75	3261	3874.75	0.300499969473068	0.0345431402736289	0.0747615858038304	0.167536561178522	0.613835347000657
43	73	186997	2561.60273972603	1953	2603	3081	0.403506404529114	0.0513551305581774	0.0829676304072328	0.169781894900481	0.565586809662222
44	109	201383	1847.5504587156	1452	1866	2242	0.355508461717498	0.0489209239064079	0.0734467791287801	0.153760756773004	0.583924602754448
45	58	76961	1326.91379310345	977.25	1355.5	1622.5	0.484340447869531	0.0689447559029484	0.125128747872736	0.242639740733264	0.604236975263103
46	50	54104	1082.08	804	1045	1415.75	0.568150187543051	0.114307775004671	0.209444727956171	0.375704310624541	0.861621242854207
47	82	121658	1483.63414634146	1070.25	1438	1681.25	0.465662686717942	0.0783404474770195	0.13276852857932	0.261168217845213	0.674842588289674
48	91	202034	2220.15384615385	1690.5	2107	2514	0.362968344745361	0.0488491844644525	0.0964537544554548	0.199054262896827	0.552945275008169
49	39	54212	1390.05128205128	1140	1432	1604	0.462134227561722	0.110607245259771	0.197662135767847	0.372554290041228	0.801841598314693
50	104	254255	2444.75961538462	1810.5	2165.5	2987.25	0.364397395669488	0.0420732833793591	0.105821550026887	0.214266930723275	0.55006878532471
51	66	305589	4630.13636363636	3378.5	4394.5	5825.25	0.212627239508932	0.032526688919114	0.0660404217262147	0.147404922936676	0.424578314560757
52	76	100151	1317.77631578947	653.25	993.5	1667.5	0.329677664625202	0.0921976891615013	0.141786933588527	0.269699539081712	0.643528400156176
53	44	112765	2562.84090909091	1951.75	2538.5	2836.5	0.356192325906399	0.0661053569614242	0.120829533939669	0.249544644125987	0.734175341501901
54	71	99327	1398.97183098592	864.5	1227	1902	0.455760020413951	0.097780832846738	0.168894080062513	0.35498770675815	0.959519672618124
55	95	216776	2281.85263157895	1576.5	2074	2814.5	0.426546474589417	0.0455718677252441	0.0900667449086137	0.242877948415145	0.913992830483683
56	53	60683	1144.96226415094	640	1036	1424	0.532576820566085	0.105230689279997	0.191218195105385	0.395772836585029	1.17133592231076
57	63	90830	1441.74603174603	958.5	1227	1707	0.409359866098551	0.0921427304569887	0.166089829489603	0.31215584542707	0.833831319876251
58	65	68564	1054.83076923077	757	947	1346	0.468212567479593	0.120721516660312	0.214891818243219	0.39951310660983	0.998806574979695
59	106	344332	3248.41509433962	2121.75	3213.5	4322.75	0.276942673843175	0.0518422359537759	0.115438359524033	0.238207739213801	0.625147097382299
60	117	412237	3523.39316239316	2528	3218	4347	0.283778172019121	0.0432311804661678	0.096490803963429	0.212908231920498	0.64008130629982
61	143	219698	1536.34965034965	910	1396	2041.5	0.305424212618974	0.0449208605509926	0.0931331184560716	0.233932570136174	0.659435598170394
62	68	70883	1042.39705882353	768	993.5	1297.75	0.430967064155743	0.080869908776046	0.157412479486694	0.328993524123831	0.900081775002433
63	55	109375	1988.63636363636	1327.5	1850	2675	0.364022380481961	0.0815461187677559	0.149411515007705	0.305933756177769	0.850242565262773
64	55	138322	2514.94545454545	1509	2195	3121.5	0.374301778914188	0.0709775918182446	0.14460901983896	0.315221138187131	0.889760292340559
65	62	187226	3019.77419354839	2284	2768.5	3823.5	0.331422342482147	0.0679625390071728	0.155146625162747	0.307115372620532	0.77455699167061
66	46	106636	2318.17391304348	1729.25	2124	3067.5	0.389493624108873	0.0915217081286514	0.172513795043309	0.336586663228446	0.901342130953687
67	171	269707	1577.23391812865	1039.5	1315	1885	0.337343566925786	0.036682199119826	0.100747706897459	0.223846681545885	0.791032648425754
68	89	162083	1821.15730337079	1274	1777	2219	0.388335009996279	0.0606449799902616	0.136501029972781	0.308806181801451	0.941166230694721
69	66	105321	1595.77272727273	932	1442	2152.25	0.433649265226022	0.0924234495282405	0.173869726632618	0.346840388668836	0.973329191888507
70	93	245022	2634.64516129032	1843	2403	3406	0.324549394801862	0.0601119664019111	0.135123360623735	0.286423805249357	0.791018960921325
71	49	97319	1986.10204081633	1517	1816	2363	0.408861481616637	0.0857527085940698	0.156123871354283	0.324368127208114	0.89675088900623
72	43	86312	2007.25581395349	1538.5	1800	2114	0.415631185820914	0.103337327802041	0.18145595532233	0.352338106073825	0.872618177694846
73	49	99617	2033	1520	1887	2560	0.389817421804061	0.0905460417369914	0.163378926132242	0.316590382886597	0.83639764224834
74	80	111685	1396.0625	943.5	1252	1704	0.434996103035774	0.084476066085997	0.149209847659648	0.293940077184147	0.888574728344821
75	107	178481	1668.04672897196	1227.5	1490	1939	0.354393120238112	0.0551428475832398	0.118542763366612	0.26336301616037	0.786323088394251
76	125	167198	1337.584	943	1258	1589	0.402430355250656	0.0587623244475804	0.124929859232685	0.286775419284845	0.934581719909025
77	48	53614	1116.95833333333	872	1089.5	1348	0.495163778956828	0.112343909499848	0.21127894555662	0.417183527042831	1.02584594224122
