	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_2634	1	1	1	1	1	1	1
OG_2637	1	1	0	1	1	1	1
OG_2651	1	1	0	0	0	1	0
OG_2653	0	0	1	0	0	0	0
OG_2663	1	0	0	0	0	0	0
OG_2665	0	1	1	1	1	1	1
OG_268	0	0	1	0	0	0	0
OG_2689	1	1	0	0	0	1	0
OG_2690	1	0	0	0	0	0	0
OG_2698	1	0	1	1	1	1	1
OG_2700	1	0	0	0	0	0	0
OG_2706	0	1	1	1	1	1	1
OG_2718	0	1	0	0	0	0	0
OG_2723	1	0	1	1	1	1	1
OG_2732	0	0	1	0	0	0	0
OG_2746	1	0	1	1	1	1	1
OG_2748	1	0	0	1	1	1	1
OG_2761	1	0	1	1	1	1	1
OG_2764	0	0	1	0	0	0	0
OG_2774	0	0	0	1	0	0	0
OG_2777	1	1	1	1	1	1	1
OG_2778	0	0	0	1	0	0	0
OG_2786	1	1	1	0	1	1	1
OG_2788	1	1	1	1	1	1	1
OG_2792	1	1	0	0	0	1	0
OG_2801	1	1	1	1	1	1	1
OG_2805	1	1	1	1	1	1	1
OG_2806	1	1	1	1	1	1	1
OG_2809	1	1	1	1	1	1	1
OG_281	1	0	0	0	0	0	0
OG_2815	1	1	0	0	0	1	0
OG_283	1	0	1	1	1	1	1
OG_2833	1	0	1	1	1	1	1
OG_2845	1	1	1	1	1	1	1
OG_2846	0	0	1	1	1	0	0
OG_2847	0	1	1	1	1	1	1
OG_2849	0	1	1	1	1	1	1
OG_2852	0	0	1	1	1	0	0
OG_2855	1	1	1	1	1	1	1
OG_2861	0	0	0	1	0	0	0
OG_2872	1	0	0	1	1	1	1
OG_2877	0	0	1	1	1	0	0
OG_2878	1	0	0	0	0	0	0
OG_2885	1	0	1	1	1	1	1
OG_2888	1	0	0	0	0	0	0
OG_2890	1	0	1	1	1	1	1
OG_2891	0	0	1	0	0	0	0
OG_2901	0	0	1	0	0	0	0
OG_2904	0	0	0	1	0	0	0
OG_2907	0	0	1	0	0	0	0
OG_2908	0	0	1	0	0	0	0
OG_291	0	0	1	0	0	0	0
OG_2935	0	0	1	1	1	0	0
OG_2961	0	0	0	1	0	0	0
OG_2973	0	0	1	0	0	0	0
OG_298	1	0	0	0	0	0	0
OG_2981	1	0	0	0	0	0	0
OG_2985	0	0	1	1	1	0	0
