orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
OG_1692	Hvul	Hvul		1	0	1
OG_1693	Hvul	Hvul		1	0	1
OG_1696	Hvul	Hvul		1	0	1
OG_170	Mmus	Mmus		1	0	1
OG_1704	TrH2	TrH2		1	0	1
OG_1709	Dmel,Mmus	Bilateria		1	0	3
OG_1715	Spolac	Spolac		1	0	1
OG_1724	Mmus	Mmus		1	0	1
OG_1732	Mmus	Mmus		1	0	1
OG_1759	Hhon,HoiH23,TrH2	Placozoa	Tadh	1	1	6
OG_1767	Mmus	Mmus		1	0	1
OG_1769	Hhon,HoiH23,Hvul,Mlei,Tadh,TrH2	Metazoa	Anthozoa,Bilateria,Spolac	1	3	18
OG_1774	Hvul,Nvec,TrH2	CniBilPla	Bilateria,Hoilungia,Spis,Tadh	1	4	9
OG_1776	Mmus	Mmus		1	0	1
OG_1786	Mmus	Mmus		1	0	1
OG_1802	Mmus	Mmus		1	0	1
OG_1809	Hvul,Spis	Cnidaria	Nvec	1	1	5
OG_1817	Dmel	Dmel		1	0	1
OG_1821	Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Bilateria	1	2	11
OG_1824	Hhon,HoiH23,Nvec,Spis,Tadh,TrH2	CniBilPla	Bilateria,Hvul	1	2	13
OG_1831	Dmel	Dmel		1	0	1
OG_1832	Hvul,Mmus,Nvec	CniBil	Dmel,Spis	1	2	8
OG_1838	Hvul	Hvul		1	0	1
OG_1843	Hvul,Spolac	Metazoa	Anthozoa,Bilateria,Mlei,Placozoa	1	4	6
OG_1852	Hvul,Spolac	Metazoa	Anthozoa,Bilateria,Mlei,Placozoa	1	4	6
OG_1860	Dmel,Mmus	Bilateria		1	0	4
OG_1866	Mmus	Mmus		1	0	2
OG_1880	Hhon,Tadh	Placozoa	HoiH23,TrH2	1	2	5
OG_1898	HoiH23,Tadh,TrH2	Placozoa	Hhon	1	1	6
OG_19	Spolac	Spolac		1	0	1
OG_190	Dmel,Mmus,TrH2	CniBilPla	Cnidaria,Hoilungia,Tadh	1	3	9
OG_1919	Dmel,Mmus	Bilateria		1	0	8
OG_1927	Dmel	Dmel		1	0	1
OG_1948	Hhon	Hhon		1	0	1
OG_1951	Mmus	Mmus		1	0	1
OG_1955	Dmel	Dmel		1	0	1
OG_1977	Hhon	Hhon		1	0	1
OG_1984	Dmel	Dmel		1	0	1
OG_2002	Dmel,Mmus	Bilateria		1	0	6
OG_2003	Mmus	Mmus		1	0	1
OG_2015	Spolac	Spolac		1	0	1
OG_2018	Dmel	Dmel		1	0	1
OG_2026	Mmus	Mmus		1	0	1
OG_2031	Mmus	Mmus		1	0	1
OG_2053	HoiH23,Mmus	CniBilPla	Cnidaria,Dmel,Hhon,Trichoplax	1	4	7
OG_2061	Hvul,Mmus,TrH2	CniBilPla	Anthozoa,Dmel,Hoilungia,Tadh	1	4	9
OG_2064	Spolac	Spolac		1	0	1
OG_2069	TrH2	TrH2		1	0	1
OG_2082	Mmus	Mmus		1	0	1
OG_2090	Dmel,Tadh	CniBilPla	Cnidaria,Hoilungia,Mmus,TrH2	1	4	8
OG_2105	Mmus	Mmus		1	0	1
OG_2122	Mmus	Mmus		1	0	2
OG_2128	Spis	Spis		1	0	1
OG_2133	Spolac	Spolac		1	0	1
OG_2136	Spolac	Spolac		1	0	1
OG_2139	Mlei	Mlei		1	0	1
OG_2140	Mmus	Mmus		1	0	2
OG_216	Dmel,HoiH23,Hvul,Mmus	CniBilPla	Anthozoa,Hhon,Trichoplax	1	3	11
OG_2169	Mmus	Mmus		1	0	2
OG_2178	Mmus	Mmus		1	0	2
OG_2181	Spolac	Spolac		1	0	1
OG_2184	Mmus	Mmus		1	0	1
OG_2186	Mmus	Mmus		1	0	1
OG_219	Mmus	Mmus		1	0	1
OG_2193	Mmus	Mmus		1	0	1
OG_2209	TrH2	TrH2		1	0	1
OG_2221	Spis	Spis		1	0	1
OG_2222	Dmel,Mmus	Bilateria		1	0	8
OG_2224	Mmus	Mmus		1	0	2
OG_2229	Dmel,Hvul	CniBil	Anthozoa,Mmus	1	2	5
OG_2234	Nvec,Spis	Anthozoa		1	0	4
OG_2235	Spis	Spis		1	0	1
OG_2239	TrH2	TrH2		1	0	1
OG_2246	Mmus	Mmus		1	0	1
OG_2252	Dmel,Hvul,Mmus,Nvec,Spis	CniBil		1	0	13
OG_2255	Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Bilateria	1	2	12
OG_2256	Mmus	Mmus		1	0	2
OG_2259	Dmel,Hvul,TrH2	CniBilPla	Anthozoa,Hoilungia,Mmus,Tadh	1	4	9
OG_2263	Dmel	Dmel		1	0	2
OG_2267	Hvul	Hvul		1	0	1
OG_2276	Dmel	Dmel		1	0	1
OG_228	Mmus	Mmus		1	0	1
OG_2281	Mlei	Mlei		1	0	1
OG_2282	Dmel,Hvul	CniBil	Anthozoa,Mmus	1	2	5
OG_2283	Dmel	Dmel		1	0	1
OG_2293	Dmel,TrH2	CniBilPla	Cnidaria,Hoilungia,Mmus,Tadh	1	4	7
OG_2302	Spolac	Spolac		1	0	1
OG_2308	Mmus	Mmus		1	0	1
OG_2310	Dmel,Nvec,Spis,Tadh,TrH2	CniBilPla	Hoilungia,Hvul,Mmus	1	3	12
