metacell	cell_type	broad_cell_type	color
111	indirect_flight_muscle	Muscle_Cell	#950482
112	indirect_flight_muscle	Muscle_Cell	#950482
113	indirect_flight_muscle	Muscle_Cell	#950482
114	indirect_flight_muscle	Muscle_Cell	#950482
115	indirect_flight_muscle	Muscle_Cell	#950482
116	indirect_flight_muscle	Muscle_Cell	#950482
117	indirect_flight_muscle	Muscle_Cell	#950482
118	muscle_cell	Muscle_Cell	#9A067E
119	muscle_cell	Muscle_Cell	#9A067E
120	muscle_cell	Muscle_Cell	#9A067E
121	muscle_cell	Muscle_Cell	#9A067E
122	muscle_cell	Muscle_Cell	#9A067E
123	muscle_cell	Muscle_Cell	#9A067E
124	muscle_cell	Muscle_Cell	#9A067E
125	muscle_cell	Muscle_Cell	#9A067E
126	muscle_cell	Muscle_Cell	#9A067E
127	muscle_cell	Muscle_Cell	#9A067E
128	muscle_cell	Muscle_Cell	#9A067E
129	muscle_cell	Muscle_Cell	#9A067E
130	muscle_cell	Muscle_Cell	#9A067E
131	muscle_cell	Muscle_Cell	#9A067E
132	muscle_cell	Muscle_Cell	#9A067E
133	muscle_cell	Muscle_Cell	#9A067E
134	muscle_cell	Muscle_Cell	#9A067E
135	muscle_cell	Muscle_Cell	#9A067E
136	muscle_cell	Muscle_Cell	#9A067E
137	muscle_cell	Muscle_Cell	#9A067E
138	muscle_cell	Muscle_Cell	#9A067E
139	muscle_cell	Muscle_Cell	#9A067E
140	muscle_cell	Muscle_Cell	#9A067E
141	muscle_cell	Muscle_Cell	#9A067E
142	muscle_cell	Muscle_Cell	#9A067E
143	muscle_cell	Muscle_Cell	#9A067E
144	muscle_cell	Epithelial_Cell	#9A067E
145	muscle_cell	Muscle_Cell	#9A067E
146	muscle_cell	Muscle_Cell	#9A067E
147	muscle_cell	Muscle_Cell	#9A067E
148	muscle_cell	Muscle_Cell	#9A067E
149	muscle_cell	Muscle_Cell	#9A067E
150	muscle_cell	Muscle_Cell	#9A067E
151	muscle_cell	Muscle_Cell	#9A067E
152	muscle_cell	Muscle_Cell	#9A067E
153	muscle_cell	Muscle_Cell	#9A067E
154	muscle_cell	Muscle_Cell	#9A067E
155	muscle_cell	Muscle_Cell	#9A067E
156	muscle_cell	Muscle_Cell	#9A067E
157	muscle_cell	Muscle_Cell	#9A067E
158	muscle_cell	Muscle_Cell	#9A067E
159	muscle_cell	Muscle_Cell	#9A067E
160	muscle_cell	Muscle_Cell	#9A067E
161	muscle_cell	Muscle_Cell	#9A067E
162	muscle_cell	Muscle_Cell	#9A067E
163	muscle_cell	Muscle_Cell	#9A067E
164	muscle_cell	Muscle_Cell	#9A067E
165	muscle_cell	Muscle_Cell	#9A067E
166	muscle_cell	Muscle_Cell	#9A067E
