AP-2	Tadh_TriadT27767	TF_AP-2
Myb	Tadh_TriadT61318	GPS2_interact Myb_DNA-binding Myb_DNA-binding
Myb	Tadh_TriadT64051	MADF_DNA_bdg SHNi-TPR TPR_8
Myb	Tadh_wf_g6674.t1	MADF_DNA_bdg
Ndt80_PhoG	Tadh_TriadT18287	NDT80_PhoG Peptidase_S74
NFX1_ZF	Tadh_TriadT32641	zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1
NFX1_ZF	Tadh_TriadT55011	zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 R3H
NFYA	Tadh_TriadT58635	CBFB_NFYA
NFYB_NFYC	Tadh_TriadT28000	CBFD_NFYB_HMF
NFYB_NFYC	Tadh_TriadT28921	CBFD_NFYB_HMF
NFYB_NFYC	Tadh_TriadT54139	CBFD_NFYB_HMF
NFYB_NFYC	Tadh_TriadT56174	CBFD_NFYB_HMF
NFYB_NFYC	Tadh_TriadT58930	CBFD_NFYB_HMF
NFYB_NFYC	Tadh_wf_g2149.t1	CBFD_NFYB_HMF
NRF1	Tadh_TriadT2796	Nrf1_DNA-bind
NRF1	Tadh_TriadT55353	Nrf1_DNA-bind
P53	Tadh_TriadT64021	P53 P53_tetramer SAM_2
Pipsqueak	Tadh_TriadT56026	HTH_psq DDE_1
RFX	Tadh_TriadT51266	RFX_DNA_binding
RFX	Tadh_TriadT51678	RFX_DNA_binding
RFX	Tadh_TriadT51992	RFX_DNA_binding
RFX	Tadh_TriadT54817	ARID RFX_DNA_binding
Runt_Runx	Tadh_TriadT25179	Runt
SMAD_MH1	Tadh_TriadT30731	MH1 MH2
SMAD_MH1	Tadh_TriadT49742	MH1 MH2
SMAD_MH1	Tadh_TriadT50301	MH1 MH2
SMAD_MH1	Tadh_TriadT52368	MH1 MH2
STAT	Tadh_TriadT52438	STAT_int STAT_alpha STAT_bind
STAT	Tadh_TriadT53918	STAT_int STAT_alpha STAT_bind SH2
STAT	Tadh_TriadT53920	STAT_int STAT_bind
T-box	Tadh_TriadT17171	T-box
T-box	Tadh_TriadT25521	T-box
T-box	Tadh_TriadT30221	T-box
T-box	Tadh_TriadT53394	T-box
T-box	Tadh_TriadT59753	T-box
TBP	Tadh_TriadT22173	TBP TBP
TBP	Tadh_TriadT50358	TBP TBP
TBP	Tadh_TriadT56340	TBP-binding DUF3591 zf-CCHC_6 Bromodomain Bromodomain
TEA	Tadh_TriadT22423	TEA YBD
Tesmin_TSO1-like	Tadh_TriadT59682	TCR TCR
TFIIA	Tadh_TriadT61892	TFIIA TFIIA
TFIIB	Tadh_TriadT53474	TF_Zn_Ribbon TFIIB TFIIB
TFIIB	Tadh_TriadT62066	TF_Zn_Ribbon TFIIB TFIIB BRF1
THAP_finger	Tadh_TriadT60440	THAP
Tub	Tadh_TriadT33067	Tub
YL1	Tadh_TriadT55931	YL1 YL1_C
zf-C4_Nuclear_receptors	Tadh_TriadT21656	zf-C4 Hormone_recep
