TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	11.380022	9.851623
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	10.154689	6.423702
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	3.9077244	17.60053
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	4.417849	18.330658
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.352697	10.429673
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	3.620321	17.838062
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	11.118481	10.580897
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	9.919109	9.8394985
peptidergic_theta	royalblue3	54	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_theta	-14.766995	0.06270748
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	10.261149	6.448626
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.5236936	17.816917
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	10.281924	6.5951447
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.9770715	17.492077
fibre	chartreuse3	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.897779	2.3668172
trans_epithelia_dorsal_ventral	gray95	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	5.612425	1.1082463
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.3453474	1.2925382
fibre	chartreuse3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	10.515782	8.455905
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	8.510652	7.5881376
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	3.6759627	17.933285
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-1.5192577	-5.7916384
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	10.101072	10.4837055
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	5.2513375	0.4177867
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	10.027119	6.3736763
