	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1
Tadh_peptidergic_mu_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011482077807543262	0.05282340519062717	0.01992808024636969	0.08620056383860472	0.029762029574403003	0.19999545720350795	0.0	0.008243809549642524	0.0	0.0	0.0	0.033135877833347725	0.0	0.0	0.0	0.0	0.0	0.0	0.004011061563244223	0.0	0.0	0.032253294543592805	0.991359046333614	0.0	0.0	0.036363547232676756	0.00831991038187271	0.0	0.0	0.0	0.0007693622334330725	0.0	0.00218615389325939	0.0003815041973770937	0.01402287153370282	0.023212875228042336	0.0	0.0
Tadh_peptidergic_nu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024217309756467865	0.00022522801242188398	0.007382617557821438	0.0002508167257055912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018621185859532603	0.0	0.0	0.0	0.0	0.0	0.7051025666475919	0.0	0.0	0.0	0.0	0.0	0.0	0.433729087352578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_omicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06720438095980227	0.0	0.0	0.01609992380380867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015739967347105074	0.0	0.0	0.0	0.0	0.0077605939275208246	0.0	0.0	0.0	0.0	0.0	0.974129812450359	0.0036679879296942024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008896443237486822	0.0
Tadh_peptidergic_progenitors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07152807800080643	0.0026943049540995244	0.0014369725349370546	0.08832951560289146	0.0	0.0004982385358444738	0.0	0.0	0.0	0.04063679162322743	0.026884042113847723	0.0	0.06185101005046728	0.08459860561756823	0.2221605222415425	0.008651016068383173	0.0	0.016200504329255586	0.0055558396114546976	0.0	0.009456323603449215	0.008738306612657547	0.018498312063843586	0.015159270402316044	0.08612858452467503	0.014076900667636111	0.5029329300338372	0.0	0.03161817538160665	0.0092776654144186	0.006825175430247525	0.0	0.0	0.0008744028702035555	0.0	0.0	0.001204390913183692	0.0
Tadh_peptidergic_theta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023749351590855318	0.0	0.0	0.01992306328359709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019364982695277977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9854379183728117	0.6825790183084605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_zeta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006186537850880982	0.0	0.009462001025727524	0.0002969493734435896	0.0	0.0	0.005576867505391636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9792077629523854	0.008080099328549487	0.0	0.0	0.0	0.0	0.0	0.010645937230852023	0.0
Tadh_trans_epithelia_dorsal_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.758639499645452	0.018964284995598997	0.04393507190505812	0.9703871198676218	0.0006254199296097204	0.008164620984670691	0.13354892831132534	0.0	0.0	0.006380613127921574	0.017226187832364022	0.0	0.0	0.0	0.0	0.0	0.016466069662564833	0.000385294045514096	0.000604090836176567	0.0	0.012675549578920914	0.0002031866977199767	0.0	0.0	0.0	0.0	0.002603614454439886	0.0	0.0	0.0	0.18437948129893578	0.0001110599312861351	0.0	0.0	0.0	0.0	0.008709884612920245	0.0
Tadh_trans_fibre_gland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001810599241270817	0.0	0.0	0.0003858731892119696	0.9707585643492427	0.008682693803874885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0074873630036927374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15344806859732035	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_trans_gland_epithelia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04022061548092508	0.03694289822652812	0.026850507030820057	0.0070335158060105445	0.000462491981999868	0.9728367475353007	0.008935660826140883	0.0004451538997811568	0.0	0.0	0.031684377089030595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001892582897167637	0.0027565666224070987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009441076669050457	0.007164050091417118	0.026873251637385263	0.0537145467996346	0.0	0.006032440264059488	0.0034077800254099623	0.0
Tadh_trans_lipophil_1_epithelia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004503204349091729	0.02134794252100614	0.0	0.11001153652847781	0.0	0.0008960249783692738	0.007368261946060178	0.4968611263096775	0.0004493710642003955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071152664270045475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000338302286675846	0.0005157581909898944	0.0	0.0	0.038574567511141286	0.0009528361583557143	0.0	0.0
