Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.123871	19.52216
peptidergic_alpha	dodgerblue1	27	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_alpha	15.515596	19.72633
peptidergic_alpha	dodgerblue1	27	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_alpha	15.365658	19.630705
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.3983264	-0.81411326
peptidergic_mu_like	cyan3	37	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu_like	9.00354	-10.699198
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.3318865	0.57174873
peptidergic_epsilon_like	steelblue1	48	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_epsilon_like	-12.169188	11.5461235
gland_1	darkorange3	24	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.6831417	9.758574
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.1489544	0.8257477
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.123776	1.3391587
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.876565	0.18330844
fibre	chartreuse3	2	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.127759	2.1639266
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	5.2702127	-0.41755468
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	5.379744	0.6587445
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.018424	11.742125
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.396567	0.9919112
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.7613006	8.054936
peptidergic_beta	dodgerblue3	34	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	20.372011	3.3291037
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.04331	0.8415978
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.8332725	1.0134953
peptidergic_mu	cyan3	28	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu	15.297057	12.579993
peptidergic_omicron	lightskyblue	41	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_omicron	11.939426	-6.9273705
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.738945	0.33255827
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.335213	8.784044
peptidergic_theta	royalblue3	32	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_theta	-10.502186	-5.686308
trans_gland_epithelia_dorsal	gray50	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_gland_epithelia_dorsal	7.203879	10.469931
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.9642022	-0.3837215
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9107018	1.0082159
gland_1_like	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1_like	7.5982046	8.705136
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.401241	0.37454522
epithelia_unknown	plum3	49	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	14.762558	-5.800279
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.571218	8.124509
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.058025	10.348691
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.02255	1.8102728
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.2521696	0.2966456
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.6181645	0.50075585
gland_1	darkorange3	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	2.5063524	3.6142375
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.433647	8.50352
peptidergic_lambda	cyan2	50	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_lambda	1.3125298	18.45729
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	3.0249135	0.86035484
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.245244	7.5668383
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.507209	0.28495726
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.4759426	0.096412905
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.143733	11.131051
epithelia_dorsal	mediumorchid3	10	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.4036436	8.882908
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.1028433	0.8721403
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.504007	8.570035
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.9099936	11.20578
peptidergic_lambda	cyan2	40	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_lambda	11.103827	17.91523
peptidergic_theta	royalblue3	32	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_theta	-10.484201	-5.722888
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.070964	0.40436175
peptidergic_epsilon	steelblue1	35	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_epsilon	-4.0618386	1.0427763
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.079526	19.471483
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.7365046	8.496313
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.572145	7.8548193
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.4528668	-0.024671054
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.8881948	0.311774
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.390832	10.503432
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6021068	-4.1832547
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.0581317	0.9189636
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.6693363	1.7112517
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.962179	1.0281258
peptidergic_omicron	lightskyblue	41	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_omicron	11.964298	-6.9033537
peptidergic_delta	skyblue3	33	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_delta	23.714325	9.220276
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.8629384	0.47774902
peptidergic_iota_like	deepskyblue1	44	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota_like	-6.4568305	-6.660711
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.001991	13.206777
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.2046256	11.176075
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.366068	7.590699
unknown_1	darkolivegreen2	20	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_unknown_1	-3.0027843	-10.631663
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.754058	9.998205
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9885178	0.8606108
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.085983	0.89695275
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.056192	13.205506
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.08543	2.175615
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.1427617	19.533892
peptidergic_other_1	paleturquoise3	35	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_other_1	-3.7705972	1.1010776
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.7240753	0.717823
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.221928	7.830816
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	7.0625844	-0.63022506
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.219156	10.362858
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.6850133	0.1331275
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.060134	0.34241685
epithelia_dorsal	mediumorchid3	10	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.5618467	8.552336
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.426134	2.9054601
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.5424666	1.5397683
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.4183135	1.0164632
peptidergic_progenitors	blueviolet	42	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_progenitors	1.5835254	2.38047
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.0253005	0.71293724
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.03742	13.152176
fibre	chartreuse3	2	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.560819	1.2800955
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.7573156	1.1598366
trans_gland_epithelia_ventral	gray65	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_gland_epithelia_ventral	7.1023393	10.448624
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.05076	13.201522
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.992358	8.741284
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.7714257	0.4604455
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.066419	1.48016
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.7130394	7.719275
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.64357	1.1525888
epithelia_unknown	plum3	22	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	8.764771	-1.100972
peptidergic_beta	dodgerblue3	34	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	20.398111	3.3334124
peptidergic_delta	skyblue3	53	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_delta	-3.0192778	20.06601
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.3039494	1.1164614
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.686802	1.0636512
epithelia_ventral	orchid1	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.61045	0.21534972
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6284626	-4.172569
peptidergic_beta	dodgerblue3	43	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	-2.7130218	-3.9542603
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.3732996	11.5618925
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5345864	0.6917812
trans_lipophil_1_gland	gray75	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_lipophil_1_gland	11.02692	4.348191
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.077937	1.6687819
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.260295	1.2919335
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.1813045	1.1291069
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.266059	19.649614
peptidergic_progenitors	blueviolet	42	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_progenitors	1.6342127	2.33029
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.120453	0.3477025
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.3051357	7.604456
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.264204	19.628893
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.7614343	0.67742556
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5738447	0.7255918
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.773465	0.70226324
lipophil_1	khaki2	0	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_1	11.280384	3.4097705
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.404818	10.360128
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.2411757	7.5845075
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.498945	0.9123891
lipophil_1	khaki2	0	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_1	11.306237	3.4943252
gland_1_like	darkorange3	45	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1_like	-11.058362	-0.20055853
fibre	chartreuse3	2	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.113261	2.0392652
epithelia_ventral	orchid1	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.052578	2.483662
epithelia_ventral	orchid1	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.9642925	0.65970737
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9587817	0.8357641
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.141296	0.4050895
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.102214	1.808803
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.032607	1.1366028
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.2804947	0.3633258
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.8999367	-0.7870351
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.3035955	7.438117
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.8666377	0.8443754
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.3803163	8.905228
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.916225	1.636831
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.0384445	0.73899627
peptidergic_iota	deepskyblue1	19	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_iota	20.15058	13.3393
epithelia_unknown	plum3	49	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	14.733284	-5.8216286
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6197371	-4.163656
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.591242	0.3885295
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.571877	0.76229525
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.4915395	-0.5003201
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.255618	10.332179
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-7.1748796	8.749484
peptidergic_lambda	cyan2	40	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_lambda	11.282117	17.735903
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.1184893	1.2548566
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.927233	0.19713084
epithelia_ventral	orchid1	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.8409004	3.3985152
peptidergic_gamma_like	skyblue1	39	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_gamma_like	5.011526	-11.548133
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.8820734	0.6240375
peptidergic_theta	royalblue3	32	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_theta	-10.5106125	-5.693009
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.9699225	0.73020655
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	7.7134786	8.557177
epithelia_unknown	plum3	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	6.9854646	-0.59519845
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.226056	8.469249
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.5968575	1.4396994
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.766905	8.834096
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.180303	7.393043
epithelia_unknown	plum3	22	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	7.759383	-1.5108347
peptidergic_eta	royalblue1	29	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_eta	20.927559	8.425609
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.8359237	9.299836
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.060266	0.98110163
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.6404433	3.0401275
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.35334	0.31550863
peptidergic_progenitors	blueviolet	42	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_progenitors	1.6774374	2.3324049
epithelia_ventral	orchid1	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.9634817	3.327605
peptidergic_alpha	dodgerblue1	27	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_alpha	15.525999	19.772202
peptidergic_kappa	deepskyblue3	47	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_kappa	19.152014	-8.577748
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.365448	10.525326
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.1096497	0.77401745
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	6.092813	0.12969106
peptidergic_omicron	lightskyblue	41	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_omicron	11.966196	-6.9052315
peptidergic_gamma	skyblue1	46	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_gamma	-0.83455306	-15.35798
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.2101398	9.717311
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.3703125	-0.65675557
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5799701	-0.49103826
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.7932396	1.1132234
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6014256	-4.093006
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.5357723	1.1733605
epithelia_unknown	plum3	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	6.3143525	0.5057421
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.9820933	11.752413
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.259681	2.7758484
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.1385527	0.69445056
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.10928	-0.6918938
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.0210447	0.5880216
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.9640326	11.644516
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.1289825	7.704299
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.9685717	11.337221
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_beta	19.546818	3.3063903
trans_epithelia_dorsal_ventral	gray95	30	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_epithelia_dorsal_ventral	6.519905	-0.3436497
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.902532	1.2024071
peptidergic_gamma_like	skyblue1	39	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_gamma_like	5.0119753	-11.543842
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.3181796	7.521421
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.500173	9.834625
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6617925	-4.0896845
peptidergic_alpha	dodgerblue1	21	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_alpha	15.046942	19.242657
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.842204	10.345274
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.9921875	10.742691
epithelia_dorsal	mediumorchid3	10	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.472649	9.096636
epithelia_ventral	orchid1	23	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	2.7886856	3.4397988
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	6.2601786	18.745949
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-4.899024	7.7767596
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.07288	2.4898326
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.188282	1.6642649
epithelia_unknown	plum3	22	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	8.733038	-1.1010351
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.1921506	0.91002375
