Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-4.977781	7.993636
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.30789	11.088318
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.4201612	0.16218096
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.471778	2.80965
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.9272404	1.3056986
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.5914072	-4.196531
epithelia_ventral	orchid1	6	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	3.8785486	1.5219393
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.7192655	0.493855
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.4462996	-0.67650336
epithelia_ventral	orchid1	6	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.6917806	-0.7539801
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.038664	2.3293345
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.491853	10.481231
gland_1	darkorange3	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	6.559978	9.469962
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.101309	8.200954
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	2.5107417	-0.9673478
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-11.065951	1.0726761
fibre	chartreuse3	11	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_fibre	-10.966429	1.6770395
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-7.043319	8.930842
epithelia_dorsal	mediumorchid3	16	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-6.1339245	8.429124
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.9159975	2.5176795
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	7.541668	9.430404
lipophil_1	khaki2	0	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_1	11.793774	2.9147696
epithelia_gland_like	orange	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	3.495264	2.5051508
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	5.6625943	0.63498956
epithelia_unknown	plum3	22	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	7.6892853	-1.3381364
lipophil_2	khaki3	14	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_lipophil_2	7.0254364	19.39247
epithelia_unknown	plum3	17	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_unknown	1.6191509	-4.194048
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.034768	-0.83711165
gland_1	darkorange3	18	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_gland_1	8.503417	10.577543
epithelia_dorsal	mediumorchid3	13	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_dorsal	-5.8353453	8.01179
peptidergic_mu_like	cyan3	26	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu_like	19.609869	-3.7243161
peptidergic_mu_like	cyan3	26	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_peptidergic_mu_like	19.577362	-3.7777488
epithelia_ventral	orchid1	9	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	4.215254	2.4366274
trans_gland_epithelia_ventral	gray65	1	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_trans_gland_epithelia_ventral	7.2861867	10.587145
epithelia_ventral	orchid1	6	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_ventral	6.1057916	-0.15432219
epithelia_gland_like	orange	3	unassigned	unassigned	unassigned	batch1	Hhon	Hhon_epithelia_gland_like	3.5202878	0.018591704
