Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	5.5613194	3.0367498
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	5.17813	-1.8147438
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_unknown_2.2	6.8287334	-2.520163
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.9034314	-6.833349
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-0.19671063	14.79632
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	4.6102643	-6.555278
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	5.6343713	1.6229547
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	-1.778748	6.1172442
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_2	6.224912	6.0540085
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_iota	21.722004	-0.032902274
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_lipophil	-0.027981339	14.814968
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_dorsal	2.49533	3.8464818
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.5967035	-1.4623924
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_peptidergic_nu	8.349293	10.603782
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_gland_1	5.891892	-6.7861147
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_unknown_3	5.0337667	5.87757
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_epithelia_ventral	6.0736594	2.4090912
