Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.385863	2.9850004
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.382904	-6.8931065
unassigned	unassigned	unassigned	trans_lipophil_1_fibre	gray90	6	batch2	HoiH23	HoiH23_trans_lipophil_1_fibre	15.857822	12.844366
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.017063675	15.763354
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.174196	13.580317
unassigned	unassigned	unassigned	peptidergic_epsilon	steelblue1	33	batch2	HoiH23	HoiH23_peptidergic_epsilon	-6.4870477	13.247206
unassigned	unassigned	unassigned	gland_1	darkorange3	7	batch2	HoiH23	HoiH23_gland_1	5.9105935	-6.169119
unassigned	unassigned	unassigned	peptidergic_alpha	dodgerblue1	27	batch2	HoiH23	HoiH23_peptidergic_alpha	14.287699	20.2449
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.9822268	16.183344
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	18	batch2	HoiH23	HoiH23_epithelia_ventral	5.588303	1.6410333
unassigned	unassigned	unassigned	trans_lipophil_1_epithelia	gray80	8	batch2	HoiH23	HoiH23_trans_lipophil_1_epithelia	-0.23001945	15.279849
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.2529006	-6.722038
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.085254	-6.76959
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.02311	-6.3916483
unassigned	unassigned	unassigned	epithelia_gland_like	orange	17	batch2	HoiH23	HoiH23_epithelia_gland_like	7.0154767	1.4987788
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.8288672	-6.234687
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	4.2173243	3.2023256
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	14	batch2	HoiH23	HoiH23_epithelia_ventral	4.461313	0.61449325
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.047596	13.87481
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	15	batch2	HoiH23	HoiH23_epithelia_dorsal	-1.2442247	6.6919374
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.014586	-6.7692337
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.1200943	-6.592467
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.96249413	16.13729
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.8897164	-6.501421
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.0905004	-6.5392113
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.56562	-5.3146043
unassigned	unassigned	unassigned	peptidergic_epsilon	steelblue1	53	batch2	HoiH23	HoiH23_peptidergic_epsilon	3.681216	25.286455
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	5.9055233	2.5753903
unassigned	unassigned	unassigned	trans_lipophil_2_epithelia	gray40	4	batch2	HoiH23	HoiH23_trans_lipophil_2_epithelia	-4.7608123	4.7832813
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.2637615	3.2007694
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	15.395269	13.259373
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.8308032	-6.3672957
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.0436277	-6.4559526
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	4.653893	2.6819136
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.310932	2.7174945
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	1.0173875	16.096142
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.121584	-6.685711
unassigned	unassigned	unassigned	trans_gland_epithelia_ventral	gray65	10	batch2	HoiH23	HoiH23_trans_gland_epithelia_ventral	4.2980843	2.2408552
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.304472	-6.4659424
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.827116	-6.625678
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	3.7875	3.3213525
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.39305	-5.26057
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.1530924	-5.4642315
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.3295617	-6.879172
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.55454963	15.631508
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.49462658	15.434752
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_lipophil_2	-4.8615685	4.778903
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	15	batch2	HoiH23	HoiH23_epithelia_dorsal	-1.2758825	6.4492908
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	6.49539	2.1294837
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.56604046	16.222078
unassigned	unassigned	unassigned	trans_lipophil_2_gland	gray70	4	batch2	HoiH23	HoiH23_trans_lipophil_2_gland	-4.8791428	4.885541
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.66448116	16.32604
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.0919213	2.8321092
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.533466	-6.1890836
unassigned	unassigned	unassigned	epithelia_gland_like	orange	17	batch2	HoiH23	HoiH23_epithelia_gland_like	6.149172	0.32640183
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	5.049464	2.9511719
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.0665245	-6.3320885
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	18	batch2	HoiH23	HoiH23_epithelia_ventral	5.407437	1.9426626
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_epithelia_unknown	5.05432	5.759147
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.5467587	-6.677075
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.06081	-6.6635523
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_epithelia_dorsal	-2.2707343	6.371842
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.85764784	16.186762
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.8985403	16.218443
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_epithelia_gland_like	5.4948945	-0.813072
unassigned	unassigned	unassigned	trans_gland_epithelia_ventral	gray65	13	batch2	HoiH23	HoiH23_trans_gland_epithelia_ventral	4.7054405	5.2106996
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.6603935	16.51014
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	4.5820246	3.1807477
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.145092	13.948786
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.281012	13.533029
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.6206126	16.292034
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.5853245	16.544142
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.6334425	16.194267
unassigned	unassigned	unassigned	trans_gland_epithelia_ventral	gray65	49	batch2	HoiH23	HoiH23_trans_gland_epithelia_ventral	4.857299	-7.4768357
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_epithelia_dorsal	-0.7961541	6.49515
unassigned	unassigned	unassigned	peptidergic_nu	cyan4	50	batch2	HoiH23	HoiH23_peptidergic_nu	5.519996	14.58444
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.008325	-5.8252683
unassigned	unassigned	unassigned	trans_fibre_gland	gray55	6	batch2	HoiH23	HoiH23_trans_fibre_gland	16.033998	13.007594
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.9689863	-6.5423517
unassigned	unassigned	unassigned	peptidergic_progenitors	blueviolet	41	batch2	HoiH23	HoiH23_peptidergic_progenitors	5.537122	1.7857049
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.027361	-6.7257934
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.8906527	-6.218962
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.4901924	2.838568
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.040512	-6.6581483
unassigned	unassigned	unassigned	epithelia_unknown	plum3	13	batch2	HoiH23	HoiH23_epithelia_unknown	4.741187	5.339996
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_epithelia_gland_like	5.1752367	-0.7802398
unassigned	unassigned	unassigned	trans_lipophil_1_gland	gray75	30	batch2	HoiH23	HoiH23_trans_lipophil_1_gland	-0.49237663	16.413765
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.6499333	-5.2770457
unassigned	unassigned	unassigned	epithelia_gland_like	orange	17	batch2	HoiH23	HoiH23_epithelia_gland_like	6.923679	1.358677
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	3.9744577	-6.398981
unassigned	unassigned	unassigned	lipophil_1	khaki2	3	batch2	HoiH23	HoiH23_lipophil_1	-0.03718048	15.681097
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.9460826	-6.5244646
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.9823725	-6.664168
unassigned	unassigned	unassigned	trans_fibre_gland	gray55	6	batch2	HoiH23	HoiH23_trans_fibre_gland	16.1926	13.977861
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.2391214	-6.745754
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.9446196	16.196453
unassigned	unassigned	unassigned	trans_lipophil_1_lipophil_2	gray35	4	batch2	HoiH23	HoiH23_trans_lipophil_1_lipophil_2	-5.03644	4.789146
unassigned	unassigned	unassigned	trans_lipophil_2_gland	gray70	4	batch2	HoiH23	HoiH23_trans_lipophil_2_gland	-4.8540263	4.747417
unassigned	unassigned	unassigned	trans_lipophil_1_fibre	gray90	6	batch2	HoiH23	HoiH23_trans_lipophil_1_fibre	15.774442	12.881088
unassigned	unassigned	unassigned	peptidergic_lambda	cyan2	28	batch2	HoiH23	HoiH23_peptidergic_lambda	8.201775	22.06931
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	15.901147	13.333122
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_epithelia_dorsal	-2.1615555	5.9856515
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_lipophil_2	-4.9903364	4.4176564
unassigned	unassigned	unassigned	trans_lipophil_2_epithelia	gray40	4	batch2	HoiH23	HoiH23_trans_lipophil_2_epithelia	-4.8217297	4.5165124
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.9846153	-7.0444603
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.0365634	-5.6861925
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.0064263	-6.1679516
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.1286335	-6.418259
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_epithelia_dorsal	-0.14766525	5.400267
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	15.736847	13.327273
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.458439	-6.1085515
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.7913404	-6.274797
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.58678555	16.311966
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.554837	-5.9373565
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	0	batch2	HoiH23	HoiH23_epithelia_dorsal	-0.16544989	5.6249175
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	3.828156	-5.8264065
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	10	batch2	HoiH23	HoiH23_epithelia_ventral	4.317072	1.3560739
unassigned	unassigned	unassigned	trans_lipophil_1_fibre	gray90	6	batch2	HoiH23	HoiH23_trans_lipophil_1_fibre	15.756864	12.86239
unassigned	unassigned	unassigned	trans_lipophil_2_epithelia	gray40	4	batch2	HoiH23	HoiH23_trans_lipophil_2_epithelia	-0.038356073	15.686952
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	5.6046424	2.7572305
unassigned	unassigned	unassigned	trans_fibre_gland	gray55	6	batch2	HoiH23	HoiH23_trans_fibre_gland	15.870747	12.912769
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.758257	-6.9386506
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	6.3720975	2.0983868
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.834499	16.214758
unassigned	unassigned	unassigned	peptidergic_zeta_like	steelblue3	32	batch2	HoiH23	HoiH23_peptidergic_zeta_like	-9.6169815	5.1163774
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	20	batch2	HoiH23	HoiH23_epithelia_ventral	5.5716743	0.39676678
unassigned	unassigned	unassigned	trans_lipophil_2_gland	gray70	4	batch2	HoiH23	HoiH23_trans_lipophil_2_gland	-4.8861217	4.8902326
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	15.702787	13.210463
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.1005883	3.1353645
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.60952	-6.3897123
unassigned	unassigned	unassigned	epithelia_gland_like	orange	17	batch2	HoiH23	HoiH23_epithelia_gland_like	6.755774	1.4028126
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	20	batch2	HoiH23	HoiH23_epithelia_ventral	4.4988265	1.6711196
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.9920056	16.227268
unassigned	unassigned	unassigned	trans_lipophil_2_epithelia	gray40	4	batch2	HoiH23	HoiH23_trans_lipophil_2_epithelia	-4.8044133	4.3736515
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.988277	-6.4962516
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	18	batch2	HoiH23	HoiH23_epithelia_ventral	5.616499	1.6147656
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.161483	-6.6477237
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.0918546	-6.6912107
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.59557104	16.560665
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.4088893	-6.760633
unassigned	unassigned	unassigned	peptidergic_epsilon	steelblue1	33	batch2	HoiH23	HoiH23_peptidergic_epsilon	-6.5079813	13.22019
unassigned	unassigned	unassigned	trans_gland_epithelia_ventral	gray65	2	batch2	HoiH23	HoiH23_trans_gland_epithelia_ventral	4.07109	-6.876697
unassigned	unassigned	unassigned	epithelia_gland_like	orange	14	batch2	HoiH23	HoiH23_epithelia_gland_like	5.710666	-0.9919537
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.079418	13.166515
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	3.9295127	-5.813542
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.5745525	-6.874612
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	18	batch2	HoiH23	HoiH23_epithelia_ventral	5.400216	1.9362222
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	3.9767325	-6.5784163
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	15.765401	13.510368
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.6227455	16.202131
unassigned	unassigned	unassigned	peptidergic_alpha	dodgerblue1	27	batch2	HoiH23	HoiH23_peptidergic_alpha	14.357862	20.323914
unassigned	unassigned	unassigned	gland_1	darkorange3	21	batch2	HoiH23	HoiH23_gland_1	6.583717	-5.6884236
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.1421146	-5.443514
unassigned	unassigned	unassigned	trans_lipophil_1_gland	gray75	30	batch2	HoiH23	HoiH23_trans_lipophil_1_gland	2.6754377	-3.933845
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.0726323	-6.459215
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.391719	3.1546311
unassigned	unassigned	unassigned	trans_gland_epithelia_ventral	gray65	2	batch2	HoiH23	HoiH23_trans_gland_epithelia_ventral	3.6730967	-6.4166937
unassigned	unassigned	unassigned	epithelia_gland_like	orange	20	batch2	HoiH23	HoiH23_epithelia_gland_like	5.571888	-0.25668147
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	6.6370378	1.8712555
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.510988	-6.846139
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	5.5023475	-6.793198
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	4.877198	3.1537616
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.15047	-5.575391
unassigned	unassigned	unassigned	trans_lipophil_1_gland	gray75	30	batch2	HoiH23	HoiH23_trans_lipophil_1_gland	0.64635736	16.190414
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.694042	-6.912384
unassigned	unassigned	unassigned	gland_1	darkorange3	16	batch2	HoiH23	HoiH23_gland_1	4.5956354	-5.3275623
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	3.9248843	3.236489
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	15.868211	13.197906
unassigned	unassigned	unassigned	trans_lipophil_1_fibre	gray90	6	batch2	HoiH23	HoiH23_trans_lipophil_1_fibre	16.25521	13.589374
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	12	batch2	HoiH23	HoiH23_epithelia_ventral	4.9983325	2.5861042
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	5.873228	3.0122936
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.018098	-6.4979625
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.6631305	15.9452
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.7180614	-6.8819013
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.5837687	15.909911
unassigned	unassigned	unassigned	peptidergic_lambda	cyan2	38	batch2	HoiH23	HoiH23_peptidergic_lambda	17.688042	7.628048
unassigned	unassigned	unassigned	epithelia_gland_like	orange	18	batch2	HoiH23	HoiH23_epithelia_gland_like	6.3339615	1.0823666
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.52268606	16.467855
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	18	batch2	HoiH23	HoiH23_epithelia_ventral	5.32315	2.0228436
unassigned	unassigned	unassigned	trans_lipophil_2_epithelia	gray40	4	batch2	HoiH23	HoiH23_trans_lipophil_2_epithelia	-4.692277	4.133149
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	6.419845	1.7190431
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.052063	13.119522
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	4.97417	-6.879109
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.8574742	16.199203
unassigned	unassigned	unassigned	trans_lipophil_2_gland	gray70	4	batch2	HoiH23	HoiH23_trans_lipophil_2_gland	-4.87607	4.897073
unassigned	unassigned	unassigned	trans_fibre_gland	gray55	6	batch2	HoiH23	HoiH23_trans_fibre_gland	15.884231	12.971799
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.228276	-6.8160796
unassigned	unassigned	unassigned	epithelia_gland_like	orange	17	batch2	HoiH23	HoiH23_epithelia_gland_like	6.4585137	1.078774
unassigned	unassigned	unassigned	trans_lipophil_1_gland	gray75	2	batch2	HoiH23	HoiH23_trans_lipophil_1_gland	4.8987327	-6.191698
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.057768	13.284489
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	0.9548393	16.151579
unassigned	unassigned	unassigned	lipophil_2	khaki3	4	batch2	HoiH23	HoiH23_lipophil_2	-4.862975	4.7341113
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.267433	-6.7031493
unassigned	unassigned	unassigned	trans_lipophil_1_fibre	gray90	6	batch2	HoiH23	HoiH23_trans_lipophil_1_fibre	16.12983	13.258587
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.15233	13.180999
unassigned	unassigned	unassigned	fibre_1	chartreuse3	6	batch2	HoiH23	HoiH23_fibre_1	16.286274	13.479734
unassigned	unassigned	unassigned	lipophil_1	khaki2	8	batch2	HoiH23	HoiH23_lipophil_1	-0.08386057	15.742553
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	25	batch2	HoiH23	HoiH23_epithelia_ventral	6.005891	6.0023065
unassigned	unassigned	unassigned	gland_1	darkorange3	5	batch2	HoiH23	HoiH23_gland_1	6.3988233	-6.6026936
unassigned	unassigned	unassigned	epithelia_unknown	plum3	29	batch2	HoiH23	HoiH23_epithelia_unknown	5.119368	5.9938817
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	17	batch2	HoiH23	HoiH23_epithelia_ventral	5.8342953	2.5621934
unassigned	unassigned	unassigned	trans_fibre_gland	gray55	6	batch2	HoiH23	HoiH23_trans_fibre_gland	15.990754	12.972285
unassigned	unassigned	unassigned	trans_lipophil_2_gland	gray70	4	batch2	HoiH23	HoiH23_trans_lipophil_2_gland	-4.8980174	4.8632565
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	15	batch2	HoiH23	HoiH23_epithelia_dorsal	-0.9738955	6.591556
unassigned	unassigned	unassigned	epithelia_gland_like	orange	18	batch2	HoiH23	HoiH23_epithelia_gland_like	6.3198266	1.173127
unassigned	unassigned	unassigned	epithelia_dorsal	mediumorchid3	1	batch2	HoiH23	HoiH23_epithelia_dorsal	-1.7214266	6.669764
unassigned	unassigned	unassigned	gland_1	darkorange3	2	batch2	HoiH23	HoiH23_gland_1	4.8828278	-6.1373434
unassigned	unassigned	unassigned	peptidergic_mu_like	cyan3	51	batch2	HoiH23	HoiH23_peptidergic_mu_like	8.654249	17.052584
unassigned	unassigned	unassigned	epithelia_unknown	plum3	29	batch2	HoiH23	HoiH23_epithelia_unknown	5.8864717	6.881056
unassigned	unassigned	unassigned	epithelia_ventral	orchid1	19	batch2	HoiH23	HoiH23_epithelia_ventral	6.475561	3.05729
