TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	-1.4648097	-5.4447227
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-2.0202868	-5.3775263
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	0.43767688	-5.825831
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	-1.6914594	-4.317852
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-3.427052	6.2271543
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_190	9.612875	1.1048821
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_166	-1.3951921	-4.6201572
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	-0.65315264	-4.349664
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	-0.81668186	-4.9453373
epithelia_dorsal_like	mediumorchid4	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	-1.7823275	-5.0182433
epithelia_dorsal_like	mediumorchid4	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	8.263261	-12.618593
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-1.6334286	-4.094267
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	8.882769	5.020764
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	-1.5094273	-3.9392762
trans_epithelia_dorsal_ventral	gray95	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	7.8425083	0.7267546
trans_epithelia_ventral_peptidergic	gray60	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_158	8.713993	5.0458517
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_9	-1.780464	6.9585714
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_140	9.559158	6.1080155
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.5922692	-5.704863
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-1.5535861	-5.538189
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-0.75473	-5.0813017
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.7889166	-5.4314475
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.771224	-4.1548834
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	-1.1722128	-4.9810414
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	-1.9487299	-4.679304
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	7.0681515	0.9013
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	0.44712952	-5.906259
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_4	-1.8818417	7.8387012
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	7.6285806	0.61736083
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	-2.0640025	-5.3172035
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	0.68561196	-5.797649
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_161	9.296581	5.79408
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	7.0202312	0.81080186
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	9.709769	1.2116604
trans_epithelia_dorsal_ventral	gray95	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	-1.6272488	-4.5176063
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.2027144	0.6596186
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	5.3975563	0.50050855
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	-1.6926386	-4.1787577
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_1	-1.7389603	6.882077
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_9	-1.6253289	7.1554804
trans_lipophil_1_fibre	gray90	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-3.1406467	7.1735644
epithelia_ventral	orchid1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	-10.279049	0.98151505
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	-1.8829497	-5.402456
