TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	HoiH23_cell_type	HoiH23_color	HoiH23_leiden_clusters	batch	species	cell_type;cell_type_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	17.079992	7.248025
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.554487	0.3147605
epithelia_ventral	orchid1	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	4.321296	20.055687
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.02215	0.7025238
trans_epithelia_dorsal_ventral	gray95	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	7.411867	-1.322596
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.40062	0.28096852
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.268918	1.5890207
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_lipophil	-6.9026117	5.478132
fibre	chartreuse3	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	17.413868	-6.998174
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.555077	0.11069105
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	4.76064	11.771336
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	6.316955	3.3625906
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.5632	0.3123779
epithelia_dorsal_like	mediumorchid4	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	10.777727	-1.5595038
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.861867	0.24351865
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_lipophil_1_gland	5.8466377	13.281672
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_epithelia_dorsal_ventral	8.982114	-0.46104005
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.723708	4.848271
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_trans_fibre_epithelia	-10.608897	0.5639752
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-11.567294	-0.46579343
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	10.920561	-1.5055585
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	-10.865536	0.46522877
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal_like	9.736309	-1.1431391
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_dorsal	11.031306	-0.59884316
peptidergic_theta	royalblue3	54	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_peptidergic_theta	9.595889	22.751593
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.7890525	4.6349587
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.458803	-0.08601425
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_epithelia_ventral	7.7157674	4.810251
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_fibre	-10.384256	0.6300786
