	Tadh	TrH2	Hhon	HoiH23	Hoilungia	Trichoplax	Placozoa
OG_10202	0	1	1	1	1	1	1
OG_10203	0	1	1	1	1	1	1
OG_10204	1	1	0	1	1	1	1
OG_10205	1	1	0	1	1	1	1
OG_10206	2	1	2	1	1	1	1
OG_10207	2	1	2	1	1	1	1
OG_10208	2	1	2	1	1	1	1
OG_10209	1	1	1	1	1	1	1
OG_1021	1	1	2	1	1	1	1
OG_10210	1	1	1	1	1	1	1
OG_10211	1	1	1	1	1	1	1
OG_10212	1	1	1	1	1	1	1
OG_10213	1	1	1	1	1	1	1
OG_10214	1	1	1	1	1	1	1
OG_10215	1	1	1	1	1	1	1
OG_10216	1	1	1	1	1	1	1
OG_10217	1	1	1	1	1	1	1
OG_10218	1	1	1	1	1	1	1
OG_10219	2	2	3	1	1	1	1
OG_1022	1	1	1	1	1	1	1
OG_10220	1	1	1	1	1	1	1
OG_10221	2	2	1	1	1	1	1
OG_10222	1	1	1	1	1	1	1
OG_10223	1	1	2	1	1	1	1
OG_10224	2	2	2	2	1	1	1
OG_10225	1	1	1	1	1	1	1
OG_10226	1	1	2	1	1	1	1
OG_10227	2	2	2	1	1	1	1
OG_10228	1	1	1	1	1	1	1
OG_10229	1	1	0	1	1	1	1
OG_1023	1	1	1	1	1	1	1
OG_10230	1	1	2	1	1	1	1
OG_10231	1	1	2	1	1	1	1
OG_10232	1	1	2	1	1	1	1
OG_10233	1	1	2	1	1	1	1
OG_10234	1	1	1	1	1	1	1
OG_10235	1	1	1	1	1	1	1
OG_10236	1	1	1	1	1	1	1
OG_10237	1	1	1	1	1	1	1
OG_10238	1	1	1	1	1	1	1
OG_10239	1	1	1	1	1	1	1
OG_1024	1	1	1	1	1	1	1
OG_10240	1	1	1	1	1	1	1
OG_10241	1	1	1	1	1	1	1
OG_10242	1	1	0	1	1	1	1
OG_10243	1	1	1	1	1	1	1
OG_10244	1	1	1	1	1	1	1
OG_10245	1	1	1	1	1	1	1
OG_10246	1	1	1	1	1	1	1
OG_10247	0	1	1	1	1	1	1
OG_10248	1	1	1	1	1	1	1
OG_10249	1	1	1	1	1	1	1
OG_1025	1	1	1	1	1	1	1
OG_10250	1	1	1	1	1	1	1
OG_10251	1	1	1	1	1	1	1
OG_10252	1	1	1	1	1	1	1
OG_10253	1	1	1	1	1	1	1
OG_10254	1	1	1	1	1	1	1
OG_10255	1	1	1	1	1	1	1
OG_10256	1	1	1	1	1	1	1
OG_10257	2	1	0	1	1	1	1
OG_10258	2	1	1	1	1	1	1
OG_10259	1	1	1	1	1	1	1
OG_1026	1	1	1	1	1	1	1
OG_10260	2	1	1	1	1	1	1
OG_10261	1	1	1	1	1	1	1
OG_10262	1	1	0	1	1	1	1
OG_10263	0	1	1	1	1	1	1
OG_10264	0	0	3	1	1	0	0
OG_10265	0	1	1	1	1	1	1
OG_10266	1	1	1	1	1	1	1
OG_10267	0	1	1	1	1	1	1
OG_10268	0	0	1	1	1	0	0
OG_10269	0	1	1	1	1	1	1
OG_1027	1	1	1	1	1	1	1
OG_10270	0	1	1	1	1	1	1
OG_10271	0	1	1	1	1	1	1
OG_10272	0	1	1	1	1	1	1
OG_10273	0	1	2	1	1	1	1
OG_10274	0	1	2	1	1	1	1
OG_10275	0	1	1	1	1	1	1
OG_10276	0	0	1	1	1	0	0
OG_10277	0	1	1	1	1	1	1
OG_10278	0	1	1	1	1	1	1
OG_10279	0	1	1	1	1	1	1
OG_1028	1	1	1	1	1	1	1
OG_10280	0	1	1	1	1	1	1
OG_10281	0	1	1	1	1	1	1
OG_10282	0	1	1	1	1	1	1
OG_10283	0	0	1	1	1	0	0
OG_10284	1	1	1	1	1	1	1
OG_10285	1	1	0	1	1	1	1
OG_10286	1	1	0	1	1	1	1
OG_10287	2	2	0	1	1	1	1
OG_10288	1	1	0	1	1	1	1
OG_10289	2	2	0	1	1	1	1
OG_1029	1	1	1	1	1	1	1
OG_10290	2	1	0	1	1	1	1
OG_10291	1	1	0	1	1	1	1
OG_10292	2	0	0	1	1	1	1
OG_10293	1	1	0	1	1	1	1
OG_10294	2	1	0	1	1	1	1
OG_10295	1	1	0	1	1	1	1
OG_10296	4	1	2	1	1	1	1
OG_10297	1	1	0	1	1	1	1
OG_10298	1	1	0	1	1	1	1
OG_10299	1	1	0	1	1	1	1
OG_103	1	1	1	1	1	1	1
OG_1030	1	1	1	1	1	1	1
OG_10300	1	1	0	1	1	1	1
OG_10301	1	1	0	1	1	1	1
OG_10302	1	1	0	1	1	1	1
OG_10303	1	1	0	1	1	1	1
